time,task_id,duration,cpu,priority
778207013668,381864441391-88,264072482,0.004845,0
778660085764,381867829297-173,99703635,0.003696,107
778722002890,381858989894-455,2720463401,0.008453,105
778910613374,381859205363-120,1611934864,0.007751,105
778918435709,381859206332-1601,127032256,0.007660,105
778919367440,381866555705-53,92443164,0.001497,105
778919367564,381866555705-457,145920681,0.001497,105
778930102160,381867883801-529,1846579718,0.016388,105
779098701383,381868340101-271,68335102,0.003521,107
779098702789,381867879617-163,5973987934,0.016205,105
779098703097,381867879617-369,6289279485,0.016205,105
779098719363,381867879617-948,5502752705,0.016205,105
779109871405,381868410111-248,274634590,0.002731,105
779131636863,381868505087-302,914829570,0.040527,0
779159019315,381868397339-1362,88764516,0.003788,105
779165439407,381868397339-714,62570844,0.003788,105
779168933655,381868397339-1822,79816720,0.003788,105
779210635727,381868643663-41,665259672,0.006958,107
779216611431,381868443657-688,259376994,0.004578,105
779259262937,381868725801-383,1578852819,0.002640,0
779259263091,381868725801-469,1555637648,0.002640,0
779277692646,381642532123-26,456618692,0.002026,103
779430137644,381868974854-3,11728524,0.002026,0
779446638933,381868999716-0,21922556,0.001673,200
779578694237,381869064117-4,1737076633,0.004929,116
779578694485,381869075002-100,752401610,0.014877,116
779684641594,381871311034-0,27870288,0.001585,200
779945748860,381874583528-320,115359149,0.003696,107
780006797004,381874657888-150,134108195,0.003696,107
780119190414,381878804062-112,3103816779,0.012146,118
780194204066,381868585711-1580,161292728,0.004318,105
780257877707,381868863354-320,112447475,0.003170,105
780257877909,381868863354-466,132017874,0.003170,105
780266082246,381868863354-2446,105078030,0.003170,105
780266502337,381868836584-439,59879918,0.003082,105
780266502458,381868836584-657,71296929,0.003082,105
780268890098,381868863354-1743,100943489,0.003170,105
780313443164,381868929980-122,127967395,0.002201,105
780375934746,381882019107-528,326154316,0.002026,107
780455725745,381868445146-812,497499757,0.011978,105
780532669053,381867988404-106,93519518,0.002552,200
780562566831,381882353102-186,81731360,0.003696,107
780562568019,381882376883-402,151293328,0.003696,107
780562568655,381882064396-361,4278028890,0.002026,105
780562569871,381882270782-74,124908272,0.002640,105
780579805552,381882064396-993,4260797049,0.002026,105
780579806278,381882064396-1301,4260798788,0.002026,105
780579808185,381882064396-2513,4144898657,0.002026,105
780590519198,381882078755-1727,3793504556,0.007751,105
780866091551,381883902248-147,116088792,0.003696,107
780919314299,381883986903-157,915103824,0.040527,0
780989380515,381883593480-5,232220563,0.003696,105
781209130685,381884344029-0,47308980,0.031250,200
781302621736,381882097753-214,3363465812,0.004929,105
781302621900,381882097753-280,2653409111,0.004929,105
781302623160,381883735697-493,25324409,0.003258,105
781313473099,381882069980-327,2899025294,0.002026,105
781323636683,381882097753-745,2387345045,0.004929,105
781334205728,381882097753-3689,2106233616,0.004929,105
781336751939,381882097753-4990,334326140,0.004929,105
781338524057,381882097753-4429,1594868406,0.004929,105
781340146196,381882097753-2752,2156575235,0.004929,105
781345779215,381882087815-4004,1987624580,0.007660,105
781345799773,381882087815-4784,291438851,0.007660,105
