time,task_id,duration,cpu,priority
519093289224,380616696650-291,65593834,0.003521,107
519156353010,380616758799-20,326976649,0.002995,105
519251032321,380515046386-3949,4052454133,0.011185,103
519251051824,380515046386-5754,3561690066,0.011185,103
519286477260,380616717331-26,51257563,0.003876,200
519342215341,380617060625-0,39703634,0.025879,200
519357958302,380617063856-1,812118873,0.035645,119
519379088473,380617106483-43,1941419144,0.003433,119
519389340658,380617122188-0,81969262,0.025879,200
519436801753,380610352961-396,889466955,0.012497,105
519486584220,380617220597-918,107237183,0.003696,105
519486584309,380610352961-643,839303748,0.012497,105
519491981850,380515046386-8447,1155334212,0.011185,103
519499837626,380515046386-9148,1236539708,0.011185,103
519528850948,380617229273-105,44948402,0.004051,105
519553146460,380515046386-8460,784428901,0.011185,103
519606590614,380617459827-89,59964124,0.003345,105
519611048333,380617342735-2383,111023504,0.003788,105
519652169591,380617533526-237,53628540,0.003521,107
519652171323,380617548053-328,1312328371,0.002464,103
519652171908,380617548053-696,1150470011,0.002464,103
519760522779,380183896977-293,30208792999,0.005669,0
519796903842,380617766507-164,461400266,0.006866,105
519883229259,380617766507-772,392583318,0.006866,105
519954644664,380617713796-5568,18308610977,0.016205,105
519992042074,380618127412-0,134526198,0.025879,200
520094207526,380617713796-6619,18169062978,0.016205,105
520139427689,380618258836-150,312841260,0.002026,107
520139428247,380618260618-17,326576705,0.002026,107
520318992511,380618595775-226,1984384386,0.008102,116
520330451409,380618152174-128,40177404,0.003876,200
520553659084,380618607771-294,455997593,0.007042,116
520624553310,380618960309-22,747396077,0.006958,107
520687182413,380619072528-418,124199542,0.003696,107
520715339073,371808636754-575,25614519440,0.011002,103
521149637084,380619739771-212,1271763353,0.040527,0
521177856365,380619768366-164,159895478,0.003433,107
521215749755,380619565873-50,749358,0.003876,200
521483318317,380622146520-81,2854282079,0.004402,116
521587599908,380625370879-10,298165382,0.004227,200
521810603855,380610658698-1015,1618574339,0.003258,105
521930395265,380619517121-838,56314173,0.003170,105
522041005233,380619768819-714,71742512,0.003170,105
522041007799,380619768819-696,71739330,0.003170,105
522051759335,380619768819-1909,100271576,0.003170,105
522055368365,380619542643-1529,817355730,0.006783,105
522223860934,380620992324-1,65177567,0.004494,105
522298305316,380627292375-0,120949487,0.008102,0
522508350294,380627378965-10,9936879471,0.017609,200
522656303818,380626541606-1191,817748177,0.006340,105
522656304482,380626541606-1636,741457993,0.006340,105
522656316713,380626541606-369,736486968,0.006340,105
522656318814,380626544054-68,356379616,0.004051,105
522665198807,380626553985-408,508512447,0.006866,105
522665200188,380626555310-915,259104987,0.004318,105
522831231802,380626767658-72,354692931,0.007751,105
522831231898,380626767658-120,334839274,0.007751,105
522838993621,380628005808-45,2446786905,0.007042,116
522838995995,380626768129-380,68775972,0.003345,105
522838996557,380626768129-809,154434242,0.003345,105
522858634018,380628042654-89,169790694,0.008102,0
522864475413,380626768129-1148,49903535,0.003345,105
522874517790,380626768129-922,61650184,0.003345,105
522913813696,380628164390-237,913521703,0.040527,0
523078650031,380627069585-95,16118478277,0.007393,105
523085153947,380627069585-1663,16528482322,0.007393,105
523143883783,380627159933-2078,103481297,0.002907,105
523149601390,380626768129-1594,94028259,0.003345,105
523287909820,380628289837-53,51985984,0.004227,200
523314478803,380629608648-232,197784345,0.000528,200
523314485358,380629608648-845,200294369,0.000528,200
523317593931,380629623206-97,287888966,0.002819,0
523402792101,380629608648-1684,372217799,0.000528,200
523448443602,380629790140-194,32864575,0.008102,0
523528142906,380629850365-0,33516286,0.025879,200
523765604626,380629673790-357,25828056,0.004227,200
524081873251,380630121836-78,31723566,0.004227,200
524304876262,380627496561-1,295988131,0.013641,105
524304876280,380627496561-9,295988273,0.013641,105
524351078987,380634429453-100,1255454,0.004227,200
524611427461,380640899133-4,1840857376,0.006073,200
524794343107,380631193825-363,174913650,0.002026,105
524860376005,380632268432-365,244407589,0.003609,105
524889410524,380642235928-0,53643062,0.025879,200
524922327997,380642248876-70,109511378,0.003521,107
524946949484,380633336370-2346,145154641,0.003696,105
525017419817,380628124698-658,14220982569,0.002819,105
525017419974,380628124698-753,14246375055,0.002819,105
525102245465,380642371221-316,857244022,0.011002,116
525351214688,380637693383-397,66393439,0.004318,105
525352806211,380642528065-73,4224493,0.004318,200
525376983504,380642843770-18,950979221,0.017975,119
525464099992,380643947109-0,44811865,0.025879,200
525487260594,380643964892-19,6941467354,0.000352,200
525530776799,380640855680-490,2511754585,0.008453,105
525530779802,380640856693-49,1931371574,0.008011,105
525902720735,380627594761-191,317822854,0.004227,116
526267832919,380646663296-127,710304814,0.011185,116
526267833181,380646663296-263,749896002,0.011185,116
526387343021,380643908812-4,682166883,0.002026,105
526390171413,380646882830-103,291169659,0.008102,0
526393368950,380643908812-271,295134121,0.002026,105
526513114449,380647013851-111,431484814,0.018036,116
526641693167,380646216567-1295,180352268,0.002907,105
526666117747,380646226582-2471,97612720,0.002907,105
526668858936,380646226582-1944,91471085,0.002907,105
526699872942,380646208946-856,485687299,0.009338,105
526701351379,380646262117-455,67602144,0.010925,105
526701353169,380646262117-1614,67609972,0.010925,105
526701353501,380646262117-1853,67611754,0.010925,105
526701367163,380646284872-314,1993991897,0.008545,105
526761809548,380646326568-304,1895151626,0.008636,105
526761809920,380646326568-526,2224736337,0.008636,105
526761816293,380646327482-53,514341207,0.007484,105
526782809596,380646327482-1353,343571147,0.007484,105
526942193652,380646556288-29,2118589922,0.000705,105
527116148917,380651801885-0,17635610,0.000528,200
527233224671,380648288439-108,52625790,0.004318,200
527250320424,380646793630-360,217774251,0.003345,105
527250326251,380646793630-1888,180184789,0.003345,105
527259169412,380652924055-179,164023400,0.008102,0
527381227075,380646647782-1402,2709055447,0.009781,105
527467298288,380646647782-4116,262838596,0.009781,105
527499939212,380648147868-726,64576847,0.004318,105
527682750831,380648399379-68,314785605,0.004051,105
527766623184,380648399379-1908,601430247,0.004051,105
527786435068,380648215246-1849,940109526,0.007393,105
528027097132,380653580824-23,528041183,0.001406,200
528207045581,380646711283-142,329813058,0.011887,105
528313562292,380653797182-253,914858457,0.040527,0
528595213472,380653939083-261,88264116,0.003696,107
528624268741,380653997160-0,48907309,0.000793,200
528640448756,380653688573-15,456975191,0.004227,116
528659879778,380653361673-2108,64379805,0.003960,105
528905133265,380610453205-14,847305444,0.002201,118
528963837595,380654192977-40,165583090,0.003521,107
529031519053,380655265193-115,422589960,0.007576,0
529377837875,380655573147-0,64788882,0.025787,200
529453646130,380655580304-57,107420479,0.003521,107
529518451158,380653976996-306,65495474,0.007309,105
529719741799,106703453619-148,33858531259,0.052856,119
529736701048,380656861945-0,60877407,0.025879,200
529842987785,380656885944-2843,1500500659,0.026733,107
529857028379,380656885944-2337,475286889,0.026733,107
529950474385,380655262956-1360,57927068,0.011536,105
529961472120,380655260363-122,15783646780,0.019470,105
