time,task_id,duration,cpu,priority
1123833808600,383415796452-416,90354381,0.003788,107
1123955610203,383415921262-65,368697503,0.011536,116
1124067313159,383416180738-0,226779364,0.009308,25
1124072250875,383416176032-900,1084501084,0.004669,0
1124072251496,383416176032-1113,1075678887,0.004669,0
1124082021667,383416075639-197,86991337,0.003788,107
1124082022235,383416075639-450,88086315,0.003788,107
1124082023507,383416089316-255,18888043406,0.006340,105
1124082025013,383416179701-704,289319481,0.002289,105
1124092750648,383416076163-543,16943292515,0.007042,103
1124092750784,383416076163-577,16943292787,0.007042,103
1124092750788,383416076163-578,16943292795,0.007042,103
1124092753356,383416076163-1265,16943298471,0.007042,103
1124092753555,383416076163-1399,16943299880,0.007042,103
1124227710115,383416530757-0,20061188,0.013214,200
1124269316223,383416476153-448,718157640,0.004051,105
1124398686529,383416746301-1107,75820075,0.003876,105
1124406239548,383416746301-2405,77598390,0.003876,105
1124565141372,383418997008-544,691582112,0.011444,103
1124633749020,383419026284-1484,25669880318,0.016205,105
1124633750468,383419026284-2590,25663068771,0.016205,105
1124633750728,383419026284-2794,25669897043,0.016205,105
1124645573159,383419026284-3500,25658084544,0.016205,105
1124645574017,383419026284-4160,25658092969,0.016205,105
1124645594493,383419026284-6151,25658100487,0.016205,105
1124645595175,383419026284-6724,25642629908,0.016205,105
1124654961448,383419026284-1623,25648669843,0.016205,105
1124654962279,383419026284-2491,25648681226,0.016205,105
1124691413454,383421227975-0,349602404,0.019897,115
1124691415498,383421231175-144,290790533,0.004578,105
1124691416819,383421231175-993,294590348,0.004578,105
1124691421840,383419062003-888,175645460,0.003433,105
1124713675610,383421267949-468,915614360,0.040527,0
1124753940199,383421262816-254,289794218,0.004494,105
1124874660007,383424486135-1750,2898923055,0.002026,105
1124874666902,383424501484-18,160833919,0.007576,103
1124936793994,383425603461-302,276918130,0.004578,105
1125063407408,383425734877-202,110532283,0.003788,107
1125063407660,383425734877-329,99964336,0.003788,107
1125063411266,383425735877-2386,11978729491,0.003345,107
1125063412650,383425735877-3842,11978742489,0.003345,107
1125063432329,383425735877-694,11978691684,0.003345,107
1125118359876,383425856762-313,86833554,0.003521,107
1125246791368,383426038033-307,607030489,0.006783,105
1125246795890,383426043647-619,194918032,0.005020,105
1125253083227,383426043647-507,188630261,0.005020,105
1125281930969,383425735877-4824,11760233930,0.003345,107
1125304633949,383426055129-932,175878315,0.002731,105
1125304638122,383426109146-2,841311340,0.021851,107
1125366456465,383426200126-426,86445924,0.003788,107
1125432939463,383426276296-1,255320914,0.017090,103
1125442424978,383426273801-197,783151741,0.008453,105
1125445723406,383426273801-829,759036732,0.008453,105
1125460397081,383426191489-39,752746565,0.023071,107
1125467380965,383426282290-813,168868482,0.005020,105
1125474518633,383426282290-262,82412575,0.005020,105
1125485650580,383427462073-21,191515993,0.003170,105
1125520991747,383426273801-952,1034200960,0.008453,105
1125522031377,383426282290-568,37650927,0.005020,105
1125555657264,383427592361-1131,911291124,0.007751,103
1125636433296,383427413976-44,827599457,0.023071,107
1125642163035,383427643385-1972,568603496,0.006340,105
1125668686321,383427643385-1233,482053874,0.006340,105
1125672417072,383425735877-8404,11369783327,0.012238,107
1125675613796,383425735877-8485,11366587403,0.012238,107
1125682575214,383427592361-2184,784378945,0.007751,103
1125682575225,383427592361-2213,784379110,0.007751,103
1125755557022,383427592361-2603,711399510,0.007751,103
1125785209379,383427836236-708,28858144,0.006340,105
1125817188586,383428013260-72,723742740,0.023071,107
1125826404481,383427612988-66,339363474,0.021301,107
1125852957088,383427874257-32,692324371,0.023071,107
1125853656895,383428040325-39,707624692,0.006783,107
1125867791648,383428089611-148,77130072,0.003788,107
1125867792462,383428090736-39,682841352,0.023071,107
1125874533177,383427562810-74,194220518,0.023071,107
1125879460902,383427868191-53,736898033,0.021851,107
1126028672876,383427874257-73,516609077,0.023071,107
1126028679276,383425735877-10240,11013539361,0.015747,107
1126028680264,383427874257-67,516601617,0.023071,107
1126031177818,383428433138-3,643457287,0.003082,200
1126231883825,383428608873-40,297846770,0.011795,116
1126237462504,383428653118-57,704031083,0.021851,107
1126470736052,383433030058-32,630179241,0.021301,107
1126539332520,383433149545-44,792679777,0.023071,107
1126721867419,383428061348-119,242840500,0.005104,105
1126732171446,383428059817-1174,600738029,0.006866,105
1126755015609,383428061348-516,196282645,0.005104,105
1126783323842,383433609723-57,721848808,0.023071,107
1126798100777,383428061348-504,63895946,0.005104,105
1126801342744,383433500233-28,828093233,0.021851,107
1126987079259,383433509378-73,655997401,0.023071,107
1127135054096,383425735877-13817,9907200013,0.025787,107
1127136418664,383425735877-13986,9905837107,0.025787,107
1127562467613,383434944609-13,1017580865,0.023254,107
1127585935765,383435078658-0,1176298085,0.000441,200
1127649925463,383435088764-51,797358531,0.023071,107
1127649925608,383435100033-3,1040857817,0.023254,107
1127707326305,383435207795-29,134015316,0.003788,107
1127772272793,383435265308-356,93930952,0.003788,107
1127816244675,383425735877-15710,9226028180,0.025787,107
1127825122596,383425735877-15221,9217145428,0.025787,107
1127895491757,383433951172-578,94865643,0.003170,105
1127908639616,383433951172-1907,69277680,0.003170,105
1127910380225,383433951172-1298,70556980,0.003170,105
1127954041863,383435569333-215,485619837,0.001585,200
1128011412663,383435546333-356,749291499,0.011002,116
1128112239587,383435679753-51,668928691,0.021301,107
1128121199680,383435779497-202,152163580,0.000705,200
1128121200798,383435779497-1019,142536864,0.000705,200
1128121207423,383435779497-2010,180982955,0.000705,200
1128143292822,383435737948-251,102404842,0.003696,107
1128143293378,383435744469-195,79400934,0.003696,107
1128158407309,383434407509-515,68138721,0.003170,105
1128215256732,383434532759-63,82473823,0.008194,105
1128267987107,383434532215-153,291463657,0.008987,105
1128331455868,383435264885-36,216706507,0.023254,107
1128331455920,383434768094-129,62932284,0.004929,105
1128386376377,383434860869-1237,74402090,0.004753,105
1128517840015,383442312584-738,2766428113,0.005989,116
1128616640849,383425735877-16262,8425637458,0.025787,107
1128694271650,383443638002-46,743936160,0.021851,107
1128740904975,383443617996-39,239959944,0.022980,107
1128874905850,383447934421-52,860612667,0.023071,107
1128886207732,383447941420-91,461484675,0.021851,107
1129091761474,383442312584-3149,2192525902,0.005989,116
1129234987346,383448517771-0,28364963,0.001585,200
1129240229493,383448470833-279,81498583,0.003788,107
