time,task_id,duration,cpu,priority
432616705143,380106875025-710,7957583572,0.011703,105
432618058493,380106917686-738,62844637,0.003170,105
432678425096,380106942327-724,74435324,0.002819,105
432738256392,380106985778-110,409904371,0.029938,103
432742303992,380106982514-1627,63117154,0.003345,105
432802032111,380107050256-641,7620938324,0.007576,105
432805046900,380106986050-39,47326903,0.005638,200
432825200237,380107136365-0,14320734438,0.000793,200
432922983975,380107198139-153,1880761573,0.009064,103
432922984115,380107198139-223,1310902853,0.009064,103
432922984161,380107198139-246,1311024196,0.009064,103
432923009566,380107214785-621,7899682643,0.013290,105
432927067631,380107228809-0,3974147343,0.016205,200
432927759697,380107208940-419,63203787,0.005989,105
432927760093,380107208940-683,64306765,0.005989,105
432933402718,380107210664-254,62321357,0.006866,105
432933403819,380107211004-933,58174312,0.002995,105
432984748350,380107249738-34,14304533574,0.004494,105
433048534783,380107344835-767,82586292,0.003609,105
433048536067,380107344835-1526,53207785,0.003609,105
433106391228,380107407058-106,335273727,0.007484,105
433109554405,380107407472-2131,80584811,0.003082,105
433109554531,380107407472-2221,71133795,0.003082,105
433136961992,380107269453-168,15054226,0.006165,200
433172039990,380107506404-2172,216190792,0.003788,105
433233254217,380107589144-30,92656644,0.003696,107
433233257031,380107580575-1104,376986382,0.006248,105
433239444267,380107519100-135,382808340,0.012146,103
433421165752,380108729237-11,65387246,0.003082,105
433421166662,380108729237-471,79560815,0.003082,105
433421168724,380108729237-1638,69065973,0.003082,105
433421170522,380108733745-586,10796229212,0.016205,105
433421170620,380108733745-659,10796230180,0.016205,105
433434379995,380108733745-4199,10783072324,0.016205,105
433434382734,380108733745-5722,10783091705,0.016205,105
433434384219,380108733745-6711,10783104556,0.016205,105
433434402662,380108733745-3330,10783037006,0.016205,105
433434403280,380108733745-4456,10783052769,0.016205,105
433434403292,380108733745-4552,10783054149,0.016205,105
433434404324,380108733745-5729,10783070216,0.016205,105
433446132761,380108756168-97,58702351,0.005020,105
433482639244,380108767896-1619,298397885,0.007484,105
433482639344,380108822287-29,11450745920,0.011353,105
433493567668,380108754115-296,43833965,0.004051,105
433493568235,380108757535-85,51183295,0.004051,105
433493570493,380108822287-5,10865691357,0.011353,105
433493571498,380108822287-677,10665735379,0.011353,105
433539241979,380109060549-156,64999031,0.003521,105
433542133164,380108977344-132,294102204,0.019989,103
433542133617,380108977344-84,294100809,0.019989,103
433587956761,380109107663-2,1781723131,0.000352,200
433597948434,380109107132-42,92402248,0.003696,107
433597949124,380109107132-389,134061545,0.003696,107
433705603729,380109100585-151,36583392,0.005638,200
433845141113,380110327522-207,110670323,0.003696,107
433966794557,380110402066-38,54702063,0.004051,105
433966794633,380110402066-76,55040555,0.004051,105
433966795603,380110402066-583,53699976,0.004051,105
433966797505,380110402066-1771,123978184,0.004051,105
434034353450,380112483276-199,4575358680,0.012146,118
434088156093,380112519031-839,8317023086,0.005280,105
434273201568,380126811702-1568,496307250,0.006340,105
434460599866,380127055178-111,10404384607,0.005638,105
434460601816,380127079151-487,106607373,0.004051,105
434460619510,380127120632-741,47468370,0.004051,105
434582334857,380127253818-310,81034942,0.003521,107
434653857566,380127280086-1140,107469646,0.003082,105
434653857643,380127280086-1310,71366463,0.003082,105
434668069028,380127398692-1718,334057375,0.002026,107
434714328710,380127566396-6,952223142,0.040527,0
434714329508,380127566396-411,915397191,0.040527,0
434869705061,380127584970-136,26328397,0.005638,200
434891079118,380128745434-100,128276481,0.003521,107
434891079494,380128745434-290,105819180,0.003521,107
434891093815,380128694976-227,74683120,0.002907,105
434895235827,380127630861-19,32079215,0.005638,200
434895892900,380128694976-1514,79430620,0.002907,105
434952765431,380128834242-665,57598632,0.004051,105
434952767151,380128834242-1781,59204521,0.004051,105
435017668432,380128891650-537,62852905,0.006783,105
435202083731,380129093726-78,636568578,0.015579,103
435262775956,380129155335-13,554859162,0.006958,107
435263875971,380129155430-404,97372122,0.003696,107
435263875977,380129155430-407,56631099,0.003696,107
435278903295,380129046161-196,10657833,0.006165,200
435327451635,380129225048-16,693796501,0.002026,103
435388072900,380130276786-522,182336454,0.004135,105
435449663432,380130313058-39,94636091,0.003082,105
435508938816,380131344955-136,292849302,0.002026,107
435508942828,380131359143-121,247324587,0.002026,107
435510095099,380130312038-196,101121441,0.004051,105
435510096826,380131348274-243,2959971288,0.021210,103
435631389377,380132437209-9,813057855,0.002026,103
435699176685,380132516004-123,7359556868,0.012680,105
435699177023,380132516004-297,7055449617,0.012680,105
435699177483,380132516004-551,7990650065,0.012680,105
435699178287,380132517147-16,9471592911,0.006866,105
435699183390,380132547213-60,290211342,0.019989,103
435707556949,380132516004-853,7059992306,0.012680,105
435707558871,380132570831-30,68568821,0.005722,105
435707558937,380132570831-60,69072551,0.005722,105
435711636786,380132547213-126,277759266,0.020172,103
435882012539,380132723255-252,76785307,0.003433,107
435885089214,380132685203-55,282713385,0.002026,0
435916360478,380132685203-134,251443064,0.002026,0
435961579565,380142812972-0,39666367,0.035217,200
435964961615,380142817783-0,99187689,0.031799,200
436000187652,380144842787-706,10415878627,0.005638,105
436000187954,380144842787-888,10494537393,0.005638,105
436062364860,380145931131-453,123166368,0.002377,105
436062371458,380145934879-796,82086663,0.002907,105
436065100144,380145881638-25,735781917,0.002113,103
436125174628,380148053659-956,8740763859,0.012939,105
436129956297,380146005289-432,216300099,0.002026,103
436129958861,380146005289-1978,216309203,0.002026,103
436138061643,380144842063-74,39375533,0.005638,200
436245924583,380153143643-63,452867371,0.007042,116
436245924729,380153143643-151,452482600,0.007042,116
436245925377,380156208482-233,4553878388,0.008102,116
436312746325,380157218554-991,2301271457,0.006607,116
436312746592,380159326377-31,466863369,0.002289,105
436323756814,380159329200-793,199251495,0.002377,105
436339479510,380153143643-255,358929899,0.007042,116
436389017526,380159398516-220,917758085,0.024933,103
436418354866,380159334304-8,57187110,0.005722,200
436433273536,380159536585-338,86958295,0.003433,107
436512004164,380159689320-625,47761559,0.003258,105
436517917360,380159624913-866,8944077096,0.009064,105
436565462232,380159699586-743,54293709,0.003433,105
436570484904,380159699586-480,59746623,0.003433,105
436575855725,380159790707-486,140379232,0.001673,105
436577859543,380159790707-852,52171425,0.001673,105
436578652323,380159790707-217,50783500,0.002026,105
436661308473,380161082536-120,151810148,0.003521,0
436744446849,380161117284-237,7518173720,0.012589,105
