time,task_id,duration,cpu,priority
350174816125,379419932383-458,812764268,0.004051,105
350240080324,379420096461-1497,81827788,0.003433,105
350249306910,379420096461-185,109241663,0.003433,105
350298708087,379420207602-23,124351103,0.003788,105
350298709615,379420207602-906,69671248,0.003788,105
350298709811,379420207602-1034,93495591,0.003788,105
350298709881,379420207602-1079,124352157,0.003788,105
350298710185,379420207602-1268,123706036,0.003788,105
350364669765,379420261395-710,120568149,0.003082,105
350387266742,379381348161-1837,1235682130,0.002819,105
350418997398,379420378152-95,93637744,0.003696,107
350457534099,379420441944-0,28562393,0.004051,200
350481413032,379420378869-648,324671230,0.006248,105
350493242411,379420031145-18,244997089,0.014435,103
350504186393,379420484449-66,776538259,0.000528,200
350504186651,379420484449-208,804993612,0.000528,200
350504187235,379420484449-566,796821202,0.000528,200
350546524118,379420538023-160,518753614,0.003876,105
350614737598,379386398552-509,297408488,0.019562,103
350663790188,379420650077-34,544210802,0.002026,103
350758436508,379420273025-48,478188220,0.002026,103
350785255859,379422839700-35,810357145,0.024139,103
350791464361,379422899963-1037,106868891,0.003082,105
350791464593,379422899963-1230,134655742,0.003082,105
350799503612,379422899963-2035,59740955,0.003082,105
350911356629,379424017875-77,447305097,0.004051,105
350970135826,379424132387-550,48083236,0.003170,105
351038852415,379424192633-77,482658449,0.002026,107
351038852719,379424192633-243,350442406,0.002026,107
351038854728,379424159639-599,196247760,0.003258,105
351038856218,379424161142-392,265717098,0.002201,105
351108970181,379424251503-16,27162649697,0.004051,105
351108972263,379424251503-1788,26692018947,0.004051,105
351108983568,379424251503-48,29491563720,0.004051,105
351108989436,379424196398-75,215649451,0.002026,103
351158418078,379424506734-343,99485112,0.004578,105
351158418512,379424506734-575,66153958,0.004578,105
351158427543,379424506734-1654,61274269,0.004578,105
351220018346,379424624624-807,57804937,0.005989,105
351220018886,379424625773-101,61295524,0.005814,105
351220021087,379424633494-542,60703038,0.002907,105
351323035846,379424312231-171,21573563,0.005196,200
351343486586,379425786914-264,68757881,0.003696,107
351343488842,379426852590-1027,589668233,0.006165,105
351343489575,379426852590-1497,614624400,0.006165,105
351359636972,379425792225-86,105997083,0.005196,200
351401696351,379426945848-817,171151658,0.002552,105
351401696946,379426883806-114,56426961,0.002113,103
351409830210,379426907873-241,206850054,0.002026,103
351467307921,379429057889-144,94674354,0.002377,105
351478726011,379425789181-48,173479761,0.002026,103
351496653830,379426835380-545,1500713198,0.014359,103
351527930739,379429203400-48,402950523,0.008545,105
351631139435,379430384188-24,181930058,0.001320,200
351650948470,379429298665-106,717888669,0.004051,105
351776235398,379430485910-33,85350471,0.005196,200
351922896059,379432891421-175,1436974267,0.040527,0
352224459974,379432976286-201,31439246,0.005196,200
352252402144,379434547890-0,114456360,0.030640,200
352638026455,379430390182-161,205960144,0.004051,105
352756049373,379438370538-116,154796490,0.010742,200
352763447242,379419259080-165,322289231,0.004494,116
352778147283,379438419981-0,40847047,0.027374,200
352869984874,379438457470-1,484157891,0.006958,107
352907442483,379439577445-0,57510870,0.027374,200
352991343981,379439717727-36,59553197,0.012146,118
353113646145,379439492377-174,15014448,0.005196,200
353183842803,379440911481-1147,1390979946,0.009247,107
353194056331,379440913422-2884,435137174,0.007576,107
353272058832,379441005959-34,109852078,0.005196,200
353326922960,379441142778-0,32949900,0.001760,200
353586821046,379442412206-3,527796770,0.008102,119
353737027659,379442481285-22,92401251,0.005196,200
353737027955,379442481285-108,62826700,0.005196,200
353744103096,379442581754-0,31471422,0.001760,200
353861216768,379439632973-1833,173970494,0.002907,105
353861222227,379439632973-1122,179351326,0.002907,105
354044970959,379439883737-1815,79355956,0.004051,105
354087993377,379443910704-12,94504822,0.005196,200
354228019490,379441117916-1013,77305284,0.008270,105
354228024423,379441117916-552,63808529,0.008270,105
354290002852,379441157302-1632,60112292,0.003876,105
354414367925,379441310777-98,63863265,0.001057,105
354414368941,379441310777-653,64145655,0.001057,105
354533735597,379451579024-43,614665672,0.006958,107
