time,task_id,duration,cpu,priority
951043618170,382653034010-17,506998532,0.001406,200
951080782213,382653028620-7,735496435,0.002026,103
951147663052,382653046088-1689,1562775046,0.002026,103
951147664662,382653132347-105,14579675170,0.007751,103
951208563670,382653313490-127,63585359,0.003696,107
951208564996,382653149295-369,568403379,0.004051,105
951208567668,382653149295-1836,549801913,0.004051,105
951208568412,382653288443-202,162998489,0.001497,105
951208581497,382653151484-212,166471168,0.004051,105
951268098028,382653397777-35,81601935,0.003788,107
951268099590,382653417793-195,49632732,0.008804,105
951392410685,382653500098-115,47145816,0.003788,107
951392412686,382653510803-45,14023044174,0.007751,103
951392417436,382653510803-1928,14023110393,0.007751,103
951427160787,382653569444-22,23539349,0.002201,200
951455627427,382653525226-97,173150805,0.003696,116
951455627745,382653525226-256,176016613,0.003696,116
951462460457,382653558339-164,14199291265,0.004494,105
951462461630,382653572263-1048,92155425,0.003696,105
951462467973,382653572263-225,60968847,0.003696,105
951470553708,382653605976-492,2309673442,0.002026,119
951517420687,382653576647-98,77061860,0.003788,105
951517427591,382653662242-1657,24659540101,0.042603,103
951517428147,382653662242-2123,21241081965,0.042603,103
951527097128,382653576647-1449,46626117,0.003788,105
951761862937,382653987092-1803,6853735089,0.016205,105
951761864887,382653987092-3058,6853751131,0.016205,105
951761866491,382653987092-4269,6853766890,0.016205,105
951761868737,382653987092-6304,6853793787,0.016205,105
951774717713,382653987092-4034,6840912301,0.016205,105
951774719969,382653987092-6267,6840942028,0.016205,105
951774745783,382653987092-7006,6840926787,0.016205,105
951779790862,382653942248-8,323907525,0.002026,103
951879388223,382655261388-2181,61821430,0.009857,105
951999357789,382657377712-92,146676036,0.006866,103
952063362875,382657364468-3,6693564334,0.006073,116
952063364999,382659434192-959,83069676,0.003170,105
952063365781,382659434192-1409,82187558,0.003170,105
952063366989,382659434192-2166,82187854,0.003170,105
952125217433,382658429346-315,42204213,0.004051,105
952182420380,382661518416-0,4185152568,0.008102,115
952365637062,382663635023-87,523888996,0.028717,103
952374202734,382663608111-300,373831072,0.004051,105
952374208972,382664669655-3846,1112990845,0.016205,105
952374213444,382664679673-1115,28486421065,0.004051,105
952374213780,382664679673-1687,28272374363,0.004051,105
952382921295,382664669655-7276,1104327679,0.016205,105
952427852391,382664862100-24,177173724,0.003960,105
952427856853,382664863025-22,171341070,0.003876,105
952491387748,382665875740-1045,499561753,0.006165,105
952548904468,382666969574-40,593242307,0.006783,107
952550254833,382666969646-217,99077762,0.003521,107
952550255247,382666969646-424,98538759,0.003521,107
952611635187,382672109849-657,208415624,0.008102,105
952611635377,382672109849-769,218518166,0.008102,105
952735048053,382673199303-869,580630085,0.007751,105
952890643525,382674356922-0,67577307,0.038635,200
952906988113,382674361608-0,20963647,0.001673,200
953040914402,382674504988-451,348721658,0.006866,105
953040931916,382674506261-336,129009034,0.004669,105
953040933491,382674506261-859,89183834,0.004669,105
953409304033,382674852706-1893,59511257,0.004318,105
