time,task_id,duration,cpu,priority
2074259174829,396064332708-16,559641820,0.008102,119
2074291575250,396064102566-755,389713864,0.001497,105
2074348239253,396064485527-0,3597106917,0.000441,115
2074445139382,396064605994-333,1729780199,0.005722,0
2074470967209,396064583286-404,51196449,0.003696,107
2074478980049,396064675237-1,14309782442,0.006432,200
2074591927094,396064767736-160,106432363,0.003696,107
2074615741385,396064834297-7,36561337,0.002026,0
2074722069978,396064416221-38,1277562234,0.000643,115
2074729392650,396064579172-489,98824393,0.001673,105
2074738910388,396028484406-120,1834922613,0.016205,103
2074738910603,396028484406-186,1517828686,0.016205,103
2074738913481,396026875534-33,248668069,0.028717,103
2074738916023,396029060518-63,237317368,0.002731,103
2074738916264,396029056986-88,643895437,0.002289,103
2074779017691,396065108541-0,40496765,0.036865,200
2074802601860,396065133134-281,2482727984,0.002026,119
2074802602742,396065133134-577,2482735983,0.002026,119
2074967915571,396065098100-926,90288043,0.004135,105
2074967917293,396065098100-2084,81777104,0.004135,105
2074996995639,396026251226-2158,123160530,0.008713,105
2075030309402,396027839945-15,452914330,0.017181,103
2075083797951,396065444481-23,15656710779,0.004494,105
2075150144298,396065488062-310,42432370,0.011002,105
2075150153159,396065488062-1289,42437188,0.011002,105
2075150153669,396065463583-78,371625446,0.005020,103
2075207152843,396065672591-84,186432319,0.002819,105
2075207153555,396065672591-470,237799392,0.002819,105
2075241043279,396065774466-320,5253559916,0.002377,0
2075322309713,396065909545-0,32106634,0.036865,200
2075328261902,396065735228-10,70529047,0.007309,105
2075328262353,396065757143-189,61528049,0.004051,105
2075328262538,396065709319-19,108472860,0.004845,103
2075513165072,396065910334-309,263934590,0.005989,105
2075513169579,396066084803-342,206656707,0.010040,103
2075678885546,396066409071-0,2274591248,0.194336,200
2075755426761,396066484119-40,782295972,0.006958,107
2075942158089,396065459742-1660,2945867248,0.007042,105
2075942158419,396065459742-1881,3226659837,0.007042,105
2075942163642,396065459742-2436,4597355094,0.007042,105
2076078363206,396066860129-0,238079833,0.036865,200
2076323593633,396066381773-3855,4391434285,0.008636,105
2076323597004,396066381773-6299,4106865231,0.008636,105
2076323611919,396066381773-3490,4462917015,0.008636,105
2076333832075,396066381773-7307,4061502121,0.008636,105
2076333833981,396066381773-8092,3529827149,0.008636,105
2076431347394,396067270885-74,76775444,0.004051,105
2076431347672,396067270885-238,72698614,0.004051,105
2076437915632,396067363650-0,118704367,0.036865,200
2076493944902,396067422927-343,174878732,0.003521,105
2076493945330,396067422927-624,184401957,0.003521,105
2076499445879,396067348052-8,6273373109,0.008636,105
2076499818796,396067363652-1,57264840,0.033264,200
2076558541290,396067285357-423,48068533,0.006783,105
2076558562415,396067426876-1578,6209645040,0.004051,105
2076558563425,396067435507-727,321874399,0.003170,105
2076694170822,396066337242-37,105835449,0.010040,103
2076721382463,394119444462-4607,93617909852,0.005669,0
2076721389909,394119444462-4180,93085023789,0.005669,0
2076735894110,396067724242-28,194476916,0.004845,105
2076779519793,396067347927-218,2275952370,0.011887,105
2076782416143,396067888651-0,104501331,0.036865,200
2076783707235,394119444462-5565,92416146202,0.005669,0
2076797152921,396067888115-51,2405111936,0.015839,103
2076806754498,396067922935-0,289654780,0.036865,200
2076812874374,396067375241-111,296467516,0.008102,103
2076915573811,396067348052-1799,931863297,0.008636,105
2077046572624,396068211744-1359,7899008817,0.014175,105
2077046573218,396068211744-1825,10621316494,0.014175,105
2077046574000,396068211744-2459,9702055170,0.014175,105
2077056512675,396068244795-18,2784578600,0.015411,103
2077091960823,396066968113-85,2416049254,0.017975,103
2077093224691,396067754473-318,309106197,0.020691,103
2077103823459,396068401442-0,232481469,0.036865,200
2077165223761,396068442866-244,76742073,0.003521,107
2077281883412,396068617802-0,953957463,0.036865,200
2077281883926,396068618007-0,354162140,0.036865,200
2077294124396,396068628456-0,53833875,0.036865,200
2077294956325,396068454959-494,178142069,0.002907,105
2077319384659,395935986325-1276,13422447960,0.010559,103
2077341754803,396068745919-0,174910999,0.036865,200
2077370195474,396068788008-0,208777079,0.014099,119
2077372879174,396068627208-213,728481750,0.017181,103
2077413309917,396068766748-448,411843924,0.004051,105
2077413317786,396068768430-720,203251155,0.004051,105
2077459816848,396068745821-2,56848893,0.031860,200
2077654039922,396078201377-29,941202244,0.006958,107
2077716131586,396078259357-486,267255944,0.003876,105
2077716137181,396078259357-674,266812885,0.003876,105
2077752288356,396067331830-222,231312222,0.017181,103
2077851066291,396029056733-40,188554356,0.002640,103
2077856430627,396029103978-45,387829150,0.002377,103
2077877898342,395935986325-1488,12864321698,0.010559,103
2077943298664,396089806770-0,292543016,0.034973,200
2078197422636,396068906108-156,116751956,0.017975,103
2078240531986,396091874471-1,55756950,0.034973,200
2078273210674,396080664690-445,4505335379,0.007751,105
2078273228372,396080664690-356,4505316975,0.007751,105
2078283826172,396087796478-0,379199470,0.032410,115
2078283828432,396081772210-237,238451827,0.005638,105
2078283828798,396081772210-487,238450362,0.005638,105
2078283829716,396088796954-74,5821364774,0.027740,103
2078283845680,396080677304-342,3211661423,0.007309,105
2078294914013,396080664690-3003,3643343397,0.007751,105
2078305882163,396080657133-816,2968040671,0.007751,105
2078316620104,396080657133-2853,2820298207,0.007751,105
2078316620935,396080657133-3636,2199789029,0.007751,105
2078316631325,396080657133-5323,361238265,0.007751,105
2078327450622,396080648977-1386,2853880440,0.007660,105
2078327450681,396080648977-1377,2864199423,0.007660,105
2078327453298,396080648977-4095,1763283916,0.007660,105
2078327475644,396080648977-3794,2037154876,0.007660,105
2078338734315,396080648977-4855,382796755,0.007660,105
2078338766718,396080642416-1719,2807519339,0.007133,105
2078349615527,396080642416-3633,1961067202,0.007133,105
2078349619302,396080683881-748,4399167970,0.007660,105
2078349649355,396080642416-5528,357377898,0.007133,105
2078360296153,396080683881-1850,4388499829,0.007660,105
2078360296782,396080683881-2115,4388501299,0.007660,105
2078360310098,396080683881-1686,4388484570,0.007660,105
2078360326990,396080677304-908,3135184621,0.007309,105
2078370846878,396080677304-1718,3124671183,0.007309,105
2078370848891,396080677304-3683,2523877554,0.007309,105
2078379439426,396080677304-5345,340918927,0.007309,105
2078381282925,396080677304-6019,333738376,0.007309,105
2078391745964,396080670766-5148,323853553,0.008102,105
2078410955652,396107596546-819,2517689863,0.005722,116
2078410956006,396107596546-1116,2517695451,0.005722,116
2078410956106,396107596546-1198,2517696991,0.005722,116
2078410960673,396107596546-562,2517679702,0.005722,116
2078442865556,396080670766-4015,1049757944,0.008102,105
2078445437179,396080670766-5874,264391270,0.008102,105
2078455546827,396080670766-5796,254281430,0.008102,105
2078460172092,396067973559-480,11801699,0.010132,103
2078760236224,396109486516-0,60306460,0.008102,116
2078832043929,396068059356-738,83728593998,0.003345,105
2078832051385,396068059356-1908,80283570123,0.003345,105
