time,task_id,duration,cpu,priority
1210972372199,383740049438-543,856919112,0.008102,105
1210972372275,383740049438-585,834206113,0.008102,105
1210972373831,383740052322-534,766338352,0.008102,105
1210972374883,383740057106-271,512924228,0.002907,105
1210972376827,383740058141-895,657064648,0.007660,105
1210983919811,383740060436-593,262246985,0.007660,105
1210983920503,383740080073-53,210137761,0.006165,105
1210983921501,383745197209-505,109162890,0.001497,105
1211094952870,383740062438-38,260773165,0.007660,105
1211094955805,383740064472-889,820812817,0.007393,105
1211106369698,383751313193-1057,111043761,0.003258,105
1211113962878,383752454955-1,52791585,0.000528,200
1211118993048,383751313193-1912,113297610,0.003258,105
1211119554916,383751331206-1518,86767000,0.003696,105
1211151711092,383751313193-2197,66811661,0.003258,105
1211153335845,383752514198-47,241122231,0.002201,200
1211170519924,383751331206-301,111284509,0.003696,105
1211171612743,383751331206-880,83885861,0.003696,105
1211220697783,383740082291-516,387383774,0.002819,105
1211220699151,383740086836-464,385869813,0.012070,105
1211220705502,383740086836-276,443207026,0.012070,105
1211227511744,383740082291-934,369117955,0.002819,105
1211227512448,383752575755-8,176163583,0.003960,105
1211291050417,383707399711-960,86473153,0.002026,103
1211342022294,383740092559-988,383146984,0.003433,105
1211349957410,383752763152-198,20706206527,0.006340,105
1211401383009,383753941802-68,49977366,0.003788,107
1211407773781,383752606555-664,55623438,0.003345,105
1211464755693,383754100525-0,62054446,0.037537,200
1211520446340,383754149130-266,70550107,0.003788,107
1211542254712,330587193891-2380,7700343332,0.011566,101
1211769756921,383754471576-390,128298574,0.003788,107
1211828178248,383740063439-496,437511495,0.001673,105
1211828178282,383740063439-523,488848105,0.001673,105
1211828181588,383740063439-912,438603824,0.001673,105
1211956750950,383754672065-1041,60389821,0.005020,105
1211964350780,383754673590-1331,618358622,0.006783,105
1211967283973,383754673590-399,586649733,0.006783,105
1211967287556,383754774032-411,108959466,0.003696,107
1212019983426,383751357917-113,3356476203,0.005898,103
1212031305584,383754831761-554,251301323,0.003433,105
1212031307612,383751357917-1017,3470859431,0.005898,103
1212064685976,383752490730-183,1050871186,0.008987,103
1212340186051,383740320589-227,1723011956,0.008102,105
1212369422633,383740320589-88,1773441206,0.008102,105
1212373806207,383740320589-505,2007628256,0.008102,105
1212442632965,383755116185-972,1167589732,0.002731,103
1212442633399,383755116185-1243,1358080626,0.002731,103
1212485440038,383740334654-422,2973054686,0.008102,105
1212489076647,383719060039-32,390688121,0.002907,103
1212532045183,383673725580-479,13563752789,0.002377,103
1212547778080,383721171560-464,16559056910,0.014969,103
1212912174164,383761447700-193,1506631486,0.040527,0
1212996831629,383761404143-0,690668411,0.000441,115
1212996832433,383757031195-464,15295247282,0.004051,105
1212996835211,383757039219-422,203818583,0.004051,105
1212996843265,383757039219-446,193639956,0.004051,105
1213010706733,383718794638-33,354333847,0.002819,103
1213010706938,383731611051-40,464415502,0.002201,103
1213058380529,383757044641-69,620269989,0.004051,105
1213058380786,383757044641-201,740342492,0.004051,105
1213074033573,383764535181-47,272934026,0.015686,103
1213096546353,383661042876-735,11724367453,0.008804,103
1213120327917,383736486825-1045,12777123512,0.008636,103
1213132136339,383736486825-2283,12765343564,0.008636,103
1213239984182,383768890222-715,384314738,0.004578,105
1213239984516,383768890222-917,384719229,0.004578,105
1213419818226,383773181652-35,571130085,0.006958,107
1213423331255,383773181707-49,70556472,0.003788,107
1213423331273,383773181707-58,59916996,0.003788,107
1213470775709,383661042876-3084,9560262750,0.008804,103
1213489935653,383773228345-358,800456318,0.006866,105
1213665211272,383773487083-17,220171074,0.003258,103
1213853619805,383773908761-129,77814136,0.003788,107
