time,task_id,duration,cpu,priority
1815227960783,393573928564-1034,3049572914,0.008194,105
1815227962907,393573928564-1928,3049588670,0.008194,105
1815227965244,393573928564-3278,1968578149,0.008194,105
1815227986293,393573928564-1408,3049554884,0.008194,105
1815460916534,393575290348-140,2651772666,0.008545,105
1815629339332,393580829600-145,205031566,0.006691,118
1815717595836,393580968540-0,56562253,0.036255,200
1815767457930,393575245521-17,2204885218,0.057434,105
1815779015855,393575245521-275,1955033385,0.057434,105
1815892584130,393577784346-788,6653413054,0.007042,105
1815901398694,393577784346-2284,6644515942,0.007042,105
1815921377824,393582326013-273,1114626465,0.040527,0
1815944471233,393582378613-0,124986752,0.036255,200
1816015561475,393578979616-442,79851497,0.003433,105
1816015562083,393578979616-854,66297562,0.003433,105
1816029129871,393578979616-2056,56461520,0.003433,105
1816066331725,393582580288-6,215772892,0.002201,200
1816087501322,393582620480-98,5130465093,0.002640,0
1816088025390,393582620480-282,5218802554,0.002640,0
1816117930728,393582650906-0,2732181844,0.064819,200
1816133699099,393582655789-420,167196975,0.003696,107
1816133699431,393582668999-166,86341978,0.003696,107
1816290957051,393579036433-292,386607360,0.053345,105
1816439633944,393580663320-372,99190294,0.002464,105
1816463186545,393583312973-0,73219105,0.036255,200
1816825532995,393575313469-56,95413932,0.004051,116
1816874284698,393583984601-228,103729411,0.003696,107
1816906731435,393584096520-0,2654225020,0.026428,200
1816928805018,393584091127-180,55477209,0.003696,107
1816985821185,393586211027-0,1248237930,0.000352,200
1817055479365,393582638549-61,7635403777,0.005989,105
1817060776534,393586228349-5,279870341,0.011795,116
1817070740941,393586289878-408,41039692,0.003696,107
1817169286271,393586436208-0,101669635,0.036255,200
1817304142276,393583151702-665,7404604416,0.008102,105
1817328797692,393583187077-822,88985916,0.003696,105
1817330333684,393583174869-1887,82307732,0.004227,105
1817334574124,393583187077-2148,110523837,0.003696,105
1817369031696,393583174869-497,82893361,0.004227,105
1817389403654,393583276096-2441,50353421,0.004227,105
1817393231380,393583276096-1348,47690345,0.004227,105
1817424216293,393583249897-1483,120903159,0.003876,105
1817426680565,393583244706-2409,163250758,0.003960,105
1817490684015,393583476802-124,3868910461,0.008194,105
1817490684075,393583476802-141,3868910537,0.008194,105
1817490685727,393583476802-578,3868912366,0.008194,105
1817506903362,393583476802-1345,3850468606,0.008194,105
1817506905727,393583476802-2386,3850487085,0.008194,105
1817506906672,393583476802-2834,3813888331,0.008194,105
1817506907747,393583476802-3476,3087661089,0.008194,105
1817506908360,393583476802-3953,2505093525,0.008194,105
1817506922054,393583476802-4072,2505081848,0.008194,105
1817506922784,393583476802-4733,850593717,0.008194,105
1817555065430,393583551467-311,2424220133,0.008011,105
1817571022486,393583551467-4904,350202486,0.008011,105
1817571033884,393583551467-2992,2073496993,0.008011,105
1817571034894,393583551467-3917,1522369409,0.008011,105
1817571035044,393583551467-3969,1360982793,0.008011,105
1817581854295,393583551467-6343,318400188,0.008011,105
1817581876655,393583551467-5455,339349589,0.008011,105
1817590805296,393583532531-2637,2287160855,0.007660,105
1817592687954,393583532531-3041,2257644623,0.007660,105
1817600827538,393583532531-2325,2302438010,0.007660,105
1817614478131,393583544265-5343,297550191,0.007751,105
1817615478571,393583544265-4432,296547807,0.007751,105
1817623594265,393583532531-2017,2317066986,0.007660,105
1817625345539,393583538440-4524,800271033,0.008636,105
1817625350602,393583538440-4251,1436815755,0.008636,105
1817633436430,393588508719-0,115839216,0.036255,200
1817658505857,393583538440-1093,3597934720,0.008636,105
1817658917960,393583544265-1234,2385902501,0.007751,105
1817683756331,393583544265-1393,2275153934,0.007751,105
1817792790515,393588794136-86,86864016,0.003696,107
1817795572327,393588027220-82,1058504127,0.009247,200
1817809430977,393583532531-4672,48371192,0.007660,105
1817978662728,393586327389-1478,91172885,0.003258,105
1817978663244,393586327389-1820,175454536,0.003258,105
1818058970723,393591179733-312,32296608,0.003696,107
1818285720793,393591557009-14,380133904,0.002026,0
1818346305072,393573471133-608,197933669,0.002907,105
1818346320315,393588427463-190,6323110508,0.005280,105
1818357571599,393588427463-1244,6382099366,0.005280,105
1818367931328,393588429103-252,1403260998,0.011002,105
