time,task_id,duration,cpu,priority
1296735431928,384106048959-545,107017997,0.001497,105
1296741750429,384105111412-218,289467717,0.002026,105
1296790573147,384094237244-128,207594736,0.003170,105
1296797389886,384106099550-149,66715649,0.003788,107
1296797390080,384106099550-248,77879589,0.003788,107
1296797412050,384094240407-112,192734388,0.003521,105
1296797412730,384094240407-802,203740061,0.003521,105
1296809090482,384085829351-896,184873719,0.002907,105
1296818816885,384106233482-8,233836631,0.018311,200
1296820627088,384105553899-2236,49087311,0.008194,105
1296859487977,384106281920-654,2339267946,0.000616,105
1296865074500,384106324538-0,14290500233,0.000793,200
1296912194117,384102784608-8,128546042,0.001938,103
1296983018447,384098470788-217,92824157,0.004578,105
1296983020337,384098475279-591,67908816,0.002995,105
1296983021399,384098480912-529,574817237,0.003170,105
1296992685978,384106450817-240,1463590426,0.008987,103
1296994662782,384105929389-565,197427379,0.003170,105
1296994684648,384105929389-928,197409293,0.003170,105
1296994686336,384106383224-515,176568931,0.004845,105
1297006336759,384105867494-295,185450386,0.002995,105
1297006337041,384106382185-8,801041931,0.004135,105
1297006340046,384106396948-60,193555050,0.004051,105
1297006340234,384106396948-159,190749790,0.004051,105
1297006343667,384102784675-17,40574723,0.001585,103
1297006364922,384067409473-83,1841388314,0.006248,103
1297017698733,384106350467-1893,4599300109,0.005989,103
1297017698787,384106350467-1944,4307706692,0.005989,103
1297017703914,384106350467-1819,3068688283,0.005989,103
1297021192234,384057869747-374,1083155786,0.024933,103
1297028057076,384106447541-444,325800250,0.026154,103
1297028062019,384106448680-59,812857427,0.032043,103
1297047584112,384057554943-24,896940856,0.002731,103
1297056360098,384106564764-812,856218605,0.021759,103
1297283622926,384107052059-46,629168198,0.006958,107
1297340006930,384058010409-373,897438798,0.025360,103
1297344404840,384061517540-11,644570331,0.002464,103
1297352206297,384106785091-506,61403428,0.003696,105
1297352224924,384106785091-1015,90678162,0.003696,105
1297352226481,384107032091-128,187075736,0.002289,105
1297363342692,383840078008-0,746793590,0.000616,103
1297516939048,384107473471-141,1457688553,0.040527,0
1297598802772,384107586961-172,39205384940,0.002026,200
1297605323779,384107621349-17,843917323,0.031158,118
1297692967503,384108801326-17,224326950,0.002201,200
1297773338906,384108882058-330,112051217,0.003788,107
1297773338908,384108882058-331,131600524,0.003788,107
1298446176102,384110718097-207,153554018,0.003788,107
1298510221512,384110799615-550,365211609,0.002026,107
1298510223197,384110799615-1564,365232201,0.002026,107
1298630091719,384111002297-19,93880610,0.003788,107
1298774473669,384110799615-1958,100990395,0.002026,107
1298935949977,384112314583-255,89975931,0.003521,107
1298970039995,384112419149-0,21386135,0.001410,200
1298998109161,384112417393-459,1236248211,0.003258,116
1299315020395,384115932632-2,316926841,0.001144,200
1300466688377,384132968569-146,117638427,0.003521,107
1300651511572,384133183790-85,2313324816,0.008102,116
1300837657631,384134330300-1888,2314342318,0.005722,116
1300949432264,384076178466-8,301774777941,0.009720,0
1301113457402,384134833714-110,984428888,0.040527,0
1301262326493,384134951884-72,116717934,0.003696,107
1301295333987,384135012989-1,229007983,0.002201,200
1301392284949,384133008821-156,330439034,0.008987,105
1301600016728,384137296715-16,189954779,0.002819,0
1301694264162,384137350636-183,90079667,0.003521,107
1301815757818,384137561282-132,140717146,0.003788,107
1301880645563,384137606968-206,24260039926,0.003082,116
1301952169618,384132976022-717,8995029333,0.003082,105
1302301387895,384142164794-15,158654714,0.002819,0
1302497788243,384137243345-981,91756024,0.003788,105
1302560100776,384137334461-627,88188394,0.004845,105
1302560100946,384137334461-729,78662939,0.004845,105
1302567569471,384137334461-1844,70296535,0.004845,105
1302621492864,384137399396-916,104573453,0.003696,105
1302632215520,384137399396-1141,83253416,0.003696,105
1302634995679,384137422878-1309,84229255,0.004318,105
1302642120164,384137422878-1708,96930697,0.004318,105
1302642120459,384137422878-1117,105024100,0.004318,105
1302649107893,384137422878-767,88953061,0.004318,105
1302715108976,384137399396-1502,33740295,0.003696,105
1302946490802,384076194789-231,281891517710,0.005669,0
1302980057416,384107486012-240,233046831,0.004135,105
1302980058430,384107486012-811,243421387,0.004135,105
1303163473065,384145109850-48,675731772,0.016113,116
1303284228287,384145234975-150,66581217,0.003696,107
1303311081323,384146317643-0,44123727,0.037537,200
1303406997887,384143301272-289,34596251,0.001938,105
1303475552255,384143461707-744,75547446,0.004227,105
1303475552619,384143461707-965,77733235,0.004227,105
