,reward,profit,carbon_cost,excess_charge,max_profit
110000,"[0.0, 1.862869469709761, 1.6560903215534117, 1.1065735351153803, 0.17371941754787482, 0.7515029611106462, 2.6303668528297415, 2.54776273660289, 2.34990631772027, 2.8562277042601893, 2.9664077253128167, 1.2788083221065936, 0.5651846628920587, 0.0]","[0.0, 2.774290371361259, 3.105086047398079, 2.3029212319244143, 0.2662400000000006, 0.9761454020410628, 3.9803537547531698, 3.7010330102527855, 3.42941763251936, 3.95756596464539, 3.8527013048213568, 1.9138478145294198, 0.9523829481985712, 0.0]","[0.0, 0.9114209016514992, 1.4489957258446682, 1.1963476968090367, 0.09252058245212574, 0.2246424409304164, 1.3499695685900963, 1.1532702736498952, 1.0795113147990927, 1.1013382603852002, 0.8862762461752064, 0.6350394924228261, 0.3871982853065122, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
120000,"[0.0, 1.8146296925341994, 1.6792386094699396, 1.1858074001787868, 0.19296229520943964, 0.7550674974309769, 2.7302651789844083, 2.5876683042638, 2.1341097131856683, 2.808429755958715, 3.070059659523069, 1.3147891072168574, 0.5596608001541244, 0.0]","[0.0, 2.701921219705921, 3.2365279036895607, 2.468488218925846, 0.3031600000000003, 0.9837338922186089, 4.095587027569566, 3.734999264699011, 3.123702441443364, 3.886521086745133, 3.967315428023898, 1.9341458175762263, 0.9311244555036425, 0.0]","[0.0, 0.8872915271717228, 1.5572892942196228, 1.2826808187470604, 0.1101977047905607, 0.22866639478763157, 1.3653218485851573, 1.1473309604352142, 0.9895927282576975, 1.0780913307864222, 0.8972557685008283, 0.61935671035937, 0.37146365534951786, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
130000,"[0.0, 1.874036935216149, 1.5965866086419767, 1.1934020455025127, 0.1883583416786762, 0.7242018651797115, 2.5504169313883605, 2.629307010268321, 2.263562318186897, 2.5994790022405083, 3.0759631582683986, 1.2667253094649267, 0.6215534587448629, 0.0]","[0.0, 2.80378144032824, 2.9694443696503097, 2.4018326754449277, 0.2885999999999995, 0.944894968141435, 3.837087206629753, 3.8306634572869207, 3.3133029610605464, 3.6014124335224103, 3.986596511962048, 1.8827576135114157, 1.0750520103085648, 0.0]","[0.0, 0.9297445051120903, 1.3728577610083352, 1.2084306299424183, 0.10024165832132331, 0.2206931029617237, 1.2866529419080568, 1.2013564470186002, 1.0497406428736498, 1.001933431281906, 0.9105640203603184, 0.6160323040464908, 0.45349855156370206, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0, 6.933333333333333e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
140000,"[0.0, 1.7366701985460815, 1.624858566532528, 1.1234153999721868, 0.14687744760550484, 0.7618172628875365, 2.665592368540098, 2.583260326711257, 2.2127899095967534, 2.702595624775645, 2.924467295450635, 1.2080828942972064, 0.559709016572604, 0.0]","[0.0, 2.5837354493973783, 3.059799722792909, 2.351958011230187, 0.22568000000000066, 1.0002320938464018, 4.000574962165735, 3.754513029053943, 3.234005845011032, 3.7315321082772717, 3.7797449899448994, 1.7771397853102981, 0.9393826132122413, 0.0]","[0.0, 0.8470652508512986, 1.4349411562603844, 1.228542611258002, 0.07880255239449581, 0.23841483095886545, 1.334965260292303, 1.1712527023426886, 1.0212159354142785, 1.028936483501628, 0.8552776944942669, 0.5690568910130941, 0.37967359663963735, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.733333333333358e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
150000,"[0.0, 1.8697037335566935, 1.7385893280014202, 1.0474018737109394, 0.14821676138868384, 0.8139383370139934, 2.659953784673416, 2.817062893818625, 2.252042776751443, 2.8813304085451366, 2.9819656238992507, 1.252699147454977, 0.6586764774612545, 0.0]","[0.0, 2.811774033942242, 3.2312844373058085, 2.1858239507835435, 0.23399999999999987, 1.0661343027271313, 3.9983321018509645, 4.057108275198102, 3.3073799762916734, 3.984261197900621, 3.8615085738853234, 1.8457246929250228, 1.1180621551559142, 0.0]","[0.0, 0.9420703003855505, 1.4926951093043903, 1.1384220770726068, 0.08578323861131602, 0.2521959657131385, 1.3383263171775512, 1.2400453813794743, 1.055337199540229, 1.102930789355487, 0.8795082833194073, 0.5930255454700464, 0.45938567769466, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.200000000000024e-05, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
160000,"[0.0, 1.7654585911125962, 1.8034636003755247, 1.1274474158466639, 0.20022422840496032, 0.7182935267266167, 2.652826043886509, 2.6784072112098234, 2.2227784565495736, 2.788561140227441, 3.0276358583598784, 1.2420743086831698, 0.6489145777220733, 0.0]","[0.0, 2.6475114007629204, 3.316500372485438, 2.315787773615492, 0.314600000000001, 0.9330695621581988, 4.004270776758889, 3.8947673962762455, 3.2652618918680854, 3.865791463802127, 3.9288909860053334, 1.8415920938464057, 1.088559050252282, 0.0]","[0.0, 0.8820528096503264, 1.5130367721099158, 1.1883403577688296, 0.11437577159504071, 0.2147760354315822, 1.351410066205715, 1.2163601850664219, 1.0424834353185117, 1.0772303235746892, 0.9012377943121226, 0.5995177851632373, 0.43964447253020894, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
170000,"[0.0, 1.8852410494088119, 1.667494568435519, 1.1111702874784049, 0.22730749628840147, 0.7050422636640843, 2.5072262850000544, 2.5881575347194703, 2.2130540774294376, 2.872749996361371, 3.048928210601293, 1.2484745601777345, 0.5718540746562925, 0.0]","[0.0, 2.812700702853463, 3.090930819455999, 2.307679460198299, 0.3572400000000012, 0.923449964026995, 3.775064219260062, 3.763179789203985, 3.2045555696295116, 3.9737967207218143, 3.96281921594936, 1.8420313213930983, 0.9291132928277355, 0.0]","[0.0, 0.9274596534446506, 1.423436251020481, 1.1964918393865633, 0.12993250371159976, 0.21840770036291046, 1.2678379342600075, 1.1750222544845146, 0.9915014922000748, 1.101046724360445, 0.9138563386814011, 0.5935567612153644, 0.3572592181714429, 0.0]","[0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 2.4632148173016805e-19, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
180000,"[0.0, 1.7828008483325273, 1.6757647397063669, 1.0963692943605332, 0.20836647838566227, 0.7582687399474081, 2.7128150709771757, 2.499678577615577, 2.201153214843407, 2.7485458242610203, 2.9869263388844325, 1.2012713916322444, 0.5911216949245481, 0.0]","[0.0, 2.6787851389139585, 3.1715721127234504, 2.3056206954306364, 0.3322800000000006, 0.9872421472417892, 4.087445218294752, 3.6096926026115463, 3.228097511106861, 3.803648668097702, 3.860099759962153, 1.7725218423852795, 0.9759776501949771, 0.0]","[0.0, 0.895984290581431, 1.4958073730170842, 1.2092340677367714, 0.12391352161433825, 0.22897340729438112, 1.3746128139842404, 1.110014024995971, 1.0269442962634534, 1.055102843836682, 0.8731560877443894, 0.5712504507530354, 0.3848559552704289, 0.0]","[0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 1.733333333333358e-05, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
190000,"[0.0, 1.7035173758256443, 1.6448148956939934, 1.1242821159079546, 0.20427009017606704, 0.7472460606536812, 2.7475116857704793, 2.6693830196707693, 2.23757974004576, 2.846447934893706, 2.9997873068148255, 1.2233493974464675, 0.6215813615304857, 0.0]","[0.0, 2.5421586662493723, 3.0605176209709084, 2.3473361524007545, 0.3229200000000012, 0.9787954488001658, 4.1684525842014, 3.866943692101867, 3.2383209441370013, 3.935166347685912, 3.89938595866741, 1.8257545880107893, 1.0342279497256026, 0.0]","[0.0, 0.8386412904237288, 1.415702725276918, 1.2230540364928024, 0.11864990982393414, 0.23154938814648443, 1.4208888984309211, 1.1975606724310999, 1.00074120409124, 1.0887184127922076, 0.8995813185192524, 0.6024051905643228, 0.4126465881951167, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.2e-05, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
200000,"[0.0, 1.6737996153263244, 1.762593987615879, 1.1297396657986594, 0.13139722008538865, 0.7110639607326006, 2.523996866962133, 2.841277382622917, 2.239119556899426, 2.6871219791303336, 2.912188190091929, 1.3241711177983964, 0.6378710619798044, 0.0]","[0.0, 2.495687149524305, 3.276346725402177, 2.387391813669851, 0.20852000000000048, 0.9354987504457462, 3.8058466682183623, 4.124108277913521, 3.2604633216761134, 3.7144238252028683, 3.777187089997415, 1.9550401323218023, 1.0567762516399637, 0.0]","[0.0, 0.8218875341979817, 1.5137527377862998, 1.2576521478711942, 0.07712277991461185, 0.2244347897131457, 1.2818324679228985, 1.2828308952906005, 1.0213437647766863, 1.027301846072534, 0.8649815665721535, 0.6308690145234083, 0.41890518966015916, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
