,reward,profit,carbon_cost,excess_charge,max_profit
10000,"[0.0, 1.8587260313035994, 1.7368170450599592, 1.2034850307499392, 0.1540392959881168, 0.6830879939222769, 2.584956669920646, 2.5472477610932343, 2.3085974948501677, 2.7155803347386205, 3.0240129484097333, 1.2475167026137979, 0.6501384895055935, 0.0]","[0.0, 2.7520895609363296, 3.2331574611325142, 2.4682111380834617, 0.2423200000000001, 0.8893121685153034, 3.9089186299641474, 3.6777922638535636, 3.3811182250357064, 3.7608925140760507, 3.9252887244150254, 1.8483894019287646, 1.0996021154632318, 0.0]","[0.0, 0.8933635296327316, 1.4963404160725573, 1.264726107333524, 0.08828070401188325, 0.20622417459302636, 1.3239619600435015, 1.1305445027603285, 1.0725207301855393, 1.0453121793374305, 0.9012411093386269, 0.6008726993149658, 0.4494636259576382, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
20000,"[0.0, 1.8947577621003697, 1.70403771499159, 1.1019640017333079, 0.13691623372877187, 0.7015056404480801, 2.572838713778349, 2.677696232861623, 2.2799188055424717, 2.8167818941560046, 3.104011567295762, 1.2387776468570564, 0.6118466822164406, 0.0]","[0.0, 2.8196577570366226, 3.2454436765204906, 2.3092466113730725, 0.21735999999999978, 0.9092280688517433, 3.8954065343152187, 3.86597755005808, 3.291343371850148, 3.904437435658658, 4.027576263242049, 1.8312894080773303, 1.0247371659193096, 0.0]","[0.0, 0.9248999949362539, 1.541405961528902, 1.2072652763064329, 0.08044376627122789, 0.20772242840366298, 1.32246382053687, 1.1882813171964546, 1.0114245663076773, 1.0876555415026548, 0.92353002927962, 0.5925117612202746, 0.41289048370286885, 0.0]","[0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.00010400000000000074, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
30000,"[0.0, 1.850165389399233, 1.7107347317921753, 1.1208332552181899, 0.18696543734949417, 0.7453847716871317, 2.6998279987923244, 2.633037356357963, 2.2464994823714983, 2.742787351741102, 3.0394950884474414, 1.2243485815221007, 0.5919196387009602, 0.0]","[0.0, 2.7526655315000856, 3.23486647260216, 2.333304932675122, 0.2870400000000003, 0.9759924699128976, 4.050436786681313, 3.8084640754990926, 3.2702885057326188, 3.7945339573761783, 3.9191394464717386, 1.8308424187758874, 1.0304595395019303, 0.0]","[0.0, 0.9025001421008535, 1.5241317408099868, 1.212471677456934, 0.10007456265050614, 0.23060769822576602, 1.3506087878889885, 1.1754267191411303, 1.0237890233611218, 1.0517466056350782, 0.8796096913576282, 0.6064938372537888, 0.4385399008009701, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.4632148173016805e-19, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
40000,"[0.0, 1.7378100006214503, 1.6992601471917061, 1.1513519731302493, 0.22597538634532602, 0.7751568973470765, 2.68763265296029, 2.560386358652752, 2.2232273896746424, 2.725050353648386, 2.9434252106552186, 1.2152748495290273, 0.6309468170222357, 0.0]","[0.0, 2.588307329631992, 3.2206415220498776, 2.380878263097576, 0.3541200000000011, 1.0039576135114163, 4.049505751834109, 3.72006570484085, 3.254821223286437, 3.7694943026159105, 3.8193453277114986, 1.816103797777432, 1.0652706246201675, 0.0]","[0.0, 0.8504973290105432, 1.5213813748581744, 1.2295262899673276, 0.12814461365467505, 0.2288007161643397, 1.3618730988738168, 1.1596793461880985, 1.031593833611797, 1.0444439489675243, 0.8758854503896126, 0.600828948248407, 0.43432380759793165, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
50000,"[0.0, 1.798448954996968, 1.6898925543424967, 1.1620407979293323, 0.20117171443670362, 0.6939555221807063, 2.545472031428174, 2.642020598791429, 2.1978279861183996, 2.7924407605500856, 2.9953865077638597, 1.2868543539303523, 0.5563982929570436, 0.0]","[0.0, 2.6880568096558166, 3.156891750253795, 2.4027509568368934, 0.3223999999999998, 0.8967443042378146, 3.8211696750038064, 3.8333417348547787, 3.1875345966468185, 3.85614094987369, 3.885453919899902, 1.911498309693914, 0.9550774622449725, 0.0]","[0.0, 0.8896078546588471, 1.466999195911297, 1.240710158907563, 0.12122828556329615, 0.20278878205710826, 1.27564564357563, 1.1913211360633524, 0.9897066105284206, 1.063700189323607, 0.8900327454693763, 0.6246439557635628, 0.3986791692879289, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.2e-05, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
60000,"[0.0, 1.904523251363216, 1.71183379145436, 1.1544041420157412, 0.20337672557239825, 0.8018618586234052, 2.6511312817782855, 2.7769071257081164, 2.2849985526983705, 2.7303537904327326, 3.0468233584546573, 1.2396246339360835, 0.6479458293096035, 0.0]","[0.0, 2.826620104183063, 3.169602095752899, 2.384595827777337, 0.31512000000000073, 1.0593114651915903, 4.008795499300962, 4.016890208565503, 3.3335773526930854, 3.780254143347502, 3.932159155880868, 1.8339628306435418, 1.0988675846195037, 0.0]","[0.0, 0.9220968528198437, 1.4577683042985399, 1.230191685761599, 0.11174327442760248, 0.2574496065681851, 1.3576642175226767, 1.2399830828573868, 1.0485787999947143, 1.0499003529147704, 0.885301130759545, 0.5943381967074589, 0.4509217553099008, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
70000,"[0.0, 1.8978932093712324, 1.6595264549367625, 1.1591893133310884, 0.1653961818231606, 0.725971862204285, 2.4864026221458544, 2.6454455961591905, 2.3231400424171134, 2.6872815257445666, 3.0284936824770208, 1.239930979917518, 0.6507698841501223, 0.0]","[0.0, 2.8418093625593204, 3.1518121894365705, 2.3994096515877663, 0.2527200000000006, 0.9423287635195763, 3.760831440391364, 3.8586545474244303, 3.350744120294678, 3.713439934312117, 3.9278720150878184, 1.8161405617256707, 1.0835591959555044, 0.0]","[0.0, 0.9439161531880901, 1.4922857344998082, 1.2402203382566797, 0.08732381817683993, 0.21635690131529095, 1.2744114849121762, 1.2132089512652435, 1.0276040778775626, 1.0261584085675528, 0.8993609992774636, 0.5762095818081553, 0.4327893118053824, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
80000,"[0.0, 2.0263746188553595, 1.73638846192606, 1.134836608136295, 0.17644573963703786, 0.7301425590800552, 2.5798946988019216, 2.5871666981269428, 2.191997073094377, 2.786448303991164, 2.8699280990841616, 1.3675376947426652, 0.636886700375592, 0.0]","[0.0, 3.0181550199244462, 3.1871861784570847, 2.345183630466825, 0.2787200000000011, 0.9431018492409914, 3.8870169199677225, 3.759093759527331, 3.186896368874332, 3.854595342079494, 3.730699976569509, 2.0264461330531667, 1.08195931823218, 0.0]","[0.0, 0.9917804010690863, 1.4507977165310262, 1.2103123556638635, 0.10227426036296325, 0.21295929016093604, 1.3070875544991367, 1.1719270614003876, 0.994899295779958, 1.0681470380883327, 0.8607718774853456, 0.6589084383105017, 0.4450726178565882, 0.0]","[0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
90000,"[0.0, 1.8021863938050815, 1.6756973260173742, 1.167655078106028, 0.16807088966835018, 0.7502578103923396, 2.6538254929931515, 2.6451992886524924, 2.1839326348981314, 2.588485177489152, 3.059164416235151, 1.2124730608272274, 0.580347789924317, 0.0]","[0.0, 2.683038006592072, 3.1820738205839976, 2.4165778284381694, 0.26364000000000054, 0.9874603067180775, 4.006789719359107, 3.81938316408117, 3.190815655952346, 3.5742740570496068, 3.977185606767165, 1.8063315674440061, 1.006251625972915, 0.0]","[0.0, 0.8808516127869916, 1.5063764945666238, 1.2489227503321438, 0.09556911033165034, 0.2372024963257379, 1.3529295596992863, 1.1741838754286773, 1.006883021054215, 0.9857888795604574, 0.9179865238653475, 0.5938585066167792, 0.42590383604859816, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
100000,"[0.0, 2.033246042540802, 1.7481978222926642, 1.2214531261136536, 0.19285435656609537, 0.7838769813663022, 2.7296381024395133, 2.7492955444597116, 2.2089585543183485, 2.615515751249942, 3.0620258658272737, 1.1960156006817027, 0.5911964279433104, 0.0]","[0.0, 3.0183536746045716, 3.276886801831806, 2.5114218864649764, 0.2995200000000008, 1.0138134068768638, 4.105330511313743, 4.003651217880903, 3.223443440242181, 3.6124818951168933, 3.971195112752313, 1.746687619485892, 0.9891762516399618, 0.0]","[0.0, 0.9851076320637718, 1.5286889795391456, 1.2899687603513275, 0.10666564343390543, 0.2299364255105619, 1.3756750755408989, 1.2543556734211951, 1.0144848859238316, 0.9969661438669548, 0.9091519135917067, 0.5506720188041905, 0.3979798236966512, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
