PPO algorithm_train,selective charge @ rate 16.0 A_train,optimal greedy_train,PPO algorithm_eval,selective charge @ rate 16.0 A_eval,optimal greedy_eval
-27.09471205749618,-9.454959909392793,-2.902218560165903,-13.163181502385173,-10.76906279303131,-1.3098520837835503
-14.393876278219661,-10.539328156535124,-7.4138161449516415,-16.017206807040633,-6.056343215621291,-0.884100431924732
-8.252657724309207,3.973317401591185e-14,-2.4661903760774146,-0.8035638156923111,-1.0618576748767692,-0.0064031575640393764
-20.597932790859772,-13.835601349942507,-4.633198375268489,-0.5877052947363368,-0.22450370030397415,-1.0248941436949948
-12.130476111038274,-6.3090233830666556,-7.577073778404762,-0.3384412642413781,6.661338147750939e-15,-0.008346430821994932
-14.236574965001896,-10.80696403105158,-1.3333426511588198,-0.8632216921106456,4.9960036108132044e-15,1.0504417848376481e-14
-16.037654415549017,-9.282232453044347,-3.2606058926589645,-2.307547028751975,-1.3120086116742615,-0.40900689906280463
-14.587418638073668,-8.624454771761325,-1.2868693454206117,-56.827390702607445,2.8609593326879035e-15,-0.005300086186837543
-16.477903780785727,-5.218244167260653,-1.5937988561132674,-15.726444240286277,-3.025002942318955,-2.1752897884331936
-5.030345941461175,-1.5899343715545167,-2.552965564808628,8.36937357025118e-15,-0.19671645472562432,2.5193522481878553e-15
-2.807366225829395,-3.9023328483402557,-1.35179018056742,-4.089030350934093,-0.676737271559163,-0.005110871927544447
-13.312896030586892,-5.4652853405874815,-6.423099191689974,-62.320533631467505,-9.540164441216074,-3.7273668960482347
-23.904673122373048,-7.2353958172853075,-3.7267282573502514,-18.125490946682113,-9.475204289938459,-5.2653312089074475
-11.601501777826323,-5.591834206621099,-2.154293229548094,-5.453580950019141,-2.300012455806765,-0.01690811381493411
-22.456449384775937,-9.00187214484964,-0.31799996067088143,-24.124618050850295,-12.501425485844278,-4.377412172107834
-5.228779619333045,-0.2708719309792797,-0.40823946619427554,-1.0242603831300285,-0.06301506160759948,-0.27079733495280855
-21.877017861129815,-13.17984344964537,-5.572306553796327,-1.5345662768847643,3.4160708450004818e-15,-0.0004624529965492939
-9.563351883903884,-1.3943424783999823,-1.041783441963033,-0.6731277107721358,8.710980654751227e-15,-0.0008408191793466499
-16.06923977187514,-3.516321999144178,-6.44831786404624,-23.1769131629144,-4.363688465242629,-4.05451449907417
-25.71517072464092,-6.204530315571974,-6.017776140980937,-1.4660490297456494,-0.423895960546511,-3.200181991309905
-18.943921646409287,-6.856372454198894,-3.1819687615946055,-13.290121380000215,-2.29351938241755,-0.08576705706244532
-8.651936298253819,-6.428345281581052,-0.7306365180907257,-4.765994049649739,-1.0490608969961117,-0.005556663402487881
-1.5870822306758845,-2.262457937767461,-0.03710172131266087,-39.083803868613515,-6.4434559112271845,-1.505978802901939
-4.672724115349376,3.6978966897130216e-14,-0.22074146216727794,-7.111143854392433,-1.685237909617424,-0.34129256338002056
-14.833011170367383,-10.804768682457714,-5.893625790682384,-1.5157459787542256,-0.277212251234304,-0.00535953172799351
-27.013509420342547,-9.826175541527023,-5.382099388184923,-1.5323653218728235,8.36937357025118e-15,-0.0012360852473476572
-0.7146119842008618,-0.7080565186457035,-0.015837653702600894,-0.41437376922105806,-0.1585404360495639,-0.803564792096192
-5.656432959151258,-0.9556105946303788,-1.4888680384883537,-9.240065154411727,-0.7602218986079325,-0.06877542240658892
-14.209984489253067,-4.704279369001988,-1.7292776119435427,-4.633216760128531,2.6474549048753737e-15,-0.00048331233110073733
-28.026462218671675,-6.2469800185822875,-1.433565430462259,-0.12691735422212141,4.355490327375614e-15,1.2297855042001736e-14
