,reward,profit,carbon_cost,excess_charge,max_profit
110000,"[7.0036152186111, 7.976226678927717, 1.2491590634897434, 1.2956303110429257, 0.4476799664052909, 1.839517164439065, 9.192811190689932, 6.026572909684107, 6.615022371851498, 6.10275854090906, 5.950675429472306, 0.7864351559462126, 1.3428055069351763, 7.126170155325593]","[8.968949394451355, 10.260051852915618, 1.326602543246899, 1.6970420722069353, 0.5653827249620362, 2.3536350949986993, 11.43532262236562, 7.899227283788016, 9.112817392423432, 9.225806050844554, 8.78259856535211, 1.1637600000000021, 1.9221283181418978, 9.083319736517044]","[1.9652821758402528, 2.2837558406545617, 0.0774434797571566, 0.401411761164011, 0.11770275855674535, 0.514117930559635, 2.242320765009026, 1.872654374103917, 2.497795020571941, 3.1229608432688276, 2.8318364692131275, 0.37732484405378935, 0.5793228112067228, 1.9571322478581183]","[5.2e-05, 6.933333333333333e-05, 0.0, 0.0, 0.0, 0.0, 0.00019066666666666643, 0.0, 0.0, 8.666666666666691e-05, 8.666666666666716e-05, 0.0, 0.0, 1.7333333333333332e-05]","[11.101619999999999, 12.785959999999998, 2.4863999999999997, 2.39168, 0.8057599999999999, 3.2805, 14.360980000000001, 9.16558, 10.038319999999999, 11.605160000000001, 10.21034, 1.85426, 2.83692, 11.101619999999999]"
120000,"[7.044434262483639, 8.041901085597349, 1.0510402607825131, 1.346036416562392, 0.4398047242460627, 1.8274832416815234, 9.38973435996967, 5.889880451522201, 6.468199538649265, 6.235491912120491, 6.1457500081473375, 0.6966596725270677, 1.2609198109606436, 7.0991039438989585]","[9.002513936731091, 10.339307291274833, 1.117355054527588, 1.7375251509180698, 0.5503441934550485, 2.340737613221766, 11.717690423378516, 7.680657520890112, 8.8884632862038, 9.394681930665277, 9.033908470959226, 1.0123667580778444, 1.8136838579918109, 9.085878194328362]","[1.958027674247448, 2.2972502056774906, 0.06631479374507485, 0.3914887343556813, 0.11053946920898583, 0.5132543715402431, 2.3279387300755237, 1.790777069367911, 2.4202637475545394, 3.159172685211456, 2.888089129478557, 0.31570708555077653, 0.552764047031169, 1.986739583762731]","[5.2e-05, 0.00015600000000000002, 0.0, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 1.7333333333333332e-05, 6.933333333333333e-05, 0.0, 0.0, 3.4666666666666665e-05]","[11.101619999999999, 12.785959999999998, 2.4863999999999997, 2.39168, 0.8057599999999999, 3.2805, 14.360980000000001, 9.16558, 10.038319999999999, 11.605160000000001, 10.21034, 1.85426, 2.83692, 11.101619999999999]"
130000,"[7.118596860871915, 8.05865341118221, 1.1151789832250327, 1.3100353592426501, 0.4502716004058356, 1.7481353080885533, 9.029555755256071, 6.005501076738638, 6.387017414725428, 6.075896166263476, 6.10851860673895, 0.7367575792192946, 1.3430391511717954, 7.12011114822324]","[9.062126809337427, 10.346793956681655, 1.1931657888763514, 1.7091977669235043, 0.5633662595873931, 2.2334793892832794, 11.228594538424574, 7.893383779848092, 8.77941403974174, 9.204723502884292, 8.97969930525251, 1.1148800000000019, 1.9275397553580755, 9.083076577688782]","[1.943495281798842, 2.2881058788327837, 0.07798680565131821, 0.3991624076808548, 0.1130946591815574, 0.48534408119472805, 2.199004116501839, 1.8878653697761216, 2.3923966250163087, 3.128706003287482, 2.8711633651802244, 0.3781224207807074, 0.5845006041862814, 1.9629134294655417]","[3.4666666666666665e-05, 3.4666666666666665e-05, 0.0, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 1.7333333333333332e-05, 0.0, 0.00012133333333333335, 1.7333333333333332e-05, 0.0, 0.0, 5.2e-05]","[11.101619999999999, 12.785959999999998, 2.4863999999999997, 2.39168, 0.8057599999999999, 3.2805, 14.360980000000001, 9.16558, 10.038319999999999, 11.605160000000001, 10.21034, 1.85426, 2.83692, 11.101619999999999]"
140000,"[7.270589795018788, 8.094716736668559, 1.2107250934023936, 1.3152318318948109, 0.40988571758139813, 1.8830671077324646, 9.150891569643152, 6.01597940332625, 6.421287946346245, 6.022571877612549, 5.990510163338696, 0.7107919783671363, 1.32760034560913, 7.2213844684285755]","[9.265567672291837, 10.389431148339021, 1.2793769579317535, 1.7262288177618994, 0.5131464863836839, 2.402311765762972, 11.329890175147167, 7.8557347742907, 8.82272400777016, 9.159423186541385, 8.828562074461937, 1.0565796400069356, 1.9035756605945018, 9.22443389579098]","[1.994977877273047, 2.294679745003789, 0.06865186452935904, 0.4109969858670907, 0.10326076880228569, 0.5192446580305091, 2.1788426055040184, 1.8397553709644565, 2.4014187280905923, 3.136747308928838, 2.8380172444565654, 0.34578766163979957, 0.5759753149853727, 2.0029800940290667]","[0.0, 3.466666666666691e-05, 0.0, 0.0, 0.0, 0.0, 0.00015600000000000024, 0.0, 1.7333333333333332e-05, 0.00010400000000000025, 3.466666666666691e-05, 0.0, 0.0, 6.933333333333333e-05]","[11.101619999999999, 12.785959999999998, 2.4863999999999997, 2.39168, 0.8057599999999999, 3.2805, 14.360980000000001, 9.16558, 10.038319999999999, 11.605160000000001, 10.21034, 1.85426, 2.83692, 11.101619999999999]"
150000,"[7.114821087481181, 7.833149648854376, 1.1977209789072982, 1.3359287676346547, 0.43943083411517286, 1.9745324994067561, 9.2117472626434, 5.812866519588817, 6.494497738517226, 6.1492581022941275, 5.951287755433401, 0.7109760928427922, 1.2022020769235169, 7.2318935690800075]","[9.121532457739509, 10.08555798850047, 1.2843318997502697, 1.720885297746643, 0.5527640005852166, 2.545258232148094, 11.460929499045545, 7.573795288388272, 8.923898874966127, 9.286884151796077, 8.720439336453015, 1.0676902606798022, 1.7337264839829767, 9.234070379036263]","[2.006711370258331, 2.2523736729794255, 0.08661092084297238, 0.38495653011198894, 0.11333316647004368, 0.5707257327413402, 2.2491649030688237, 1.760928768799457, 2.4294011364489054, 3.137504716168625, 2.7690995810196113, 0.35671416783701004, 0.5315244070594606, 2.0021248099562574]","[0.0, 3.466666666666715e-05, 0.0, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.00012133333333333335, 5.200000000000024e-05, 0.0, 0.0, 5.2e-05]","[11.101619999999999, 12.785959999999998, 2.4863999999999997, 2.39168, 0.8057599999999999, 3.2805, 14.360980000000001, 9.16558, 10.038319999999999, 11.605160000000001, 10.21034, 1.85426, 2.83692, 11.101619999999999]"
160000,"[6.990025084676376, 8.024655437683512, 1.2138022034554257, 1.3175261017918265, 0.42511611901695345, 1.948671551636509, 9.2634215327446, 5.859553712471351, 6.410785955315005, 6.033291229806368, 6.035042657383211, 0.6287768445695008, 1.3648945875803886, 7.24338421494492]","[8.932544692455497, 10.304330900136314, 1.3079771613093882, 1.7135518912938585, 0.5356038975909563, 2.501200000000001, 11.50962816424604, 7.679383400416673, 8.82804242444965, 9.17772443550127, 8.867765688119496, 0.9375600000000024, 1.9380354087238698, 9.261458050479437]","[1.9425022744457874, 2.2796234624528156, 0.0941749578539626, 0.3960257895020335, 0.11048777857400269, 0.5525284483634942, 2.2461892981681064, 1.819829687945323, 2.4172564691346503, 3.1444158723615727, 2.832705697402946, 0.3087831554305014, 0.5731408211434836, 2.0180565022011807]","[1.7333333333333332e-05, 5.200000000000024e-05, 0.0, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 1.733333333333358e-05, 1.7333333333333332e-05, 0.0, 0.0, 1.7333333333333332e-05]","[11.101619999999999, 12.785959999999998, 2.4863999999999997, 2.39168, 0.8057599999999999, 3.2805, 14.360980000000001, 9.16558, 10.038319999999999, 11.605160000000001, 10.21034, 1.85426, 2.83692, 11.101619999999999]"
170000,"[7.206640086305734, 7.956100413184853, 1.2067992761993407, 1.283475875320978, 0.44758229164992647, 1.8128911154854646, 9.058790996010812, 5.96857277567697, 6.450044916529022, 6.134065700462184, 6.0209596275015205, 0.688096180976977, 1.3873508350426573, 7.299960785052857]","[9.21610840980118, 10.219975631646836, 1.2763204879298045, 1.6699217317779793, 0.5614022852569641, 2.322419550639192, 11.22749386568129, 7.7738921972410715, 8.84379330318415, 9.309827485742098, 8.84348171299533, 1.0131665288000553, 1.9809761807045136, 9.317337020608592]","[2.009398990162106, 2.2637885517953222, 0.06952121173046415, 0.3864458564570022, 0.11381999360703768, 0.5095284351537326, 2.168494869670478, 1.8053020882307738, 2.3937483866551243, 3.1757444519465903, 2.8225220854938007, 0.3250703478230781, 0.593625345661858, 2.01732423555573]","[6.933333333333333e-05, 8.666666666666667e-05, 0.0, 0.0, 0.0, 0.0, 0.00020800000000000048, 1.7333333333333332e-05, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0, 5.2e-05]","[11.101619999999999, 12.785959999999998, 2.4863999999999997, 2.39168, 0.8057599999999999, 3.2805, 14.360980000000001, 9.16558, 10.038319999999999, 11.605160000000001, 10.21034, 1.85426, 2.83692, 11.101619999999999]"
180000,"[7.148598022685843, 8.04697480186437, 1.1910532248916474, 1.313234409059092, 0.4625871782908764, 1.878369326044144, 9.118725043802886, 6.005239422934922, 6.434512413973261, 6.155517848957863, 6.048067070058867, 0.658384128938228, 1.4187268546054368, 7.031134905831012]","[9.146704719195554, 10.346535256462193, 1.2683451638028052, 1.6958673678730516, 0.5769467283977633, 2.4083920528666143, 11.2940271202834, 7.839024095232757, 8.83206286246489, 9.312761463515399, 8.872972248466356, 0.9613457283042259, 2.0487264403933625, 8.971429231011442]","[1.998072029843041, 2.299508454597828, 0.0772919389111588, 0.3826329588139616, 0.11435955010688681, 0.5300227268224724, 2.175284743147187, 1.8337673389645028, 2.397550448491631, 3.1571916145575307, 2.824887845074156, 0.30296159936599765, 0.6299995857879268, 1.940276991847098]","[3.4666666666666665e-05, 5.2e-05, 0.0, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 1.7333333333333332e-05, 0.0, 5.200000000000024e-05, 1.733333333333358e-05, 0.0, 0.0, 1.7333333333333332e-05]","[11.101619999999999, 12.785959999999998, 2.4863999999999997, 2.39168, 0.8057599999999999, 3.2805, 14.360980000000001, 9.16558, 10.038319999999999, 11.605160000000001, 10.21034, 1.85426, 2.83692, 11.101619999999999]"
190000,"[7.14670523330384, 7.9954530827822285, 1.2441844438440701, 1.3233818032889595, 0.3915084878073371, 1.952105486193985, 9.097176651325123, 5.954275788731454, 6.50344069520141, 6.095530847637759, 5.9529780230902665, 0.6638451462091406, 1.326433130324453, 7.1135280326354975]","[9.143497282664303, 10.268026205265345, 1.3344452274461833, 1.7180406109381896, 0.49187056130371076, 2.5254868888313036, 11.31061993272971, 7.779959666603253, 8.95541700752763, 9.196203742362819, 8.756230426242253, 1.0202257036611533, 1.8926400653045454, 9.106210915812056]","[1.9967227160271415, 2.2724864558164426, 0.09026078360211315, 0.3946588076492318, 0.10036207349637363, 0.5733814026373218, 2.2134432814045812, 1.8256838778718045, 2.4519589789928884, 3.1005688947250634, 2.803252403151984, 0.35638055745201236, 0.5662069349800938, 1.9926828831765608]","[6.933333333333333e-05, 8.666666666666691e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.00010400000000000025, 2.4632148173016805e-19, 0.0, 0.0, 0.0]","[11.101619999999999, 12.785959999999998, 2.4863999999999997, 2.39168, 0.8057599999999999, 3.2805, 14.360980000000001, 9.16558, 10.038319999999999, 11.605160000000001, 10.21034, 1.85426, 2.83692, 11.101619999999999]"
200000,"[7.151361708450505, 8.046085202012568, 1.1726244518749955, 1.2164239433472366, 0.42762600532650585, 1.788528520872786, 8.947863409913392, 5.829655914821206, 6.530941863262514, 6.114116558725104, 5.913999010995631, 0.7036052794655204, 1.2958335106771186, 7.006726031939895]","[9.141309930439217, 10.341073980322676, 1.2530546924490504, 1.5945438755572443, 0.5295013809544971, 2.3035979397027933, 11.130783465890408, 7.62328459047106, 8.955929230808557, 9.227642061245959, 8.709817082387522, 1.0446800000000027, 1.840913583863313, 8.985598203177902]","[1.989844221988704, 2.2949021116434434, 0.08043024057405594, 0.3781199322100086, 0.10187537562799115, 0.5150694188300107, 2.182764055977017, 1.793628675649859, 2.4249873675460436, 3.1134908358541873, 2.79576607139189, 0.34107472053448207, 0.5450800731861957, 1.9788201712380113]","[0.00010400000000000001, 8.66666666666674e-05, 0.0, 0.0, 0.0, 0.0, 0.00015600000000000024, 0.0, 0.0, 3.4666666666666665e-05, 5.2e-05, 0.0, 0.0, 5.2e-05]","[11.101619999999999, 12.785959999999998, 2.4863999999999997, 2.39168, 0.8057599999999999, 3.2805, 14.360980000000001, 9.16558, 10.038319999999999, 11.605160000000001, 10.21034, 1.85426, 2.83692, 11.101619999999999]"
