,reward,profit,carbon_cost,excess_charge,max_profit
10000,"[0.0, 1.781054792301149, 1.6122024224584217, 1.1200064035617314, 0.20083791551119895, 0.656972602334967, 2.6034168510599223, 2.643159588747456, 2.255742729015271, 2.682633411750044, 3.056924682291959, 1.2171351999600564, 0.6460434130290542, 0.0]","[0.0, 2.6726517225897646, 3.0089883393788854, 2.35451375312709, 0.31408000000000025, 0.8513597968451899, 3.929769603873393, 3.833484930071337, 3.27824465817194, 3.7049819495351572, 3.9647502707788975, 1.7952545256790307, 1.0862223678508713, 0.0]","[0.0, 0.8915969302886154, 1.3967859169204673, 1.2345073495653613, 0.11324208448880128, 0.19438719451022274, 1.3263354194801407, 1.1903253413238815, 1.022501929156669, 1.0223485377851158, 0.9078082551536051, 0.5781193257189768, 0.4401789548218178, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
20000,"[0.0, 1.8357093720681263, 1.7181551055592794, 1.1294025005656798, 0.1982159669214567, 0.7261544479180301, 2.6255196978579844, 2.5707517398578767, 2.3633165286669193, 2.4887982759584735, 3.031778816472969, 1.2122768791718301, 0.63715645698325, 0.0]","[0.0, 2.7339871427961, 3.1958458396327587, 2.395607000804269, 0.3114800000000002, 0.9382589358392478, 3.962084696988425, 3.723461231796212, 3.4255822747754547, 3.431686803020875, 3.944165421257539, 1.817224690612854, 1.0589130607170607, 0.0]","[0.0, 0.8982777707279742, 1.4776907340734822, 1.2662045002385927, 0.11326403307854345, 0.2121044879212177, 1.3365303324637738, 1.152709491938336, 1.0622657461085352, 0.9428885270624014, 0.9123519381179013, 0.6049478114410254, 0.42175660373381085, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
30000,"[0.0, 1.8511291892860395, 1.5823853762844695, 1.1185576353929771, 0.18064156372925327, 0.7469846989624083, 2.55987512642308, 2.699455118981891, 2.1730867197144357, 2.703996630801062, 2.9903658081422906, 1.1793288522052408, 0.6034865634658187, 0.0]","[0.0, 2.780539388529439, 3.0677683456370746, 2.3148450381061645, 0.2813199999999998, 0.9786595583201938, 3.8407673883179028, 3.9281964211670934, 3.164085071044584, 3.7314211145167575, 3.8807124076442374, 1.755850301721346, 1.0391610700510727, 0.0]","[0.0, 0.9294101992434026, 1.4853829693526077, 1.19628740271319, 0.10067843627074644, 0.2316748593577855, 1.2808575952281576, 1.2287413021852025, 0.9909983513301505, 1.0274244837156994, 0.8903292661686127, 0.5765214495161074, 0.4356745065852543, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
40000,"[0.0, 1.7365276989315046, 1.6195970474001395, 1.0671467859366555, 0.23543241797501208, 0.7436471777246344, 2.648171832022463, 2.651058654619238, 2.164336847919687, 2.631259698343901, 2.9139551066425757, 1.2270821403823675, 0.6153043410974447, 0.0]","[0.0, 2.597348541201895, 3.0287418596848656, 2.2212688780242207, 0.36712, 0.973660917138739, 3.973133057907991, 3.826179579800419, 3.155797446639716, 3.631674987482485, 3.7803254683186314, 1.82575849163813, 1.0447427923109975, 0.0]","[0.0, 0.8608208422703941, 1.409144812284729, 1.1541220920875674, 0.13168758202498787, 0.23001373941410427, 1.324961225885531, 1.1751209251811818, 0.991460598720031, 1.0004152891385867, 0.86633569500939, 0.5986763512557652, 0.42943845121355284, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
50000,"[0.0, 1.805100071582113, 1.6262925205014933, 1.1285131690096586, 0.1799940755049537, 0.7734349743006145, 2.6767049512583503, 2.6388123693302976, 2.281247725810161, 2.6086615089625993, 2.867267505337853, 1.2877806572733406, 0.5877200504197327, 0.0]","[0.0, 2.7063772334364953, 3.022251030253368, 2.330911769575886, 0.28235999999999895, 1.0314320938464006, 4.034621478003318, 3.801069641490312, 3.321414223800701, 3.608581088601692, 3.7235056176275823, 1.9108960569661328, 0.9848272249849899, 0.0]","[0.0, 0.9012771618543831, 1.3959585097518767, 1.2023986005662302, 0.10236592449504528, 0.2579971195457861, 1.357916526744971, 1.1622572721600133, 1.0401664979905418, 0.9999195796390932, 0.8562381122897312, 0.6231153996927952, 0.397107174565257, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
60000,"[0.0, 1.64461563510556, 1.7193018522511259, 1.1126232131311373, 0.1785461127050577, 0.7572871999072719, 2.650928952781494, 2.680310329057061, 2.136728930010897, 2.513036741317596, 2.9294840859974824, 1.2272017260614838, 0.6138630173624358, 0.0]","[0.0, 2.450269532897151, 3.211760270159923, 2.3150915576416464, 0.2771600000000005, 0.9897476207870959, 3.9922281758292226, 3.887626039980305, 3.0956483338475085, 3.4690914837719258, 3.8064637534778627, 1.8210830936328044, 1.046251097953184, 0.0]","[0.0, 0.8056538977915919, 1.4924584179087992, 1.202468344510512, 0.09861388729494276, 0.23246042087982416, 1.3412298897143957, 1.2073157109232426, 0.9589194038366138, 0.9560547424543318, 0.8769623341470468, 0.5938813675713226, 0.43238808059074835, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.933333333333333e-05, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
70000,"[0.0, 1.7998171276164578, 1.645912292024349, 1.0648335470933477, 0.16606553082167977, 0.7554175400761011, 2.5351592560262564, 2.6903736155468616, 2.2399502076510127, 2.6609390832905593, 2.916081877474488, 1.3049334633737977, 0.6108322980347968, 0.0]","[0.0, 2.6809114342869567, 3.1162307913236575, 2.1905590981860747, 0.25947999999999893, 0.9831999882712403, 3.8087622032337762, 3.892801528595719, 3.236488956803069, 3.681345628568281, 3.7897834542198545, 1.9537257778320893, 1.0607474531354784, 0.0]","[0.0, 0.8810943066705003, 1.4703184992993115, 1.1257255510927289, 0.09341446917831915, 0.22778244819513904, 1.2735856138741901, 1.2024279130488555, 0.9965387491520608, 1.0204065452777231, 0.8736842434120358, 0.6487923144582937, 0.4499151551006815, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7333333333333827e-05, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
80000,"[0.0, 1.7053676061942775, 1.6692120172596905, 1.1224077886019335, 0.1679939997107018, 0.6771698365073513, 2.5538112306999436, 2.6116426260103687, 2.208470677195078, 2.6069435024446883, 3.0042701942701235, 1.2549734485990185, 0.6426804032429015, 0.0]","[0.0, 2.540351158367238, 3.1130890342302684, 2.327507889665063, 0.26155999999999957, 0.8743720815882992, 3.8492542749435588, 3.786937368464967, 3.213806820059746, 3.5974644686043247, 3.8988078420175762, 1.8775119919531194, 1.1016419433793863, 0.0]","[0.0, 0.834983552172964, 1.4438770169705804, 1.2051001010631308, 0.09356600028929778, 0.1972022450809477, 1.2954430442436171, 1.1752947424546012, 1.0053361428646688, 0.9905209661596366, 0.894520314414118, 0.622538543354103, 0.45896154013648494, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
90000,"[0.0, 1.7674589496735773, 1.6230407122280137, 1.1608518193273782, 0.17758399769513233, 0.7017048051532397, 2.5524199435066346, 2.6376877522745863, 2.2278581181484722, 2.573637623899705, 2.9193247116805927, 1.2507184390695283, 0.5981599103937703, 0.0]","[0.0, 2.6314530465577217, 3.0669345895114155, 2.4111939999632406, 0.2730000000000006, 0.9139129164637745, 3.845340334493619, 3.822152747695063, 3.247133449127236, 3.5425183397385216, 3.7977405114568916, 1.835135066378869, 1.0078535674406777, 0.0]","[0.0, 0.8639940968841462, 1.443893877283405, 1.2503421806358643, 0.09541600230486819, 0.21220811131053477, 1.2928683909869878, 1.1844649954204802, 1.0192753309787672, 0.9688807158388193, 0.8784157997763001, 0.584416627309343, 0.4096936570469074, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.2e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
100000,"[0.0, 1.7512158045578428, 1.6183796682432416, 1.1232198488553553, 0.1934661965299162, 0.717825179968909, 2.531662811228689, 2.666115275468037, 2.253856131604889, 2.59463910609323, 2.8568936189230145, 1.2466399942101878, 0.622905340689272, 0.0]","[0.0, 2.6184262217557834, 3.0430920775622834, 2.3228174265448724, 0.29535999999999984, 0.9321120938463986, 3.7918914908233416, 3.8608656242330612, 3.259686205451721, 3.568132892331059, 3.706286020652521, 1.8549335674406724, 1.0296915418146848, 0.0]","[0.0, 0.8672104171979423, 1.424712409319045, 1.1995975776895194, 0.1018938034700836, 0.21428691387748972, 1.2601940129279894, 1.1947503487650248, 1.005830073846833, 0.9734937862378349, 0.8493924017295078, 0.6082935732304883, 0.4067862011254127, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
