PPO algorithm_train,selective charge @ rate 16.0 A_train,optimal greedy_train,PPO algorithm_eval,selective charge @ rate 16.0 A_eval,optimal greedy_eval
-7.029101103854622,-5.233498515154608,-2.4009381231950804,-8.07306004110531,-1.5500164743973026,-1.5275786332133618
-6.184502638722079,-6.643380321208019,-3.214367425640191,-6.513148759869675,-2.6565521977892015,-0.5380640860310886
-3.382358208404281,-1.3842092685444276,-0.20587629127478355,-1.66610637049342,-0.12019075291560175,-0.003924742650858865
-10.951914427252683,-4.021914666058064,-2.727691781768467,-0.5021947075416685,1.793437193625253e-15,-0.0038704060605117166
-15.664678006596667,-5.157775690407912,-3.257551211824072,-0.7173923281018585,1.836138079187759e-15,-0.00045952701989328596
-9.342773443738794,-1.6778155956361658,-2.0261160873865065,-9.289053745523082,2.7755575615628914e-15,-0.0036113922375554143
-7.786193069626171,-2.0246618426149467,-1.5134313198337659,-5.153916077914365,-1.5225378692610279,-0.07603250155042163
-4.173833817241495,-5.975231713158858,-0.8507017472238797,-22.49383439556878,1.2169752385314214e-15,-0.15123327642283585
-5.6692822026294065,-5.438021679860208,-1.0899007242222607,-12.393182343960028,-4.193744340720732,-1.4495557942567083
-5.013667575291563,-0.7382679415484384,-0.2187766473822489,-1.3031233049981203,-0.07949795541166782,-0.008125294942033854
-4.039810643049597,-0.3166838499989972,-1.1743721529986453,-0.6941280650816001,-0.21704383530544655,-0.10556829741721552
-14.223790848360718,-5.576788804251111,-2.7355549383712257,-13.362942215220741,-2.1595339811548175,-2.67335394561903
-8.514465104796734,-2.9985121496659946,-3.3787041794913297,-10.901394678813931,-3.192706871248137,-2.8555907907067994
-7.380788178112168,-1.561209896546107,-2.8719382981806336,-0.08136766793019577,-0.12272900845215298,-0.4448587614744104
-14.426500891708596,-3.1077365783391766,-1.1188847760035607,-29.31141828665516,-2.257570901759359,-2.2276530431410175
-8.932365332309447,-1.7768635320297135,-0.7267793373737684,-0.354136275148222,2.391249591500337e-15,-0.0034314478285910268
-11.96279704846473,-1.9304102130195773,-4.4797356687488,-8.36457951012972,-0.002317759477191022,-0.0022029595835068795
-19.293927873944938,8.924485082563759e-15,-0.005455977755134443,-0.03999999999999923,5.721918665375807e-15,-0.003976731095435751
-14.414471040735844,-1.456056285310473,-1.9511373065245738,-6.704338974214807,-3.8010065061026985,-0.6669389894312057
-7.683107521577439,-3.5342262524915564,-1.2231508012193473,-19.006135369419592,-0.815903089183928,-0.005788793827935106
-22.490319788563564,-3.5227707125960803,-3.9762910921701966,-5.233000688682491,-2.1819748246697306,-0.00705507745334742
-2.5714512945598225,-2.07897391819809,-0.2994227380443705,-3.26149093969936,2.2844973775940725e-15,-0.17500922807366245
-0.7745172106601226,-0.6595775701443339,-0.3966710619339892,-7.655047754561786,-3.7537668322307516,-2.627420051260449
-1.1967168206996603,-0.30739554618135123,-0.41589392948774984,-9.939478151833088,-1.6373371639342802,-0.018221141793434405
-8.09017885211828,-9.16388495819281,-0.873901878790873,-22.40530112901189,3.714977043938024e-15,-0.20012904658396846
-13.834998917168033,-4.953638233949786,-1.057369514831855,-0.8319634121188306,1.537231880250217e-15,-0.00171747220470411
-9.194155945431563,-0.6307568524534913,-0.1526008138232187,-0.49494766391949097,-0.38415921229776556,-0.0022922489307646544
-4.0966859136686065,-0.5149346877228833,-0.4830674235321155,-1.1032484907754965,-0.5758027954848924,-0.6113350535576731
-13.109448380152408,-3.827600061619825,-1.033242475457824,-1.1978111447279045,1.2810265668751808e-15,-0.0010327041792363308
-10.154687908823433,-5.594962959429525,-0.22124497723440362,-0.08905130894342535,-0.08135640922718816,1.3664283380001927e-15
