,reward,profit,carbon_cost,excess_charge,max_profit
110000,"[0.0, 1.976880220028308, 1.6287245778798578, 1.1845527099953488, 0.18654374972019977, 0.731237960821865, 2.615892772010285, 2.5691288540880572, 2.2062569192392387, 2.623198386972863, 2.9714158488176343, 1.3138595701207278, 0.6660372781251535, 0.0]","[0.0, 2.953181081670371, 3.0428020669692435, 2.406153982220791, 0.29276000000000113, 0.9438345880107861, 3.950005656358421, 3.752297585541848, 3.22505926537077, 3.625133643685486, 3.8457782357887025, 1.9483987810357402, 1.1357708663276596, 0.0]","[0.0, 0.9763008616420639, 1.4140774890893888, 1.2216012722254443, 0.10621625027980132, 0.21259662718892133, 1.334095551014802, 1.1831687314537915, 1.0188023461315328, 1.0019352567126267, 0.8743103869710698, 0.6345392109150136, 0.46973358820250644, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0, 5.2e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
120000,"[0.0, 1.848812071167231, 1.6253228638280086, 1.191106686053972, 0.23285479170154, 0.6953676684724207, 2.592506713855926, 2.6237185419071993, 2.285910912330419, 2.6511061162838616, 2.989823211850765, 1.2514881750941473, 0.5720504284397758, 0.0]","[0.0, 2.745764153523952, 3.082421881582921, 2.45628200695709, 0.3619200000000006, 0.8960363898321332, 3.8924885831046336, 3.792245807802774, 3.3247588090973026, 3.6664448872669926, 3.872165237156194, 1.8461313648998585, 1.0097123568356678, 0.0]","[0.0, 0.8969520823567213, 1.4570990177549126, 1.2651753209031211, 0.12906520829846058, 0.20066872135971267, 1.2999472025820415, 1.1685272658955768, 1.0388478967668844, 1.015338770983135, 0.8823246919720945, 0.5946431898057133, 0.437661928395892, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
130000,"[0.0, 1.8732583134984748, 1.695618042792353, 1.1257630760979187, 0.19946337156887453, 0.7828522250256605, 2.5491625358614867, 2.6187869531050514, 2.288620216762227, 2.9042854792660364, 2.9750870243838867, 1.2730434798581718, 0.6311981937278488, 0.0]","[0.0, 2.7958957475167683, 3.2289585651254513, 2.3550201472382066, 0.30784000000000067, 1.0223895552019804, 3.848005883429215, 3.816315668630708, 3.300862499278034, 4.017677616650711, 3.8535124204929394, 1.888170883241393, 1.0774404094335235, 0.0]","[0.0, 0.9226374340182945, 1.5333405223330985, 1.2292570711402904, 0.10837662843112614, 0.2395373301763199, 1.298808680901061, 1.1975287155256573, 1.0122422825158066, 1.113392137384677, 0.8783907294423857, 0.6151274033832225, 0.4462422157056747, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.466666666666691e-05, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
140000,"[0.0, 1.8057774257163397, 1.6566989046547258, 1.1362805433330296, 0.20655737805439936, 0.778757817493826, 2.7457757729948504, 2.595832886828964, 2.1915446871993636, 2.6700293831677886, 3.0115464295303087, 1.3102372776921662, 0.63481141473743, 0.0]","[0.0, 2.6851058590452843, 3.136572504446081, 2.357000844140339, 0.3312400000000011, 1.0189512242112375, 4.133198947037317, 3.765583533456756, 3.184037372902449, 3.692984803091442, 3.890500374113425, 1.9264032913083955, 1.0632066999611156, 0.0]","[0.0, 0.8793284333289466, 1.479873599791359, 1.2207203008073104, 0.1246826219456017, 0.24019340671741105, 1.387405840709135, 1.1697506466277907, 0.9924926857030851, 1.0229554199236548, 0.878936611249783, 0.6161660136162309, 0.42839528522368536, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.733333333333358e-05, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
150000,"[0.0, 1.8068736287994998, 1.7286441471711835, 1.1220429761835933, 0.25300771505190073, 0.7634167486623623, 2.695659865253975, 2.5451361136668846, 2.35146079367622, 2.671372975168566, 3.1720253675798156, 1.1477505988348995, 0.6458020849983135, 0.0]","[0.0, 2.6897511725609884, 3.190343463617292, 2.3213776636649195, 0.39416000000000195, 1.0010857778320912, 4.05145449290419, 3.6747726125484497, 3.3998901249231457, 3.68946425131449, 4.103572056236505, 1.6986449512592432, 1.0751671859782133, 0.0]","[0.0, 0.8828775437614874, 1.4616993164461083, 1.1993173541479942, 0.14115228494810123, 0.237669029169729, 1.3557426276502145, 1.1296364988815673, 1.0484293312469268, 1.018091276145927, 0.9315120219900255, 0.5508943524243465, 0.42936510097989994, 0.0]","[0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 5.2e-05, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
160000,"[0.0, 1.7337163097147845, 1.6718573258366565, 1.147915395583389, 0.20110006778123626, 0.7103284815811283, 2.627331204289541, 2.672101624560054, 2.3026640595022165, 2.7843770385473343, 3.102441359624709, 1.2421689201359436, 0.6798199961438726, 0.0]","[0.0, 2.595601836862089, 3.174356839307515, 2.3953274332269854, 0.3166800000000013, 0.9247497612901092, 3.9705775425324017, 3.8516836786410202, 3.354891112748157, 3.849937139763929, 4.005098623071202, 1.8460627271692243, 1.1245103180379872, 0.0]","[0.0, 0.8618855271473042, 1.5024995134708603, 1.2474120376435975, 0.11557993221876499, 0.21442127970898064, 1.343246338242862, 1.1795820540809685, 1.05222705324594, 1.0655601012165976, 0.9026572634464924, 0.6038938070332818, 0.4446903218941147, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
170000,"[0.0, 1.8547400821225895, 1.662910932326159, 1.075844785151766, 0.16619480780663842, 0.7181249669925153, 2.6018190869352025, 2.64903286901251, 2.2514130813448427, 2.7481979439560713, 3.070688393034164, 1.2401939853112325, 0.6233741609932404, 0.0]","[0.0, 2.7757719679271107, 3.1069548733930494, 2.30073725318879, 0.25688000000000055, 0.9464004094335208, 3.90347358249159, 3.8402505836238454, 3.2821037343855135, 3.802579202780263, 3.9803846077427556, 1.8512467037521296, 1.073747179424542, 0.0]","[0.0, 0.9210318858045212, 1.44404394106689, 1.2248924680370261, 0.09068519219336212, 0.22827544244100556, 1.3016024955563872, 1.1912177146113383, 1.0306906530406696, 1.0543812588241934, 0.9096615480419256, 0.6110527184408983, 0.4503730184313013, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.2e-05, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
180000,"[0.0, 1.851843475231052, 1.7598080463537373, 1.2052934649368652, 0.1829280986642997, 0.6738546613416687, 2.6090354567777094, 2.5489125259736167, 2.1501058500499304, 2.6230302554589167, 3.0675059589245204, 1.2278784524767488, 0.6178937572780767, 0.0]","[0.0, 2.7779566102948947, 3.31269037987722, 2.4548364289710527, 0.2797600000000009, 0.8725703202804311, 3.9421325965471725, 3.691075709257473, 3.1197016042390255, 3.6513736663052216, 3.9775117433996368, 1.8179145056542008, 1.0564215165313495, 0.0]","[0.0, 0.9261131350638443, 1.552882333523482, 1.249542964034188, 0.09683190133570115, 0.19871565893876264, 1.3330451397694667, 1.142163183283857, 0.9695957541890945, 1.028343410846308, 0.9100057844751167, 0.5900360531774532, 0.43852775925327286, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.2e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
190000,"[0.0, 1.7142219172818645, 1.6464088748573422, 1.1378861700962304, 0.19910570555767876, 0.7007911446251983, 2.425554095080225, 2.560429742317669, 2.2720641603956917, 2.7774520334392876, 3.040074818065247, 1.2435692610196516, 0.5458334643158862, 0.0]","[0.0, 2.5322370582809564, 3.0737884110705793, 2.3629862162517417, 0.3114800000000012, 0.9116922943751313, 3.659956768498619, 3.7093155756297778, 3.2735425962541065, 3.8385651450046607, 3.9329093731913676, 1.8507395379560871, 0.8987505291397876, 0.0]","[0.0, 0.8180151409990928, 1.4273795362132387, 1.2250827128221795, 0.11237429444232243, 0.2109011497499328, 1.234402673418394, 1.148885833312108, 1.0014784358584148, 1.0611131115653762, 0.8927998884594531, 0.607170276936437, 0.3529170648239014, 0.0]","[0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
200000,"[0.0, 1.9926906771942805, 1.7082915901277114, 1.1659706357000033, 0.19405164285992318, 0.779848614664078, 2.476511364223175, 2.7096901674556526, 2.2211332129503907, 2.9303657135002674, 2.9815066544953943, 1.2684667077545424, 0.6246058921961739, 0.0]","[0.0, 2.947930141722471, 3.2039910131786637, 2.404332706098245, 0.301080000000001, 1.0231816887746894, 3.703473867698472, 3.9231281970695395, 3.2740069586242737, 4.058414348750053, 3.8662761445343365, 1.8876620378492948, 1.0548949762518545, 0.0]","[0.0, 0.9552394645281899, 1.4956994230509546, 1.2383620703982436, 0.1070283571400778, 0.24333307411061125, 1.2269451701419645, 1.2134380296138854, 1.0528737456738841, 1.1280486352497863, 0.8847174900389423, 0.6191953300947541, 0.43028908405568067, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0, 5.2e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
