Net Demand 05/16/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,21707,21482,21482,21482,21224,21224,21224,21013,21013,21013,20756,20756,20756,20558,20558,20558,20330,20330,20330,20169,20169,20169,20002,20002,20002,19885,19885,19885,19760,19760,19760,19647,19647,19647,19552,19552,19552,19479,19479,19479,19439,19439,19439,19368,19368,19368,19324,19324,19324,19318,19318,19318,19308,19308,19308,19331,19331,19331,19419,19419,19419,19476,19476,19476,19485,19485,19485,19373,19373,19373,19355,19355,19355,19304,19304,19304,19288,19288,19288,19315,19315,19315,19445,19445,19445,19511,19511,19511,19451,19451,19451,19438,19438,19438,19464,19464,19464,19378,19378,19378,19245,19245,19245,19143,19143,19143,19273,19273,19273,19168,19168,19168,19143,19143,19143,18829,18829,18829,18806,18806,18806,18566,18566,18566,18421,18421,18421,18345,18345,18345,18242,18242,18242,18195,18195,18195,18167,18167,18167,18133,18133,18133,18209,18209,18209,18207,18207,18207,18236,18236,18236,18174,18174,18174,18085,18085,18085,18118,18118,18118,18255,18255,18255,18155,18155,18155,18114,18114,18114,18326,18326,18326,18355,18355,18355,18586,18586,18586,18672,18672,18672,18895,18895,18895,19285,19285,19285,19474,19474,19474,19847,19847,19847,20133,20133,20133,20551,20551,20551,21006,21006,21006,21277,21277,21277,21626,21626,21626,22216,22216,22216,22388,22388,22388,22792,22792,22792,23068,23068,23068,23318,23318,23318,23645,23645,23645,23973,23973,23973,24149,24149,24149,24472,24472,24472,24791,24791,24791,25211,25211,25211,25431,25431,25431,25418,25418,25418,25269,25269,25269,25174,25174,25174,25004,25004,25004,24701,24701,24701,24359,24359,24359,24013,24013,24013,23665,23665,23665,23229,23229,23229,22813,22813,22813,22378,22378,22378,22078,22078,22078,21827,21827,21827,21517,21517,21517,21186,21186,21186
Demand,21610,21628,21630,21526,21448,21363,21319,21214,21151,21052,20953,20887,20797,20728,20623,20592,20516,20485,20397,20316,20280,20200,20149,20122,20065,20007,19988,19949,19900,19867,19827,19776,19708,19689,19637,19642,19622,19590,19570,19556,19532,19487,19455,19420,19404,19389,19353,19330,19323,19364,19372,19363,19390,19381,19364,19394,19392,19381,19371,19371,19371,19419,19428,19466,19457,19468,19482,19500,19519,19498,19469,19447,19409,19423,19435,19406,19400,19369,19357,19364,19365,19457,19456,19421,19419,19461,19543,19547,19540,19519,19509,19491,19468,19390,19351,19370,19302,19335,19398,19330,19322,19321,19367,19367,19354,19386,19316,19209,19090,19281,19346,19209,19014,19078,19075,19026,19066,18863,18771,18750,18665,18677,18681,18632,18625,18589,18558,18499,18486,18418,18361,18357,18470,18368,18381,18489,18328,18291,18271,18324,18325,18309,18298,18214,18223,18245,18303,18305,18243,18233,18231,18161,18163,18108,18116,18104,18097,18189,18235,18254,18106,18049,18028,18066,18047,17995,18105,18223,18217,18162,18184,18272,18315,18371,18435,18409,18436,18484,18578,18710,18802,18878,18989,18985,19015,19102,19175,19367,19476,19572,19551,19663,19790,19908,20003,20169,20294,20388,20538,20646,20678,20698,20864,20977,21131,21358,21515,21615,21672,21791,21885,22051,22252,22385,22403,22531,22648,22749,22842,22940,23055,23204,23337,23428,23589,23670,23740,23799,23910,24031,24205,24230,24286,24393,24431,24586,24677,24817,24957,25017,25173,25169,25187,25231,25248,25323,25325,25420,25389,25324,25316,25268,25082,25095,25064,24961,24890,24832,24733,24659,24613,24458,24340,24219,24104,23911,23752,23654,23579,23444,23278,23150,23014,22910,22758,22632,22498,22353,22245,22136,21990,21872,21755,21598,21498,21419,21304,21214,
Day-ahead net forecast,Demand response event,Net demand,17900,17906,18057,18066,18075,18031,17920,17814,17725,17630,17524,17427,17360,17313,17275,17284,17213,17196,17117,17039,16975,16947,16902,16873,16851,16775,16777,16710,16680,16615,16542,16432,16366,16314,16262,16294,16260,16210,16184,16129,16072,16052,15997,16023,16037,16039,16019,16009,16022,16041,16122,16124,16122,16138,16144,16122,16111,16103,16117,16128,16109,16072,16090,16124,16126,16169,16179,16190,16132,16162,16118,16057,15955,15866,15745,15555,15346,15092,14795,14520,14158,13831,13450,12986,12560,12139,11886,11678,11669,11537,11175,10606,10309,10242,9907,9332,9006,8364,8189,8230,8145,8027,8047,8385,8437,8709,8509,8522,8454,7824,7665,7672,7431,7228,7175,7112,7083,7168,6988,7015,6841,6814,6621,6618,6446,6407,6223,6203,6115,6003,5879,5587,5404,5658,5557,5340,5750,5766,5498,5076,5076,4902,4839,4849,4964,4603,4404,4387,4145,4030,3986,3864,3837,3788,3746,3770,3739,3832,3714,3768,3733,3673,3588,3566,3605,3627,3533,3326,3356,3419,3295,3190,3300,3396,3493,3405,3445,3517,3410,3368,3467,3464,3545,3754,3951,4134,4074,4047,3913,3933,4157,4356,4425,4584,4678,4754,4748,4735,4797,5115,5557,5700,6073,6240,6135,6091,6233,6480,6758,6940,7220,7893,8312,8588,8788,9147,9642,10271,10709,11268,11884,12466,13008,13683,14263,14814,15456,15908,16432,16901,17354,17702,17931,18257,18531,18779,18965,19180,19395,19581,19846,19908,19901,20013,20049,20109,20114,20178,20201,20132,20179,20189,20037,20053,20126,20069,19978,19913,19868,19821,19824,19747,19617,19497,19390,19232,18991,18792,18633,18505,18341,18203,18053,17974,17838,17706,17553,17375,17235,17162,17044,16918,16814,16721,16657,16513,16391,16238,
