Net Demand 05/26/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,24289,23905,23905,23905,23572,23572,23572,23290,23290,23290,22879,22879,22879,22620,22620,22620,22368,22368,22368,22130,22130,22130,21996,21996,21996,21844,21844,21844,21684,21684,21684,21608,21608,21608,21591,21591,21591,21529,21529,21529,21493,21493,21493,21478,21478,21478,21574,21574,21574,21678,21678,21678,21792,21792,21792,21858,21858,21858,22168,22168,22168,22504,22504,22504,22659,22659,22659,22674,22674,22674,22947,22947,22947,23255,23255,23255,23562,23562,23562,23794,23794,23794,24052,24052,24052,24182,24182,24182,24204,24204,24204,24357,24357,24357,24297,24297,24297,24343,24343,24343,24247,24247,24247,24054,24054,24054,24042,24042,24042,24069,24069,24069,23915,23915,23915,23747,23747,23747,23568,23568,23568,23494,23494,23494,23378,23378,23378,23317,23317,23317,23346,23346,23346,23428,23428,23428,23562,23562,23562,23583,23583,23583,23663,23663,23663,23875,23875,23875,23808,23808,23808,24025,24025,24025,24217,24217,24217,24336,24336,24336,24468,24468,24468,24649,24649,24649,24763,24763,24763,25030,25030,25030,25227,25227,25227,25454,25454,25454,25704,25704,25704,25953,25953,25953,26256,26256,26256,26547,26547,26547,26798,26798,26798,27075,27075,27075,27376,27376,27376,27682,27682,27682,27845,27845,27845,28107,28107,28107,28397,28397,28397,28737,28737,28737,28893,28893,28893,29017,29017,29017,29227,29227,29227,29450,29450,29450,29457,29457,29457,29458,29458,29458,29419,29419,29419,29429,29429,29429,29554,29554,29554,29511,29511,29511,29391,29391,29391,29182,29182,29182,28983,28983,28983,28691,28691,28691,28392,28392,28392,27936,27936,27936,27329,27329,27329,26874,26874,26874,26285,26285,26285,25715,25715,25715,25233,25233,25233,24845,24845,24845,24503,24503,24503,24095,24095,24095,23816,23816,23816
Demand,24082,24058,24019,23912,23841,23757,23636,23533,23360,23215,23142,23007,22938,22834,22761,22645,22592,22501,22396,22354,22304,22240,22196,22087,22031,21984,22022,21947,21938,21898,21896,21840,21745,21698,21695,21642,21615,21624,21625,21588,21627,21571,21545,21547,21552,21545,21520,21514,21508,21607,21652,21683,21679,21668,21656,21714,21801,21801,21878,21936,22001,22133,22304,22354,22451,22500,22620,22690,22655,22646,22692,22679,22762,22959,23136,23219,23335,23399,23448,23516,23576,23659,23721,23744,23803,23951,24125,24209,24346,24376,24291,24281,24244,24273,24302,24257,24235,24381,24411,24354,24338,24323,24227,24187,24159,24270,24254,24146,24148,24138,24121,24035,23962,23935,23859,23765,23653,23648,23616,23583,23571,23508,23543,23506,23442,23458,23379,23354,23368,23371,23322,23392,23537,23513,23516,23471,23470,23566,23579,23598,23586,23659,23751,23770,23723,23622,23706,23741,23831,23880,23940,24005,23990,23965,24057,24078,24106,24141,24183,24230,24301,24362,24402,24439,24516,24575,24676,24740,24834,24869,24892,24926,25084,25098,25159,25238,25375,25411,25477,25584,25646,25814,25912,26053,26198,26242,26286,26391,26506,26568,26663,26760,26810,26858,26978,27100,27202,27238,27362,27417,27512,27610,27750,27765,27923,27899,27975,28097,28227,28324,28486,28581,28712,28794,28918,28959,29048,29011,29031,29087,29222,29289,29351,29405,29473,29467,29537,29554,29576,29502,29491,29454,29461,29411,29378,29434,29396,29388,29343,29332,29285,29243,29221,29272,29394,29328,29325,29304,29373,29284,29195,29100,29020,28991,28902,28856,28694,28585,28424,28286,28145,27958,27868,27662,27553,27242,27041,26892,26682,26512,26347,26232,26030,26009,25820,25650,25439,25268,25170,25083,24855,24708,24559,24499,24374,24197,24009,23845,
Day-ahead net forecast,Demand response event,Net demand,20166,20041,19941,19895,19819,19749,19588,19424,19260,19124,19027,18985,18917,18841,18710,18639,18521,18448,18364,18341,18232,18238,18226,18145,18172,18093,18168,18186,18139,18104,18146,18193,18108,18066,18021,18009,17960,17945,17927,17935,17969,17904,17889,17918,17881,17928,17900,17883,17889,17984,18023,18085,18112,18131,18168,18256,18343,18400,18489,18556,18647,18757,18954,19065,19154,19268,19375,19508,19511,19474,19492,19541,19524,19650,19799,19854,19827,19793,19758,19656,19561,19453,19283,19152,18962,18794,18500,17966,17622,17307,16863,16457,16127,15836,15529,15132,14902,14917,14951,14803,14632,14443,14376,14016,13834,13431,13410,13348,13178,12810,12414,11995,11728,11429,11476,11550,11685,11392,11367,11358,11437,11313,11147,10970,10798,10791,10884,10809,10834,10817,10848,10469,10244,10538,10707,10656,10475,10165,10405,10354,10239,10277,10379,10559,10490,10386,10306,10320,10172,10260,10263,10289,10371,10328,10322,10408,10479,10462,10489,10539,10451,10579,10511,10574,10704,10838,10934,10960,10994,11026,11078,10994,11047,11098,11027,11143,11166,11213,11302,11287,11352,11393,11401,11628,11665,11658,11578,11661,11821,12011,12210,12226,12460,12552,12472,12664,12827,12848,12820,12925,13042,13095,13274,13432,13606,13684,13765,13958,14085,14289,14624,14826,14837,14991,15341,15712,16161,16538,16882,17419,18050,18561,19156,19693,20221,20742,21261,21735,22214,22564,22989,23299,23572,23844,24077,24256,24420,24498,24590,24667,24715,24680,24634,24655,24681,24734,24706,24727,24685,24623,24551,24416,24272,24219,24133,24065,23928,23844,23671,23543,23411,23301,23183,23084,23034,22854,22606,22440,22279,22144,21934,21836,21622,21502,21405,21216,20987,20792,20610,20573,20380,20195,20015,19922,19845,19644,19333,19087,
