Net Demand 05/23/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,21563,21363,21363,21363,21163,21163,21163,20874,20874,20874,20599,20599,20599,20443,20443,20443,20231,20231,20231,20109,20109,20109,19958,19958,19958,19869,19869,19869,19728,19728,19728,19685,19685,19685,19644,19644,19644,19585,19585,19585,19491,19491,19491,19444,19444,19444,19476,19476,19476,19469,19469,19469,19474,19474,19474,19512,19512,19512,19605,19605,19605,19791,19791,19791,19737,19737,19737,19511,19511,19511,19443,19443,19443,19304,19304,19304,19272,19272,19272,19234,19234,19234,19281,19281,19281,19173,19173,19173,18989,18989,18989,18731,18731,18731,18533,18533,18533,18337,18337,18337,17942,17942,17942,17636,17636,17636,17447,17447,17447,17218,17218,17218,16995,16995,16995,16801,16801,16801,16590,16590,16590,16454,16454,16454,16342,16342,16342,16179,16179,16179,16180,16180,16180,16035,16035,16035,15975,15975,15975,15842,15842,15842,15873,15873,15873,15939,15939,15939,16056,16056,16056,16004,16004,16004,16095,16095,16095,16057,16057,16057,16201,16201,16201,16161,16161,16161,16296,16296,16296,16399,16399,16399,16705,16705,16705,16936,16936,16936,17223,17223,17223,17498,17498,17498,17700,17700,17700,18027,18027,18027,18374,18374,18374,18734,18734,18734,19206,19206,19206,19739,19739,19739,20156,20156,20156,20764,20764,20764,21341,21341,21341,21875,21875,21875,22441,22441,22441,22849,22849,22849,23293,23293,23293,23518,23518,23518,23888,23888,23888,24098,24098,24098,24367,24367,24367,24701,24701,24701,25000,25000,25000,25251,25251,25251,25352,25352,25352,25393,25393,25393,25312,25312,25312,25133,25133,25133,24923,24923,24923,24634,24634,24634,24306,24306,24306,23989,23989,23989,23561,23561,23561,23086,23086,23086,22623,22623,22623,22290,22290,22290,22014,22014,22014,21640,21640,21640,21344,21344,21344
Demand,21496,21431,21419,21326,21252,21174,21140,21058,20958,20869,20792,20756,20695,20584,20570,20505,20459,20444,20356,20286,20201,20156,20122,20082,20014,19969,20016,19985,19956,19929,19906,19864,19815,19766,19745,19701,19641,19616,19680,19634,19606,19611,19537,19532,19534,19504,19487,19455,19423,19480,19483,19532,19542,19486,19481,19520,19522,19543,19575,19656,19737,19695,19723,19699,19712,19717,19713,19706,19669,19561,19507,19428,19392,19407,19363,19336,19317,19263,19249,19319,19275,19244,19213,19194,19164,19144,19050,19041,19023,18944,18845,18771,18714,18638,18565,18478,18390,18333,18352,18254,18155,18077,18004,17883,17816,17725,17567,17486,17428,17414,17335,17273,17207,17134,17061,16951,16899,16822,16740,16684,16686,16637,16594,16565,16518,16466,16427,16409,16350,16276,16219,16176,16160,16198,16126,16116,15963,15945,16032,16026,15879,15935,15966,15951,15939,16033,16083,16058,16012,15994,15969,16047,16136,16092,16029,15993,16037,16120,16090,16066,16005,16031,16055,16071,16176,16140,16171,16205,16262,16363,16439,16467,16544,16613,16649,16748,16897,16923,16994,17065,17179,17166,17257,17311,17395,17538,17677,17779,17898,17961,17983,18131,18268,18393,18540,18635,18777,18981,19114,19224,19365,19542,19705,19918,20149,20432,20586,20765,20954,21177,21348,21546,21706,21862,22032,22234,22349,22572,22770,22840,22944,23049,23187,23359,23458,23564,23690,23748,23901,23926,24054,24074,24154,24288,24369,24465,24508,24590,24677,24762,24859,24947,25066,25217,25287,25385,25422,25429,25448,25427,25359,25344,25285,25312,25329,25288,25205,25146,25093,24973,24845,24779,24704,24578,24371,24248,24084,23990,23880,23686,23535,23384,23257,23119,22952,22907,22729,22578,22503,22380,22134,22044,21907,21789,21656,21532,21381,21300,
Day-ahead net forecast,Demand response event,Net demand,17686,17596,17571,17521,17457,17421,17306,17236,17134,16928,16800,16685,16562,16353,16282,16176,16137,16132,16049,15966,15936,15889,15872,15883,15877,15811,15799,15840,15875,15865,15946,15957,16022,16041,16105,16180,16230,16221,16252,16287,16243,16233,16238,16190,16132,16105,16046,16002,16014,16076,16173,16317,16445,16483,16504,16620,16727,16784,16856,16970,17054,16982,16959,16906,16882,16847,16805,16713,16630,16500,16351,16235,16100,15950,15725,15477,15189,14800,14442,14106,13730,13185,12677,12267,11885,11201,10495,9972,9739,9693,9915,9773,9331,9274,9020,8811,8994,8643,8384,8373,8308,8195,8119,8071,7933,7840,7735,7608,7534,7049,6917,6877,6819,6810,6672,6683,6710,6854,6797,6797,6484,6501,6514,6350,6294,6186,6094,6137,6073,6019,5904,5857,5782,5676,5755,5690,5717,5674,5668,5684,5562,5655,5805,5905,5897,5686,5699,5482,5419,5304,5232,5478,5526,5743,5681,5665,5682,5621,5646,5592,5541,5527,5659,5597,5636,5699,5666,5716,5801,5880,5935,5864,5830,5906,5895,5676,5531,5655,5613,5761,5833,5922,5964,6154,6302,6307,6150,6173,6304,6273,6339,6395,6628,7025,7205,7447,7709,7884,7912,8112,8455,8652,8787,8783,8961,9316,9765,10103,10268,10409,10454,10381,10478,10416,10610,10814,11333,12052,12581,12967,12953,13175,13773,14419,14999,15593,16159,16665,17175,17725,18213,18646,19071,19485,19791,20097,20219,20444,20546,20654,20710,20805,20932,21156,21255,21378,21396,21483,21511,21538,21543,21445,21306,21317,21331,21262,21203,21206,21109,21062,20966,20921,20853,20771,20682,20515,20383,20310,20206,20047,19919,19816,19675,19579,19424,19338,19229,19116,19045,18978,18796,18616,18517,18415,18270,18180,18074,17931,
