 ,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00.1
Hour-ahead forecast 05/01/2019,21850,21614,21614,21614,21377,21377,21377,21144,21144,21144,20895,20895,20895,20759,20759,20759,20564,20564,20564,20440,20440,20440,20293,20293,20293,20197,20197,20197,20043,20043,20043,19851,19851,19851,19803,19803,19803,19873,19873,19873,19857,19857,19857,19824,19824,19824,19990,19990,19990,20095,20095,20095,20246,20246,20246,20442,20442,20442,20625,20625,20625,21114,21114,21114,21497,21497,21497,21856,21856,21856,22299,22299,22299,22910,22910,22910,23328,23328,23328,23597,23597,23597,23891,23891,23891,24295,24295,24295,24556,24556,24556,24407,24407,24407,24306,24306,24306,24164,24164,24164,24094,24094,24094,23953,23953,23953,23742,23742,23742,23663,23663,23663,23547,23547,23547,23392,23392,23392,23338,23338,23338,23017,23017,23017,22874,22874,22874,22647,22647,22647,22480,22480,22480,22425,22425,22425,22311,22311,22311,22130,22130,22130,21949,21949,21949,21971,21971,21971,21944,21944,21944,21979,21979,21979,22054,22054,22054,22223,22223,22223,22319,22319,22319,22210,22210,22210,22321,22321,22321,22351,22351,22351,22466,22466,22466,22560,22560,22560,22701,22701,22701,22744,22744,22744,22907,22907,22907,23107,23107,23107,23343,23343,23343,23467,23467,23467,23666,23666,23666,23932,23932,23932,24124,24124,24124,24364,24364,24364,24589,24589,24589,24974,24974,24974,25112,25112,25112,25513,25513,25513,25778,25778,25778,26067,26067,26067,26297,26297,26297,26535,26535,26535,26750,26750,26750,27146,27146,27146,27650,27650,27650,28029,28029,28029,28177,28177,28177,27979,27979,27979,27652,27652,27652,27382,27382,27382,27037,27037,27037,26683,26683,26683,26178,26178,26178,25538,25538,25538,24994,24994,24994,24436,24436,24436,23831,23831,23831,23359,23359,23359,22933,22933,22933,22605,22605,22605,22270,22270,22270
Hour-ahead forecast 05/02/2019,22170,21980,21980,21980,21755,21755,21755,21524,21524,21524,21269,21269,21269,21026,21026,21026,20821,20821,20821,20609,20609,20609,20528,20528,20528,20317,20317,20317,20207,20207,20207,20098,20098,20098,20026,20026,20026,19963,19963,19963,19949,19949,19949,19904,19904,19904,19948,19948,19948,20124,20124,20124,20231,20231,20231,20490,20490,20490,20677,20677,20677,21166,21166,21166,21519,21519,21519,21893,21893,21893,22220,22220,22220,22711,22711,22711,23093,23093,23093,23402,23402,23402,23692,23692,23692,24180,24180,24180,24432,24432,24432,24308,24308,24308,24016,24016,24016,23987,23987,23987,23893,23893,23893,23784,23784,23784,23818,23818,23818,23779,23779,23779,23694,23694,23694,23658,23658,23658,23444,23444,23444,23385,23385,23385,23287,23287,23287,23009,23009,23009,22824,22824,22824,22773,22773,22773,22684,22684,22684,22791,22791,22791,22720,22720,22720,22821,22821,22821,22762,22762,22762,22658,22658,22658,22859,22859,22859,23561,23561,23561,23787,23787,23787,23217,23217,23217,23335,23335,23335,23324,23324,23324,23457,23457,23457,23475,23475,23475,23616,23616,23616,23727,23727,23727,23908,23908,23908,23960,23960,23960,24174,24174,24174,24442,24442,24442,24574,24574,24574,24791,24791,24791,24957,24957,24957,25410,25410,25410,25631,25631,25631,25940,25940,25940,25835,25835,25835,26282,26282,26282,26505,26505,26505,26693,26693,26693,26920,26920,26920,27196,27196,27196,27465,27465,27465,27741,27741,27741,28213,28213,28213,28587,28587,28587,28717,28717,28717,28475,28475,28475,28092,28092,28092,27569,27569,27569,27200,27200,27200,26822,26822,26822,26355,26355,26355,25838,25838,25838,25300,25300,25300,24758,24758,24758,24277,24277,24277,23783,23783,23783,23368,23368,23368,22987,22987,22987,22580,22580,22580
Hour-ahead forecast 5/03/2019,22445,22254,22254,22254,21996,21996,21996,21726,21726,21726,21511,21511,21511,21199,21199,21199,20998,20998,20998,20824,20824,20824,20679,20679,20679,20531,20531,20531,20420,20420,20420,20319,20319,20319,20195,20195,20195,20180,20180,20180,20148,20148,20148,20198,20198,20198,20195,20195,20195,20364,20364,20364,20459,20459,20459,20637,20637,20637,20759,20759,20759,21194,21194,21194,21526,21526,21526,21934,21934,21934,22216,22216,22216,22896,22896,22896,23244,23244,23244,23479,23479,23479,23843,23843,23843,24221,24221,24221,24454,24454,24454,24335,24335,24335,24209,24209,24209,24195,24195,24195,24139,24139,24139,23948,23948,23948,23973,23973,23973,23813,23813,23813,23612,23612,23612,23537,23537,23537,23444,23444,23444,23500,23500,23500,23444,23444,23444,23433,23433,23433,23427,23427,23427,23160,23160,23160,23095,23095,23095,22927,22927,22927,22822,22822,22822,22768,22768,22768,22762,22762,22762,22859,22859,22859,22959,22959,22959,23002,23002,23002,23137,23137,23137,23155,23155,23155,23236,23236,23236,23360,23360,23360,23491,23491,23491,23570,23570,23570,23698,23698,23698,23764,23764,23764,23955,23955,23955,24143,24143,24143,24342,24342,24342,24511,24511,24511,24722,24722,24722,25071,25071,25071,25207,25207,25207,25369,25369,25369,25612,25612,25612,26013,26013,26013,26159,26159,26159,26405,26405,26405,26590,26590,26590,26702,26702,26702,26868,26868,26868,27153,27153,27153,27261,27261,27261,27455,27455,27455,27913,27913,27913,28028,28028,28028,28155,28155,28155,27987,27987,27987,27625,27625,27625,27315,27315,27315,27025,27025,27025,26713,26713,26713,26282,26282,26282,25821,25821,25821,25356,25356,25356,24918,24918,24918,24417,24417,24417,24040,24040,24040,23629,23629,23629,23254,23254,23254,22843,22843,22843
Hour-ahead forecast 5/04/2019,22716,22518,22518,22518,22253,22253,22253,21730,21730,21730,21543,21543,21543,21219,21219,21219,20991,20991,20991,20775,20775,20775,20615,20615,20615,20469,20469,20469,20326,20326,20326,20214,20214,20214,20103,20103,20103,20030,20030,20030,19962,19962,19962,19846,19846,19846,19845,19845,19845,19906,19906,19906,19912,19912,19912,19967,19967,19967,20046,20046,20046,20197,20197,20197,20336,20336,20336,20500,20500,20500,20555,20555,20555,20646,20646,20646,20636,20636,20636,20696,20696,20696,20792,20792,20792,20995,20995,20995,21158,21158,21158,21158,21158,21158,21209,21209,21209,21272,21272,21272,21323,21323,21323,21185,21185,21185,21163,21163,21163,21132,21132,21132,21095,21095,21095,20856,20856,20856,20711,20711,20711,20479,20479,20479,20348,20348,20348,20023,20023,20023,19846,19846,19846,19634,19634,19634,19561,19561,19561,19504,19504,19504,19518,19518,19518,19562,19562,19562,19584,19584,19584,19653,19653,19653,19666,19666,19666,19756,19756,19756,19827,19827,19827,19911,19911,19911,20006,20006,20006,20097,20097,20097,20248,20248,20248,20366,20366,20366,20609,20609,20609,20709,20709,20709,20924,20924,20924,21241,21241,21241,21515,21515,21515,21657,21657,21657,21916,21916,21916,22279,22279,22279,22558,22558,22558,22868,22868,22868,23145,23145,23145,23616,23616,23616,23836,23836,23836,24340,24340,24340,24582,24582,24582,24764,24764,24764,24922,24922,24922,25324,25324,25324,25478,25478,25478,25709,25709,25709,26160,26160,26160,26348,26348,26348,26502,26502,26502,26300,26300,26300,26007,26007,26007,25780,25780,25780,25523,25523,25523,25214,25214,25214,24856,24856,24856,24417,24417,24417,24036,24036,24036,23671,23671,23671,23308,23308,23308,22877,22877,22877,22510,22510,22510,22133,22133,22133,21836,21836,21836
Hour-ahead forecast 5/05/2019,21687,21470,21470,21470,21220,21220,21220,21029,21029,21029,20686,20686,20686,20437,20437,20437,20240,20240,20240,20035,20035,20035,19822,19822,19822,19637,19637,19637,19494,19494,19494,19423,19423,19423,19342,19342,19342,19202,19202,19202,19121,19121,19121,19035,19035,19035,19021,19021,19021,19069,19069,19069,19055,19055,19055,19072,19072,19072,19103,19103,19103,19101,19101,19101,19170,19170,19170,19266,19266,19266,19207,19207,19207,19179,19179,19179,19137,19137,19137,19154,19154,19154,19161,19161,19161,19371,19371,19371,19445,19445,19445,19424,19424,19424,19406,19406,19406,19568,19568,19568,19571,19571,19571,19432,19432,19432,19472,19472,19472,19222,19222,19222,19123,19123,19123,18929,18929,18929,18568,18568,18568,18452,18452,18452,18296,18296,18296,18193,18193,18193,18135,18135,18135,18008,18008,18008,17907,17907,17907,17838,17838,17838,17804,17804,17804,17693,17693,17693,17669,17669,17669,17739,17739,17739,17789,17789,17789,17818,17818,17818,17880,17880,17880,17876,17876,17876,17960,17960,17960,18000,18000,18000,18122,18122,18122,18301,18301,18301,18504,18504,18504,18719,18719,18719,18955,18955,18955,19349,19349,19349,19573,19573,19573,19827,19827,19827,20106,20106,20106,20363,20363,20363,20828,20828,20828,21220,21220,21220,21592,21592,21592,22156,22156,22156,22406,22406,22406,22779,22779,22779,23093,23093,23093,23447,23447,23447,23586,23586,23586,23920,23920,23920,24178,24178,24178,24579,24579,24579,25142,25142,25142,25567,25567,25567,25835,25835,25835,25711,25711,25711,25213,25213,25213,24937,24937,24937,24654,24654,24654,24347,24347,24347,23979,23979,23979,23690,23690,23690,23250,23250,23250,22839,22839,22839,22295,22295,22295,21904,21904,21904,21528,21528,21528,21190,21190,21190,20900,20900,20900
Hour-ahead forecast 5/06/2019,20883,20723,20723,20723,20543,20543,20543,20245,20245,20245,20035,20035,20035,19895,19895,19895,19739,19739,19739,19613,19613,19613,19464,19464,19464,19412,19412,19412,19329,19329,19329,19271,19271,19271,19222,19222,19222,19245,19245,19245,19255,19255,19255,19275,19275,19275,19310,19310,19310,19516,19516,19516,19642,19642,19642,19800,19800,19800,20049,20049,20049,20437,20437,20437,20850,20850,20850,21286,21286,21286,21612,21612,21612,22093,22093,22093,22480,22480,22480,22844,22844,22844,23217,23217,23217,23783,23783,23783,24039,24039,24039,24115,24115,24115,24148,24148,24148,24305,24305,24305,24347,24347,24347,24217,24217,24217,24253,24253,24253,24167,24167,24167,24125,24125,24125,24080,24080,24080,24203,24203,24203,24211,24211,24211,24184,24184,24184,24046,24046,24046,23926,23926,23926,23780,23780,23780,23684,23684,23684,23682,23682,23682,23822,23822,23822,23677,23677,23677,23441,23441,23441,23424,23424,23424,23441,23441,23441,23460,23460,23460,23494,23494,23494,23372,23372,23372,23262,23262,23262,23354,23354,23354,23297,23297,23297,23161,23161,23161,23151,23151,23151,23263,23263,23263,23375,23375,23375,23496,23496,23496,23751,23751,23751,23737,23737,23737,23830,23830,23830,23955,23955,23955,24164,24164,24164,24605,24605,24605,24839,24839,24839,24989,24989,24989,25224,25224,25224,25326,25326,25326,25556,25556,25556,25832,25832,25832,26041,26041,26041,26282,26282,26282,26534,26534,26534,26942,26942,26942,27501,27501,27501,27806,27806,27806,28019,28019,28019,27794,27794,27794,27359,27359,27359,26969,26969,26969,26594,26594,26594,26102,26102,26102,25649,25649,25649,25095,25095,25095,24563,24563,24563,24060,24060,24060,23545,23545,23545,23146,23146,23146,22764,22764,22764,22394,22394,22394,22029,22029,22029
Hour-ahead forecast 5/07/2019,21960,21780,21780,21780,21565,21565,21565,21237,21237,21237,21018,21018,21018,20824,20824,20824,20634,20634,20634,20441,20441,20441,20315,20315,20315,20206,20206,20206,20108,20108,20108,19947,19947,19947,19888,19888,19888,19826,19826,19826,19831,19831,19831,19843,19843,19843,19881,19881,19881,20061,20061,20061,20213,20213,20213,20361,20361,20361,20563,20563,20563,20993,20993,20993,21379,21379,21379,21775,21775,21775,22145,22145,22145,22775,22775,22775,23204,23204,23204,23623,23623,23623,23936,23936,23936,24341,24341,24341,24598,24598,24598,24538,24538,24538,24410,24410,24410,24504,24504,24504,24469,24469,24469,24420,24420,24420,24325,24325,24325,24491,24491,24491,24295,24295,24295,24102,24102,24102,24060,24060,24060,23940,23940,23940,23965,23965,23965,23881,23881,23881,23833,23833,23833,23945,23945,23945,23823,23823,23823,23762,23762,23762,23631,23631,23631,23358,23358,23358,23270,23270,23270,23161,23161,23161,23246,23246,23246,23488,23488,23488,23560,23560,23560,23623,23623,23623,23745,23745,23745,23591,23591,23591,23656,23656,23656,23631,23631,23631,23719,23719,23719,23630,23630,23630,23766,23766,23766,23975,23975,23975,24206,24206,24206,24194,24194,24194,24310,24310,24310,24404,24404,24404,24585,24585,24585,24698,24698,24698,24880,24880,24880,25181,25181,25181,25373,25373,25373,25587,25587,25587,25797,25797,25797,26070,26070,26070,26283,26283,26283,26564,26564,26564,26771,26771,26771,27121,27121,27121,27587,27587,27587,27986,27986,27986,28074,28074,28074,27957,27957,27957,27592,27592,27592,27206,27206,27206,26858,26858,26858,26460,26460,26460,25970,25970,25970,25415,25415,25415,24875,24875,24875,24388,24388,24388,23928,23928,23928,23450,23450,23450,23055,23055,23055,22683,22683,22683,22305,22305,22305
Hour-ahead forecast 5/08/2019,22201,22013,22013,22013,21792,21792,21792,21475,21475,21475,21241,21241,21241,20969,20969,20969,20802,20802,20802,20598,20598,20598,20513,20513,20513,20329,20329,20329,20230,20230,20230,20113,20113,20113,19943,19943,19943,19887,19887,19887,19876,19876,19876,19862,19862,19862,19912,19912,19912,20060,20060,20060,20186,20186,20186,20371,20371,20371,20554,20554,20554,20985,20985,20985,21382,21382,21382,21784,21784,21784,22104,22104,22104,22749,22749,22749,23126,23126,23126,23484,23484,23484,23901,23901,23901,24471,24471,24471,24814,24814,24814,24711,24711,24711,24704,24704,24704,24925,24925,24925,24891,24891,24891,24758,24758,24758,24833,24833,24833,24861,24861,24861,24826,24826,24826,24795,24795,24795,24792,24792,24792,24812,24812,24812,24699,24699,24699,24695,24695,24695,24589,24589,24589,24476,24476,24476,24357,24357,24357,24357,24357,24357,24358,24358,24358,24371,24371,24371,24336,24336,24336,24412,24412,24412,24518,24518,24518,24610,24610,24610,24676,24676,24676,24734,24734,24734,24741,24741,24741,24766,24766,24766,24950,24950,24950,24991,24991,24991,25188,25188,25188,25070,25070,25070,25146,25146,25146,25234,25234,25234,25349,25349,25349,25372,25372,25372,25308,25308,25308,25291,25291,25291,25505,25505,25505,25511,25511,25511,25747,25747,25747,25955,25955,25955,25937,25937,25937,26026,26026,26026,26310,26310,26310,26588,26588,26588,26976,26976,26976,27092,27092,27092,27340,27340,27340,27725,27725,27725,27966,27966,27966,28438,28438,28438,28488,28488,28488,28277,28277,28277,27942,27942,27942,27528,27528,27528,27261,27261,27261,26859,26859,26859,26377,26377,26377,25827,25827,25827,25309,25309,25309,24754,24754,24754,24256,24256,24256,23792,23792,23792,23451,23451,23451,23008,23008,23008,22602,22602,22602
Hour-ahead forecast 5/09/2019,22541,22326,22326,22326,22027,22027,22027,21817,21817,21817,21587,21587,21587,21305,21305,21305,21125,21125,21125,20955,20955,20955,20803,20803,20803,20527,20527,20527,20417,20417,20417,20375,20375,20375,20240,20240,20240,20236,20236,20236,20200,20200,20200,20205,20205,20205,20224,20224,20224,20379,20379,20379,20507,20507,20507,20685,20685,20685,20899,20899,20899,21363,21363,21363,21697,21697,21697,22098,22098,22098,22453,22453,22453,23050,23050,23050,23505,23505,23505,23956,23956,23956,24336,24336,24336,24850,24850,24850,25152,25152,25152,25129,25129,25129,25136,25136,25136,25304,25304,25304,25350,25350,25350,25225,25225,25225,25305,25305,25305,25409,25409,25409,25368,25368,25368,25338,25338,25338,25402,25402,25402,25462,25462,25462,25432,25432,25432,25306,25306,25306,25306,25306,25306,25191,25191,25191,25123,25123,25123,25053,25053,25053,24891,24891,24891,24878,24878,24878,24799,24799,24799,24827,24827,24827,24917,24917,24917,24942,24942,24942,24948,24948,24948,25019,25019,25019,24973,24973,24973,24890,24890,24890,24919,24919,24919,24870,24870,24870,24899,24899,24899,24928,24928,24928,24999,24999,24999,25124,25124,25124,25276,25276,25276,25219,25219,25219,25390,25390,25390,25529,25529,25529,25538,25538,25538,25766,25766,25766,25856,25856,25856,26128,26128,26128,26258,26258,26258,26338,26338,26338,26534,26534,26534,26666,26666,26666,26650,26650,26650,26744,26744,26744,26924,26924,26924,27365,27365,27365,27784,27784,27784,28095,28095,28095,28209,28209,28209,27912,27912,27912,27612,27612,27612,27214,27214,27214,26874,26874,26874,26526,26526,26526,26004,26004,26004,25486,25486,25486,24976,24976,24976,24459,24459,24459,23992,23992,23992,23537,23537,23537,23155,23155,23155,22810,22810,22810,22449,22449,22449
Hour-ahead forecast 5/10/2019,22346,22201,22201,22201,21968,21968,21968,21592,21592,21592,21328,21328,21328,21073,21073,21073,20873,20873,20873,20724,20724,20724,20552,20552,20552,20419,20419,20419,20303,20303,20303,20218,20218,20218,20177,20177,20177,20189,20189,20189,20168,20168,20168,20167,20167,20167,20180,20180,20180,20346,20346,20346,20489,20489,20489,20614,20614,20614,20817,20817,20817,21205,21205,21205,21511,21511,21511,21947,21947,21947,22332,22332,22332,22967,22967,22967,23425,23425,23425,23829,23829,23829,24146,24146,24146,24556,24556,24556,24793,24793,24793,24938,24938,24938,25058,25058,25058,25177,25177,25177,25147,25147,25147,25082,25082,25082,25205,25205,25205,25205,25205,25205,25272,25272,25272,25055,25055,25055,24988,24988,24988,24942,24942,24942,24891,24891,24891,24775,24775,24775,24639,24639,24639,24558,24558,24558,24342,24342,24342,24261,24261,24261,24099,24099,24099,24032,24032,24032,23935,23935,23935,24108,24108,24108,24065,24065,24065,23915,23915,23915,23923,23923,23923,23944,23944,23944,24050,24050,24050,24075,24075,24075,24276,24276,24276,24260,24260,24260,24403,24403,24403,24281,24281,24281,24475,24475,24475,24562,24562,24562,24648,24648,24648,24889,24889,24889,25057,25057,25057,25047,25047,25047,25124,25124,25124,25063,25063,25063,25173,25173,25173,25383,25383,25383,25527,25527,25527,25574,25574,25574,25731,25731,25731,25853,25853,25853,25892,25892,25892,25969,25969,25969,26136,26136,26136,26344,26344,26344,26821,26821,26821,26963,26963,26963,27175,27175,27175,27032,27032,27032,26751,26751,26751,26459,26459,26459,26250,26250,26250,25986,25986,25986,25687,25687,25687,25192,25192,25192,24770,24770,24770,24357,24357,24357,23969,23969,23969,23415,23415,23415,23055,23055,23055,22659,22659,22659,22293,22293,22293
