time,moer,forecast
2021-04-30 00:00:00+00:00,0.271734520091783,0.2991430841486062
2021-04-30 00:05:00+00:00,0.274700348320411,0.28623581042928
2021-04-30 00:10:00+00:00,0.247457463476806,0.2671773085053068
2021-04-30 00:15:00+00:00,0.268057982727657,0.2685483597001132
2021-04-30 00:20:00+00:00,0.276454541007711,0.2711053951392821
2021-04-30 00:25:00+00:00,0.324665291133109,0.2969516024736969
2021-04-30 00:30:00+00:00,0.314251994998039,0.312286275956646
2021-04-30 00:35:00+00:00,0.351964739482341,0.3378148859175594
2021-04-30 00:40:00+00:00,0.38310127505007,0.3586781513837467
2021-04-30 00:45:00+00:00,0.384414724901526,0.3764447280893138
2021-04-30 00:50:00+00:00,0.422343044218473,0.3864499383987725
2021-04-30 00:55:00+00:00,0.420695733931405,0.3636453852924148
2021-04-30 01:00:00+00:00,0.260796857634152,0.3394477118092694
2021-04-30 01:05:00+00:00,0.257507848159775,0.3063743347706085
2021-04-30 01:10:00+00:00,0.259358153555836,0.262115158654978
2021-04-30 01:15:00+00:00,0.272057791839141,0.2719457150007953
2021-04-30 01:20:00+00:00,0.337707206501663,0.3006973249181486
2021-04-30 01:25:00+00:00,0.442359737589647,0.3541442501813159
2021-04-30 01:30:00+00:00,0.332716223768381,0.388621771154318
2021-04-30 01:35:00+00:00,0.354662320941885,0.3990184696230915
2021-04-30 01:40:00+00:00,0.445520687287285,0.4065363682872946
2021-04-30 01:45:00+00:00,0.481441047405288,0.4518338335203724
2021-04-30 01:50:00+00:00,0.547159062287434,0.5045538773928502
2021-04-30 01:55:00+00:00,0.66375,0.5103405988889788
2021-04-30 02:00:00+00:00,0.545096168611826,0.5220786400451617
2021-04-30 02:05:00+00:00,0.561538138929003,0.5266311999472851
2021-04-30 02:10:00+00:00,0.5805246524849,0.5046676187794016
2021-04-30 02:15:00+00:00,0.580622122717796,0.5166432313131102
2021-04-30 02:20:00+00:00,0.58446491153766,0.5225026131761067
2021-04-30 02:25:00+00:00,0.549538983099378,0.5235229636182325
2021-04-30 02:30:00+00:00,0.534654726476356,0.5159696338211394
2021-04-30 02:35:00+00:00,0.529981132885848,0.5045224708163512
2021-04-30 02:40:00+00:00,0.538136956885954,0.5043327048473608
2021-04-30 02:45:00+00:00,0.447389093005146,0.4879593945301364
2021-04-30 02:50:00+00:00,0.466272887234825,0.4696543958769465
2021-04-30 02:55:00+00:00,0.518206873554595,0.4702969923294504
2021-04-30 03:00:00+00:00,0.510517585348897,0.4844948539371418
2021-04-30 03:05:00+00:00,0.531889268810061,0.4972780762869447
2021-04-30 03:10:00+00:00,0.531878318115371,0.4968567374618107
2021-04-30 03:15:00+00:00,0.533598753702513,0.5030741137240625
2021-04-30 03:20:00+00:00,0.508268439361962,0.4934106229268409
2021-04-30 03:25:00+00:00,0.454645240510156,0.4800778813229365
2021-04-30 03:30:00+00:00,0.458128194932626,0.4540664686893942
2021-04-30 03:35:00+00:00,0.411993280212923,0.4233428303816057
2021-04-30 03:40:00+00:00,0.382505864964441,0.4038974991568254
2021-04-30 03:45:00+00:00,0.380053542865295,0.3854937807729916
2021-04-30 03:50:00+00:00,0.366016833810583,0.37546981244339
2021-04-30 03:55:00+00:00,0.366986377547829,0.3805449488205401
2021-04-30 04:00:00+00:00,0.402010228727051,0.3850680856744125
2021-04-30 04:05:00+00:00,0.406159636998217,0.3936339947446057
2021-04-30 04:10:00+00:00,0.3647493587765,0.3879785146230525
2021-04-30 04:15:00+00:00,0.479755545439222,0.4091730763778092
2021-04-30 04:20:00+00:00,0.545084584405874,0.4403952020894924
2021-04-30 04:25:00+00:00,0.522814762976968,0.4897872777523835
2021-04-30 04:30:00+00:00,0.536120671538982,0.4955566649478687
2021-04-30 04:35:00+00:00,0.494862798026826,0.4811181094784036
2021-04-30 04:40:00+00:00,0.441641426318993,0.4628170688434614
2021-04-30 04:45:00+00:00,0.410049939162807,0.4283129476988027
2021-04-30 04:50:00+00:00,0.430787658852907,0.4194333954357954
2021-04-30 04:55:00+00:00,0.430787658852907,0.4283067795916304
2021-04-30 05:00:00+00:00,0.587053981568009,0.4754204897376734
2021-04-30 05:05:00+00:00,0.583012722719602,0.5114821277107597
2021-04-30 05:10:00+00:00,0.551867227492582,0.532252048188896
2021-04-30 05:15:00+00:00,0.520786259912781,0.5178766576736297
2021-04-30 05:20:00+00:00,0.505990061355319,0.4954192446958479
2021-04-30 05:25:00+00:00,0.428721597620984,0.461302578391165
2021-04-30 05:30:00+00:00,0.392905585858161,0.4221182415529194
2021-04-30 05:35:00+00:00,0.360359578231824,0.3778007813603004
2021-04-30 05:40:00+00:00,0.360359578231824,0.3572491111415628
2021-04-30 05:45:00+00:00,0.377242200883234,0.3540935315355749
2021-04-30 05:50:00+00:00,0.355722275786525,0.3551443094428425
2021-04-30 05:55:00+00:00,0.313300732585812,0.3550670342339761
2021-04-30 06:00:00+00:00,0.322443567133702,0.335745634106283
2021-04-30 06:05:00+00:00,0.304069568467535,0.3178929949326235
2021-04-30 06:10:00+00:00,0.297186016086789,0.3111119070318125
2021-04-30 06:15:00+00:00,0.285418453874602,0.3021993950180863
2021-04-30 06:20:00+00:00,0.286892815586865,0.2922649786001307
2021-04-30 06:25:00+00:00,0.283156366157579,0.2847109519610849
2021-04-30 06:30:00+00:00,0.278395167009556,0.2834099434861586
2021-04-30 06:35:00+00:00,0.27609524961997,0.2802858110449845
2021-04-30 06:40:00+00:00,0.271672888496052,0.2747315327963229
2021-04-30 06:45:00+00:00,0.265380764130139,0.2706544710012816
