Net Demand 05/08/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,23134,22899,22899,22899,22535,22535,22535,22237,22237,22237,21938,21938,21938,21698,21698,21698,21468,21468,21468,21294,21294,21294,21107,21107,21107,20896,20896,20896,20788,20788,20788,20645,20645,20645,20578,20578,20578,20464,20464,20464,20420,20420,20420,20343,20343,20343,20385,20385,20385,20328,20328,20328,20381,20381,20381,20382,20382,20382,20467,20467,20467,20613,20613,20613,20729,20729,20729,20765,20765,20765,20737,20737,20737,20715,20715,20715,20706,20706,20706,20761,20761,20761,20923,20923,20923,21114,21114,21114,21065,21065,21065,21046,21046,21046,21115,21115,21115,20840,20840,20840,20502,20502,20502,20427,20427,20427,20347,20347,20347,20165,20165,20165,19934,19934,19934,19662,19662,19662,19533,19533,19533,19293,19293,19293,19154,19154,19154,18899,18899,18899,18681,18681,18681,18614,18614,18614,18448,18448,18448,18277,18277,18277,18151,18151,18151,18120,18120,18120,18045,18045,18045,18095,18095,18095,18130,18130,18130,18219,18219,18219,18361,18361,18361,18541,18541,18541,18695,18695,18695,18883,18883,18883,19038,19038,19038,19364,19364,19364,19633,19633,19633,19938,19938,19938,20289,20289,20289,20736,20736,20736,21108,21108,21108,21565,21565,21565,21940,21940,21940,22533,22533,22533,23010,23010,23010,23403,23403,23403,24086,24086,24086,24545,24545,24545,24782,24782,24782,24963,24963,24963,25280,25280,25280,25354,25354,25354,25670,25670,25670,26009,26009,26009,26167,26167,26167,26458,26458,26458,26646,26646,26646,26785,26785,26785,26796,26796,26796,26628,26628,26628,26404,26404,26404,26191,26191,26191,25958,25958,25958,25664,25664,25664,25326,25326,25326,25082,25082,25082,24761,24761,24761,24337,24337,24337,23819,23819,23819,23464,23464,23464,23185,23185,23185,22793,22793,22793,22519,22519,22519
Demand,23106,23004,22894,22843,22739,22633,22523,22412,22356,22337,22256,22093,21955,21900,21798,21773,21690,21602,21526,21524,21416,21321,21221,21164,21096,21069,21020,20973,20926,20869,20872,20802,20768,20731,20683,20619,20581,20571,20564,20528,20506,20469,20441,20459,20521,20381,20345,20323,20300,20330,20354,20368,20336,20369,20307,20332,20371,20364,20379,20397,20440,20502,20606,20608,20689,20701,20702,20716,20737,20742,20775,20760,20711,20790,20812,20795,20819,20796,20754,20795,20811,20874,20953,20992,21000,21091,21140,21137,21191,21179,21159,21131,21120,21017,20941,20889,20825,20733,20804,20855,20885,20830,20828,20698,20601,20539,20506,20444,20300,20246,20304,20227,20057,19943,19891,19878,19729,19642,19529,19479,19443,19309,19231,19257,19106,18995,18901,18860,18844,18878,18800,18701,18638,18603,18546,18490,18393,18320,18289,18204,18191,18147,18148,18124,18074,18018,18011,18011,18069,18003,18017,18047,17999,17974,18039,18072,18091,18142,18199,18209,18257,18251,18306,18372,18409,18409,18538,18595,18611,18558,18626,18712,18799,18847,18950,19054,19131,19194,19278,19414,19476,19524,19722,19881,19954,20061,20198,20344,20478,20609,20757,20910,21018,21082,21257,21487,21624,21777,21929,22090,22285,22504,22667,22688,22831,23169,23435,23554,23738,23889,24068,24188,24206,24240,24250,24717,24705,24793,24876,24941,24989,25100,25209,25308,25420,25550,25653,25789,25904,25884,25929,25972,25975,26123,26169,26199,26222,26292,26397,26486,26560,26652,26740,26759,26798,26804,26779,26764,26745,26656,26577,26510,26399,26396,26385,26314,26260,26183,26082,25956,25911,25813,25721,25639,25524,25375,25239,25133,25032,24887,24771,24573,24400,24282,24123,24009,23867,23775,23649,23520,23380,23258,23106,23019,22960,22893,22754,22605,
Day-ahead net forecast,Demand response event,Net demand,19409,19292,19174,19119,19048,18973,18799,18721,18723,18782,18721,18604,18501,18442,18357,18313,18252,18091,17951,17865,17786,17550,17393,17256,17148,17077,17023,16952,16835,16736,16680,16521,16454,16395,16327,16179,16088,16011,15963,15894,15834,15736,15665,15628,15640,15497,15395,15297,15250,15231,15208,15227,15221,15209,15190,15227,15167,15234,15261,15284,15338,15356,15449,15516,15546,15585,15585,15616,15665,15646,15684,15653,15571,15585,15591,15499,15273,15093,14820,14506,14152,13762,13418,13079,12624,12280,11927,11540,11141,10808,10524,10062,9878,9893,9808,9688,9451,8938,8775,8294,8423,8456,8179,8061,7907,7886,7796,8007,8143,8283,8187,8152,8115,8131,8132,8237,8185,8135,8018,7931,7798,7679,7541,7449,7436,7362,7248,7226,7145,7149,7097,6971,6935,6850,6865,7156,7334,7221,7219,7192,7164,7209,7204,6995,6880,6671,6668,6528,6613,6570,6599,6621,6675,6510,6431,6453,6480,6578,6630,6655,6690,6678,6689,6781,6784,6728,6764,6823,6852,6819,6855,6947,6989,7023,6973,7080,7085,7016,7015,7044,7229,7358,7493,7601,7637,7749,7896,8033,8103,8129,7968,8052,8308,8795,9034,9240,9454,9595,9650,9687,9607,9546,9670,10039,10377,10534,10959,11132,11065,11124,11081,11053,11366,11525,11779,12400,12920,13311,13782,14288,14747,15286,15851,16415,17002,17609,18202,18783,19343,19725,20147,20430,20716,21005,21305,21461,21571,21656,21820,21936,22029,22131,22224,22304,22437,22408,22446,22399,22347,22244,22172,22073,21989,21930,21993,21929,21895,21904,21858,21755,21689,21625,21539,21417,21294,21142,20968,20895,20830,20688,20554,20373,20190,20065,19934,19821,19689,19586,19504,19346,19230,19125,18956,18829,18752,18701,18612,18488,
