Net Demand 05/29/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,24092,23800,23800,23800,23465,23465,23465,23085,23085,23085,22812,22812,22812,22539,22539,22539,22274,22274,22274,22051,22051,22051,21853,21853,21853,21681,21681,21681,21511,21511,21511,21330,21330,21330,21142,21142,21142,21003,21003,21003,20945,20945,20945,20840,20840,20840,20831,20831,20831,20828,20828,20828,20811,20811,20811,20830,20830,20830,20929,20929,20929,21049,21049,21049,21040,21040,21040,20863,20863,20863,20833,20833,20833,20971,20971,20971,21002,21002,21002,21062,21062,21062,21262,21262,21262,21368,21368,21368,21319,21319,21319,21268,21268,21268,21434,21434,21434,21509,21509,21509,21392,21392,21392,21243,21243,21243,21219,21219,21219,21171,21171,21171,21134,21134,21134,20994,20994,20994,20901,20901,20901,20819,20819,20819,20603,20603,20603,20151,20151,20151,20099,20099,20099,19896,19896,19896,19735,19735,19735,19601,19601,19601,19601,19601,19601,19498,19498,19498,19569,19569,19569,19508,19508,19508,19550,19550,19550,19482,19482,19482,19509,19509,19509,19585,19585,19585,19736,19736,19736,19907,19907,19907,20116,20116,20116,20305,20305,20305,20564,20564,20564,20842,20842,20842,21104,21104,21104,21471,21471,21471,21842,21842,21842,22245,22245,22245,22696,22696,22696,23104,23104,23104,23519,23519,23519,23953,23953,23953,24588,24588,24588,24868,24868,24868,25102,25102,25102,25442,25442,25442,25695,25695,25695,25908,25908,25908,26065,26065,26065,26181,26181,26181,26236,26236,26236,26389,26389,26389,26579,26579,26579,26757,26757,26757,26833,26833,26833,26763,26763,26763,26673,26673,26673,26471,26471,26471,26308,26308,26308,26084,26084,26084,25714,25714,25714,25370,25370,25370,25004,25004,25004,24562,24562,24562,24143,24143,24143,23781,23781,23781,23448,23448,23448,23118,23118,23118,22791,22791,22791
Demand,24105,24010,23885,23764,23662,23521,23450,23404,23263,23146,23011,23040,22923,22784,22685,22598,22504,22435,22369,22293,22175,22101,22012,21980,21902,21831,21783,21724,21676,21584,21505,21443,21372,21248,21196,21180,21130,21129,21109,21056,21034,21004,20964,20946,20922,20890,20885,20823,20809,20808,20816,20828,20819,20835,20830,20823,20817,20839,20824,20861,20854,20905,20956,20992,20992,21030,21055,21051,21051,20966,20976,20978,20943,20992,20980,20970,20979,21045,21041,21140,21175,21108,21218,21247,21299,21188,21183,21231,21271,21278,21344,21357,21390,21347,21377,21385,21407,21465,21521,21572,21514,21432,21436,21376,21375,21347,21341,21295,21226,21382,21403,21397,21352,21293,21223,21190,21188,21154,21077,20985,21018,20944,20884,20723,20536,20475,20495,20413,20318,20205,20098,20052,19983,19951,19998,19866,19812,19760,19703,19707,19682,19612,19512,19485,19502,19512,19571,19560,19504,19453,19420,19486,19553,19465,19399,19431,19475,19388,19410,19410,19393,19464,19505,19511,19551,19579,19593,19649,19714,19743,19779,19831,19858,19964,20012,20063,20196,20251,20295,20434,20503,20574,20654,20724,20844,20979,21093,21218,21362,21472,21571,21728,21877,21970,22072,22211,22344,22469,22622,22782,22957,23110,23246,23302,23429,23777,23958,24098,24165,24284,24362,24480,24622,24744,24857,24997,25115,25183,25212,25341,25472,25577,25689,25764,25847,25901,25975,26040,26107,26106,26169,26147,26205,26257,26252,26267,26293,26291,26351,26388,26524,26556,26631,26702,26752,26798,26768,26787,26791,26756,26729,26709,26607,26649,26660,26678,26618,26524,26424,26365,26264,26130,26036,25903,25745,25644,25558,25415,25292,25145,24999,24887,24766,24635,24507,24371,24222,24082,23968,23818,23707,23578,23457,23334,23206,23094,22982,22849,
Day-ahead net forecast,Demand response event,Net demand,19217,19112,18993,18897,18768,18675,18556,18554,18488,18310,18200,18141,18092,17948,17822,17697,17628,17501,17392,17357,17273,17208,17159,17142,17145,17115,17111,17059,16993,16921,16828,16789,16717,16528,16415,16338,16308,16328,16341,16341,16351,16328,16331,16307,16299,16257,16228,16245,16199,16210,16245,16297,16308,16289,16254,16234,16275,16286,16295,16280,16300,16326,16364,16429,16454,16507,16582,16622,16640,16587,16518,16435,16284,16095,15958,15656,15527,15322,15141,14818,14511,14079,13516,13050,12749,12287,11837,11450,10932,10569,10274,9939,9648,9575,9422,9277,8996,8458,8076,7923,7813,7602,7482,7369,7171,6958,6795,6719,6579,6562,6494,6300,6223,6121,5949,5833,5856,5801,5784,5547,5418,5431,5294,5191,5126,4972,4940,4868,4807,4765,4686,4620,4466,4287,4304,4285,4274,4272,4254,4085,4027,4013,4003,3782,3730,3696,3541,3590,3542,3493,3402,3299,3347,3401,3225,3156,3111,3033,2967,2963,2918,2974,3039,2959,2850,2896,2992,3011,3057,3034,2966,2939,3041,3127,3185,3071,3063,3134,3250,3289,3464,3621,3685,3802,3874,3977,4134,4263,4384,4561,4684,4773,5055,5172,5354,5510,5739,5905,6165,6346,6573,6797,7029,7222,7473,7863,8131,8435,8718,8898,9143,9429,9738,10149,10568,10948,11478,12014,12348,12786,13318,13845,14434,15022,15656,16179,16700,17143,17597,18077,18454,18895,19307,19659,19965,20166,20317,20499,20656,20771,20900,21051,21121,21181,21247,21251,21230,21194,21157,21123,21097,21061,20979,20972,20938,21002,20982,20946,20856,20800,20731,20566,20437,20286,20122,19969,19875,19722,19611,19482,19363,19249,19128,19059,18906,18807,18656,18526,18385,18295,18190,18068,17935,17849,17727,17648,17523,17455,
