Net Demand 05/17/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,21187,21026,21026,21026,20829,20829,20829,20567,20567,20567,20347,20347,20347,20135,20135,20135,19985,19985,19985,19859,19859,19859,19795,19795,19795,19721,19721,19721,19618,19618,19618,19537,19537,19537,19516,19516,19516,19504,19504,19504,19517,19517,19517,19532,19532,19532,19652,19652,19652,19812,19812,19812,20002,20002,20002,20131,20131,20131,20483,20483,20483,20834,20834,20834,21187,21187,21187,21388,21388,21388,21843,21843,21843,22295,22295,22295,22611,22611,22611,22884,22884,22884,23303,23303,23303,23563,23563,23563,23711,23711,23711,23914,23914,23914,24211,24211,24211,24326,24326,24326,24394,24394,24394,24324,24324,24324,24321,24321,24321,24251,24251,24251,24109,24109,24109,23998,23998,23998,23862,23862,23862,23670,23670,23670,23380,23380,23380,23191,23191,23191,23163,23163,23163,23249,23249,23249,23110,23110,23110,23115,23115,23115,23082,23082,23082,23061,23061,23061,23169,23169,23169,23089,23089,23089,22994,22994,22994,22964,22964,22964,22965,22965,22965,22967,22967,22967,23001,23001,23001,23075,23075,23075,23153,23153,23153,23262,23262,23262,23365,23365,23365,23570,23570,23570,23622,23622,23622,23727,23727,23727,23851,23851,23851,24096,24096,24096,24313,24313,24313,24663,24663,24663,24874,24874,24874,25054,25054,25054,25192,25192,25192,25478,25478,25478,25658,25658,25658,25799,25799,25799,26097,26097,26097,26379,26379,26379,26548,26548,26548,26698,26698,26698,26897,26897,26897,27176,27176,27176,27507,27507,27507,27616,27616,27616,27568,27568,27568,27476,27476,27476,27295,27295,27295,27041,27041,27041,26795,26795,26795,26393,26393,26393,25883,25883,25883,25487,25487,25487,25058,25058,25058,24604,24604,24604,24104,24104,24104,23740,23740,23740,23392,23392,23392,23001,23001,23001,22657,22657,22657
Demand,21097,21079,21062,20976,20916,20834,20766,20729,20654,20558,20475,20423,20357,20291,20260,20184,20141,20104,20050,20020,19961,19942,19917,19865,19820,19790,19774,19750,19705,19683,19647,19613,19589,19541,19525,19489,19489,19506,19536,19532,19521,19497,19485,19507,19524,19516,19526,19552,19616,19707,19742,19818,19894,19900,19938,20014,20074,20110,20203,20242,20319,20554,20759,20882,20988,21109,21169,21316,21437,21503,21571,21622,21709,21927,22131,22243,22388,22431,22501,22647,22820,22850,22953,23020,23124,23357,23588,23708,23797,23894,23983,24068,24120,24195,24226,24213,24173,24371,24420,24485,24503,24481,24491,24492,24464,24469,24406,24386,24325,24371,24371,24373,24296,24247,24190,24169,24096,24046,23920,23897,23866,23710,23653,23587,23580,23534,23495,23455,23436,23421,23387,23413,23406,23371,23241,23195,23184,23312,23279,23237,23197,23136,23151,23173,23155,23208,23197,23134,23125,23074,23057,23081,22943,22850,22913,22912,22894,22898,22929,22931,22923,22936,22961,22935,22904,22873,22940,22982,22970,22985,23024,23041,23069,23042,22999,23025,23192,23233,23306,23298,23346,23329,23289,23343,23388,23444,23425,23504,23587,23625,23725,23775,23900,23829,23884,24007,24021,24226,24332,24301,24425,24544,24630,24658,24708,24598,24610,24734,24854,24963,25067,25155,25282,25387,25351,25497,25631,25679,25688,25785,25935,26037,26148,26201,26293,26383,26482,26551,26643,26662,26695,26762,26737,26883,26991,27028,27106,27240,27354,27347,27376,27472,27528,27538,27619,27632,27656,27623,27611,27545,27520,27432,27340,27315,27264,27204,27085,27015,26904,26758,26599,26491,26346,26201,26094,25912,25734,25557,25457,25329,25158,24990,24831,24669,24504,24362,24211,24074,23902,23741,23594,23452,23324,23185,23080,23002,22880,22724,
Day-ahead net forecast,Demand response event,Net demand,16081,15987,15967,15830,15734,15710,15643,15775,15745,15675,15657,15558,15497,15444,15404,15399,15370,15272,15230,15199,15223,15089,14966,14891,14789,14690,14636,14620,14609,14605,14587,14492,14455,14433,14371,14377,14429,14447,14527,14518,14539,14528,14567,14641,14702,14846,14876,14936,14971,15018,15122,15161,15224,15249,15271,15321,15433,15479,15496,15549,15571,15733,16019,16185,16344,16481,16590,16705,16844,16932,17042,17116,17172,17287,17445,17361,17210,17008,16784,16533,16341,16049,15676,15342,14933,14672,14521,14282,13918,13568,13127,12608,12158,12110,12057,11851,11459,10996,10799,10542,10247,10015,9908,9782,9667,9643,9799,9740,9496,9322,9055,8962,8859,8735,8577,8509,8470,8521,8305,8141,8040,7901,7704,7712,7718,7730,7734,7702,7701,7677,7651,7680,7644,7581,7431,7363,7358,7440,7493,7463,7362,7301,7170,7200,7136,7082,7051,7005,6960,6975,6963,6968,6863,6702,6594,6600,6560,6545,6502,6518,6462,6358,6277,6170,6120,6075,6095,6164,6254,6205,6393,6467,6358,6460,6420,6391,6436,6541,6660,6640,6531,6444,6268,6285,6411,6453,6556,6586,6791,6938,7105,7108,7249,7315,7462,7493,7478,7622,7832,7802,7771,8012,8231,8407,8560,8753,8944,9061,9431,9805,10027,10361,10712,11091,11559,11954,12446,12924,13379,13995,14705,15404,15919,16505,17071,17572,18042,18516,19023,19449,19821,20244,20659,20924,21223,21545,21744,21885,22094,22197,22264,22335,22396,22489,22606,22674,22676,22668,22654,22615,22600,22547,22487,22454,22481,22438,22345,22260,22190,22084,21920,21694,21539,21380,21168,21071,20901,20772,20597,20456,20315,20164,19968,19808,19641,19511,19350,19234,19076,18895,18749,18553,18452,18296,18138,18085,18073,17873,
