Net Demand 05/27/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,23819,23495,23495,23495,23123,23123,23123,22787,22787,22787,22508,22508,22508,22242,22242,22242,21972,21972,21972,21798,21798,21798,21650,21650,21650,21463,21463,21463,21352,21352,21352,21217,21217,21217,21171,21171,21171,21163,21163,21163,21172,21172,21172,21128,21128,21128,21258,21258,21258,21395,21395,21395,21495,21495,21495,21610,21610,21610,21938,21938,21938,22183,22183,22183,22358,22358,22358,22331,22331,22331,22583,22583,22583,22949,22949,22949,23245,23245,23245,23487,23487,23487,23738,23738,23738,23983,23983,23983,24177,24177,24177,24081,24081,24081,24270,24270,24270,24262,24262,24262,24084,24084,24084,23955,23955,23955,23735,23735,23735,23487,23487,23487,23137,23137,23137,22818,22818,22818,22613,22613,22613,22477,22477,22477,22312,22312,22312,22100,22100,22100,22062,22062,22062,22039,22039,22039,22010,22010,22010,22006,22006,22006,22032,22032,22032,22218,22218,22218,22350,22350,22350,22425,22425,22425,22659,22659,22659,22790,22790,22790,23132,23132,23132,23179,23179,23179,23394,23394,23394,23662,23662,23662,24059,24059,24059,24245,24245,24245,24528,24528,24528,24869,24869,24869,25239,25239,25239,25444,25444,25444,25792,25792,25792,26111,26111,26111,26644,26644,26644,26865,26865,26865,27304,27304,27304,27593,27593,27593,28177,28177,28177,28243,28243,28243,28409,28409,28409,28438,28438,28438,28637,28637,28637,28759,28759,28759,28784,28784,28784,28859,28859,28859,28853,28853,28853,28982,28982,28982,29132,29132,29132,29289,29289,29289,29336,29336,29336,29244,29244,29244,29191,29191,29191,28926,28926,28926,28584,28584,28584,28181,28181,28181,27737,27737,27737,27194,27194,27194,26786,26786,26786,26275,26275,26275,25814,25814,25814,25257,25257,25257,24792,24792,24792,24414,24414,24414,24095,24095,24095
Demand,23669,23575,23554,23435,23339,23193,23110,23045,22946,22834,22745,22639,22577,22447,22414,22300,22269,22175,22083,22026,21942,21888,21802,21729,21672,21660,21637,21588,21534,21490,21419,21366,21352,21296,21231,21303,21283,21285,21330,21252,21226,21207,21197,21230,21237,21213,21220,21237,21243,21316,21364,21365,21391,21413,21470,21479,21534,21506,21529,21594,21657,21771,21911,22015,22093,22149,22155,22242,22307,22299,22303,22367,22415,22669,22858,22990,23066,23141,23187,23293,23372,23423,23476,23560,23640,23857,24101,24093,24010,24126,24231,24257,24237,24231,24258,24158,24147,24231,24243,24270,24250,24205,24074,24023,23951,23881,23821,23689,23569,23509,23497,23383,23205,23125,23043,22904,22905,22767,22739,22654,22586,22580,22601,22499,22441,22332,22309,22260,22180,22169,22152,22087,22052,22130,22082,22087,22170,22054,22020,22105,22005,22023,22166,22194,22118,22242,22256,22254,22301,22290,22356,22450,22489,22446,22511,22540,22598,22752,22867,22925,22862,22947,23005,23092,23279,23351,23519,23504,23530,23679,23708,23832,23790,23762,23834,23950,24154,24292,24370,24441,24503,24676,24808,24907,24954,25038,25136,25246,25399,25518,25584,25665,25797,26020,26117,26217,26271,26333,26448,26771,26815,26947,27048,27111,27232,27518,27621,27707,27669,27748,27843,28012,28087,28195,28290,28306,28408,28286,28294,28354,28439,28483,28589,28630,28696,28759,28867,28902,28976,29028,29012,28972,29029,29006,29013,29052,29118,29122,29152,29168,29214,29241,29310,29376,29450,29472,29489,29478,29477,29465,29387,29340,29220,29156,29102,28973,28901,28790,28693,28739,28720,28589,28375,28149,27837,27717,27528,27360,27198,27047,26916,26793,26558,26370,26208,26048,25842,25603,25453,25275,25122,24980,24849,24780,24655,24510,24366,24161,
Day-ahead net forecast,Demand response event,Net demand,18922,18694,18662,18573,18475,18373,18160,18082,17932,17855,17719,17627,17487,17369,17284,17231,17158,17092,17040,16963,16937,16858,16814,16717,16665,16677,16663,16620,16585,16585,16523,16489,16485,16492,16437,16395,16395,16355,16380,16377,16445,16415,16402,16454,16532,16576,16615,16651,16701,16792,16867,16906,16914,16972,17037,17060,17140,17127,17112,17190,17231,17327,17485,17620,17704,17749,17815,17839,17907,17894,17876,17866,17828,17723,17751,17580,17354,17121,16829,16480,16158,15730,15327,14936,14577,14168,13968,13515,12997,12519,12216,11949,11749,11642,11592,11337,11010,10523,10185,10071,9981,9950,9797,9607,9496,9418,9278,9119,8923,8345,8069,7969,7831,7755,7810,7643,7550,7557,7383,7180,7094,6881,6918,6801,6751,6700,6664,6702,6786,6763,6771,6745,6718,6789,6816,6765,6843,6887,6845,6892,6930,6885,7030,7102,7131,7197,7168,7240,7246,7267,7246,7254,7244,7167,7149,7177,7179,7236,7320,7435,7347,7322,7410,7379,7521,7586,7687,7681,7586,7620,7681,7764,7818,7678,7661,7737,7923,8084,8124,8219,8221,8332,8373,8476,8535,8695,8731,8823,8931,9068,9103,9109,9170,9391,9655,9951,10057,9937,9843,10161,10316,10472,10581,10741,10966,11427,11578,11824,12021,12159,12382,12729,13102,13427,13759,14126,14477,14787,15068,15540,15933,16390,16906,17530,18048,18717,19363,20010,20477,21075,21482,21865,22255,22623,22912,23115,23397,23586,23766,23880,23955,23996,24083,24133,24180,24161,24146,24088,24078,24077,23975,23936,23776,23697,23644,23588,23537,23470,23384,23364,23407,23207,22991,22758,22482,22304,22145,22005,21820,21630,21457,21328,21143,20906,20733,20560,20312,20041,19908,19817,19726,19598,19478,19402,19297,19187,19014,18808,
