Net Demand 05/05/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,23877,23509,23509,23509,23075,23075,23075,22828,22828,22828,22526,22526,22526,22252,22252,22252,22085,22085,22085,21864,21864,21864,21709,21709,21709,21537,21537,21537,21405,21405,21405,21336,21336,21336,21248,21248,21248,21111,21111,21111,21047,21047,21047,20990,20990,20990,21026,21026,21026,21131,21131,21131,21255,21255,21255,21365,21365,21365,21705,21705,21705,22090,22090,22090,22410,22410,22410,22541,22541,22541,22963,22963,22963,23258,23258,23258,23239,23239,23239,23639,23639,23639,23809,23809,23809,23978,23978,23978,24047,24047,24047,24008,24008,24008,24352,24352,24352,24287,24287,24287,24190,24190,24190,24090,24090,24090,23979,23979,23979,23889,23889,23889,23878,23878,23878,23834,23834,23834,23866,23866,23866,23805,23805,23805,23818,23818,23818,23815,23815,23815,23787,23787,23787,23980,23980,23980,24030,24030,24030,24263,24263,24263,24376,24376,24376,24660,24660,24660,25109,25109,25109,25328,25328,25328,25574,25574,25574,25856,25856,25856,25938,25938,25938,26168,26168,26168,26467,26467,26467,26797,26797,26797,27223,27223,27223,27585,27585,27585,27858,27858,27858,28240,28240,28240,28586,28586,28586,28899,28899,28899,29084,29084,29084,29407,29407,29407,29575,29575,29575,29982,29982,29982,30187,30187,30187,30465,30465,30465,30694,30694,30694,31087,31087,31087,31149,31149,31149,31223,31223,31223,31380,31380,31380,31448,31448,31448,31404,31404,31404,31219,31219,31219,31085,31085,31085,31175,31175,31175,31126,31126,31126,31039,31039,31039,30720,30720,30720,30363,30363,30363,29940,29940,29940,29520,29520,29520,29100,29100,29100,28593,28593,28593,27922,27922,27922,27442,27442,27442,26887,26887,26887,26311,26311,26311,25707,25707,25707,25264,25264,25264,24811,24811,24811,24409,24409,24409,24041,24041,24041
Demand,23708,23599,23599,23522,23392,23296,23178,23094,22985,22871,22736,22704,22609,22564,22477,22367,22311,22241,22182,22124,22010,21938,21849,21810,21715,21710,21696,21641,21602,21537,21507,21489,21404,21379,21317,21238,21173,21148,21106,21116,21107,21071,21040,21038,21022,21010,20983,20991,20980,21066,21142,21180,21199,21226,21250,21295,21341,21377,21413,21525,21670,21788,21917,22034,22100,22159,22206,22354,22444,22565,22706,22706,22758,22915,23018,23163,23231,23257,23247,23316,23399,23440,23627,23573,23600,23814,23942,23984,24088,24059,24012,24247,24342,24268,24233,24213,24172,24303,24298,24326,24359,24356,24218,24246,24249,24164,24113,24083,24006,24037,24106,24038,24013,23961,23944,23961,23961,23906,23874,23800,23783,23782,23779,23732,23755,23698,23708,23703,23710,23729,23753,23765,23753,23739,23769,23814,23884,23953,24043,24051,24120,24142,24312,24280,24429,24567,24691,24833,24845,24870,24898,24982,25123,25181,25274,25343,25427,25471,25457,25539,25600,25677,25753,25897,25971,26050,26277,26303,26412,26605,26685,26776,26910,27067,27187,27247,27306,27434,27541,27671,27767,27920,28001,28106,28242,28373,28478,28545,28622,28702,28853,28945,28995,28985,29059,29218,29319,29469,29569,29686,29801,29943,30081,30169,30305,30297,30352,30488,30612,30698,30834,30966,31013,31124,31297,31359,31378,31365,31311,31334,31337,31391,31433,31465,31473,31460,31444,31421,31348,31260,31236,31218,31214,31180,31106,31061,31052,31062,31101,31085,31094,31024,30997,30945,30902,30862,30825,30723,30599,30541,30351,30238,30051,29897,29809,29726,29578,29447,29253,29072,28913,28757,28618,28425,28232,27973,27781,27560,27376,27215,27093,26863,26622,26426,26242,26089,25877,25683,25487,25318,25199,25044,24873,24695,24575,24397,24272,24154,
Day-ahead net forecast,Demand response event,Net demand,21142,20938,20942,20846,20780,20625,20556,20399,20306,20183,20028,19931,19871,19773,19702,19583,19451,19394,19317,19195,19085,18983,18880,18856,18737,18713,18729,18729,18738,18716,18723,18729,18707,18709,18658,18608,18551,18530,18527,18516,18514,18491,18495,18514,18526,18540,18517,18522,18503,18564,18675,18751,18773,18769,18802,18842,18901,18940,18977,19042,19184,19334,19521,19655,19801,19895,20031,20149,20335,20437,20604,20670,20726,20778,20897,20873,20800,20691,20429,20067,19822,19490,19265,18944,18517,18222,17987,17633,17346,16970,16505,16006,15610,15149,14719,14244,13883,13704,13569,13407,13328,13292,12867,12749,12575,12439,12327,12195,12095,11934,11956,11994,12032,11855,11636,11511,11403,11259,11200,11141,11028,10958,10930,10864,10771,10665,10590,10537,10444,10471,10435,10443,10425,10402,10378,10408,10425,10469,10623,10568,10549,10689,10807,10859,10968,11102,11131,11261,11362,11464,11593,11696,11834,11943,12068,12271,12313,12345,12426,12520,12646,12764,12781,12724,12701,12673,12788,13129,13078,13276,13456,13711,13980,13998,14213,14420,14485,14594,14745,14863,14836,14893,14965,15077,15388,15493,15432,15355,15329,15420,15634,15807,15979,16053,16144,16358,16541,16762,16983,17166,17371,17621,17912,18178,18405,18601,18780,19018,19318,19638,19989,20438,20768,21159,21608,22118,22575,23062,23515,24029,24507,25033,25665,26104,26527,27001,27404,27817,28133,28371,28590,28852,29034,29104,29081,29112,29104,29140,29141,29112,29042,28933,28869,28744,28667,28606,28570,28497,28307,28219,28070,27892,27702,27522,27336,27216,27037,26923,26766,26641,26544,26352,26223,26013,25778,25496,25252,24965,24726,24510,24308,23973,23678,23468,23256,23061,22880,22667,22467,22307,22212,22077,21923,21736,21560,21428,21289,21169,
