Net Demand 05/11/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,23293,23059,23059,23059,22677,22677,22677,22395,22395,22395,22087,22087,22087,21846,21846,21846,21697,21697,21697,21499,21499,21499,21354,21354,21354,21235,21235,21235,21163,21163,21163,20935,20935,20935,20852,20852,20852,20820,20820,20820,20778,20778,20778,20706,20706,20706,20775,20775,20775,20946,20946,20946,21064,21064,21064,21063,21063,21063,21453,21453,21453,21799,21799,21799,22108,22108,22108,22121,22121,22121,22527,22527,22527,22803,22803,22803,23042,23042,23042,23318,23318,23318,23776,23776,23776,23895,23895,23895,23961,23961,23961,24108,24108,24108,24363,24363,24363,24517,24517,24517,24294,24294,24294,24322,24322,24322,24297,24297,24297,24227,24227,24227,24105,24105,24105,23994,23994,23994,23799,23799,23799,23694,23694,23694,23615,23615,23615,23393,23393,23393,23252,23252,23252,23092,23092,23092,23083,23083,23083,23009,23009,23009,22982,22982,22982,23064,23064,23064,23117,23117,23117,23232,23232,23232,23464,23464,23464,23645,23645,23645,23880,23880,23880,24199,24199,24199,24321,24321,24321,24646,24646,24646,24976,24976,24976,25203,25203,25203,25401,25401,25401,25665,25665,25665,25885,25885,25885,26340,26340,26340,26664,26664,26664,27009,27009,27009,27339,27339,27339,27804,27804,27804,28136,28136,28136,28499,28499,28499,29122,29122,29122,29378,29378,29378,29572,29572,29572,29620,29620,29620,29815,29815,29815,29933,29933,29933,29914,29914,29914,29851,29851,29851,29857,29857,29857,29956,29956,29956,30069,30069,30069,30072,30072,30072,29849,29849,29849,29569,29569,29569,29170,29170,29170,28873,28873,28873,28509,28509,28509,28014,28014,28014,27481,27481,27481,27004,27004,27004,26523,26523,26523,25998,25998,25998,25438,25438,25438,24949,24949,24949,24453,24453,24453,24147,24147,24147,23773,23773,23773
Demand,23260,23134,23115,23016,22886,22819,22729,22602,22490,22398,22330,22239,22132,22100,22089,22002,21905,21863,21770,21701,21643,21567,21493,21438,21385,21411,21375,21336,21256,21146,21101,21032,21016,20952,20904,20881,20892,20817,20854,20858,20878,20720,20633,20725,20740,20729,20712,20723,20745,20808,20900,20922,20917,20866,20901,20988,21017,21086,21127,21198,21252,21491,21632,21754,21778,21829,21884,22013,22097,22159,22197,22256,22355,22541,22750,22831,22941,23000,23057,23238,23321,23402,23410,23490,23556,23724,23876,23981,24064,24113,24163,24295,24279,24338,24388,24371,24384,24415,24463,24531,24584,24531,24526,24482,24474,24425,24415,24366,24317,24333,24318,24324,24291,24244,24114,23987,23914,23873,23821,23791,23801,23703,23695,23658,23649,23574,23503,23384,23385,23273,23084,23074,22985,23040,23089,23058,23011,22965,22945,22947,22908,22922,22903,22895,22894,22916,22946,22937,22955,22991,23046,23116,23203,23234,23248,23319,23295,23396,23576,23649,23742,23801,23868,23884,23968,24066,24179,24267,24345,24438,24465,24593,24687,24726,24815,24797,24861,24982,25132,25190,25305,25335,25400,25485,25684,25834,25949,26050,26191,26274,26422,26536,26657,26732,26791,26897,27073,27202,27297,27430,27509,27802,28063,28210,28326,28524,28638,28750,28814,28853,29003,29144,29258,29320,29430,29508,29575,29477,29496,29553,29666,29735,29794,29845,29888,29977,29993,29949,29977,29976,29837,29860,29824,29851,29854,29913,29925,29919,29972,30016,30042,30024,30018,30026,30029,29991,29913,29820,29742,29679,29605,29499,29353,29279,29170,29033,28909,28757,28620,28479,28331,28195,28048,27951,27765,27487,27369,27194,27054,26850,26683,26482,26307,26131,25933,25751,25510,25285,25085,24937,24781,24702,24584,24419,24281,24134,24045,23960,
Day-ahead net forecast,Demand response event,Net demand,19654,19452,19445,19353,19225,19107,18976,18917,18791,18678,18603,18537,18466,18422,18521,18531,18553,18513,18454,18378,18257,18206,18119,18031,17928,17905,17918,17903,17838,17742,17768,17731,17668,17698,17636,17616,17647,17672,17688,17735,17815,17787,17700,17798,17884,17979,18003,18052,18037,18121,18267,18358,18468,18453,18543,18642,18791,18886,18967,19093,19182,19376,19607,19814,19886,20010,20143,20258,20428,20564,20608,20707,20753,20879,21014,21017,20940,20778,20570,20359,20109,19794,19409,18983,18605,18187,17913,17520,17141,16727,16312,16005,15804,15713,15668,15677,15910,14961,14365,13975,13841,13804,13825,13589,13510,13442,13303,13321,13222,12767,12570,12473,12478,12396,12091,11854,12018,12082,12051,12015,12022,11824,11687,11661,11627,11516,11288,11293,11320,11435,11323,11206,11071,10873,10790,10800,10779,10661,10481,10421,10396,10560,10541,10542,10520,10633,10683,10625,10711,10608,10359,10389,10606,10843,10996,11021,10894,10761,10852,10954,10994,11054,11034,11080,11219,11302,11419,11506,11550,11724,11824,11939,12035,12083,12070,12215,12366,12390,12540,12676,12764,12716,12728,12870,12927,13163,13408,13350,13435,13620,13704,13934,14181,14196,14188,14375,14507,14689,14876,14981,15169,15344,15721,15926,16138,16346,16513,16757,16968,17139,17421,17813,18182,18523,18930,19385,19904,20218,20613,21151,21679,22266,22750,23294,23796,24318,24852,25213,25595,26021,26244,26428,26708,26873,27056,27170,27381,27424,27535,27575,27582,27596,27518,27494,27453,27417,27314,27197,27081,26975,26888,26785,26707,26549,26507,26392,26294,26215,26105,26016,25895,25797,25707,25563,25422,25158,24960,24806,24658,24431,24244,23989,23762,23549,23393,23182,23016,22785,22603,22423,22245,22117,22089,21951,21817,21702,21557,21539,
