Net Demand 05/02/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,21740,21506,21506,21506,21212,21212,21212,20931,20931,20931,20656,20656,20656,20447,20447,20447,20254,20254,20254,20056,20056,20056,19882,19882,19882,19756,19756,19756,19621,19621,19621,19478,19478,19478,19387,19387,19387,19307,19307,19307,19216,19216,19216,19158,19158,19158,19157,19157,19157,19164,19164,19164,19183,19183,19183,19207,19207,19207,19271,19271,19271,19361,19361,19361,19414,19414,19414,19400,19400,19400,19360,19360,19360,19326,19326,19326,19296,19296,19296,19402,19402,19402,19475,19475,19475,19427,19427,19427,19432,19432,19432,19320,19320,19320,19097,19097,19097,18994,18994,18994,18889,18889,18889,18600,18600,18600,18465,18465,18465,18322,18322,18322,18172,18172,18172,18068,18068,18068,17900,17900,17900,17762,17762,17762,17671,17671,17671,17586,17586,17586,17412,17412,17412,17381,17381,17381,17330,17330,17330,17298,17298,17298,17243,17243,17243,17296,17296,17296,17357,17357,17357,17258,17258,17258,17256,17256,17256,17140,17140,17140,17183,17183,17183,17293,17293,17293,17353,17353,17353,17500,17500,17500,17606,17606,17606,17825,17825,17825,18005,18005,18005,18263,18263,18263,18556,18556,18556,18806,18806,18806,19152,19152,19152,19521,19521,19521,19790,19790,19790,20218,20218,20218,20531,20531,20531,21087,21087,21087,21629,21629,21629,22071,22071,22071,22550,22550,22550,23003,23003,23003,23318,23318,23318,23717,23717,23717,23942,23942,23942,24188,24188,24188,24501,24501,24501,24856,24856,24856,25213,25213,25213,25245,25245,25245,25193,25193,25193,25074,25074,25074,24933,24933,24933,24817,24817,24817,24624,24624,24624,24209,24209,24209,23816,23816,23816,23469,23469,23469,23067,23067,23067,22569,22569,22569,22162,22162,22162,21832,21832,21832,21551,21551,21551,21225,21225,21225,20926,20926,20926
Demand,21605,21606,21553,21438,21368,21279,21180,21110,21066,20934,20855,20836,20737,20655,20585,20520,20458,20376,20306,20245,20176,20114,20043,20004,19919,19897,19847,19793,19733,19709,19665,19593,19567,19507,19491,19452,19411,19369,19398,19342,19334,19300,19249,19251,19213,19177,19189,19184,19169,19217,19241,19280,19246,19222,19262,19240,19236,19223,19220,19237,19249,19304,19372,19380,19407,19412,19396,19445,19470,19476,19483,19486,19498,19537,19523,19500,19550,19537,19510,19493,19475,19445,19427,19424,19423,19469,19576,19574,19538,19505,19378,19268,19196,19176,19166,19106,19014,19154,19080,19036,18977,18883,18817,18761,18702,18648,18561,18505,18442,18474,18423,18424,18436,18313,18224,18143,18086,18013,17959,17912,17818,17824,17854,17829,17802,17706,17661,17623,17546,17506,17507,17494,17468,17446,17464,17415,17410,17363,17326,17292,17290,17285,17269,17290,17244,17167,17250,17256,17198,17164,17151,17147,17127,17149,17048,16987,16970,16951,17063,17099,17091,17038,17067,17059,17141,17154,17153,17202,17225,17247,17287,17337,17405,17423,17498,17533,17554,17634,17738,17754,17812,17883,18018,18092,18158,18350,18427,18470,18568,18649,18730,18789,18917,18913,19048,19163,19302,19484,19603,19680,19781,19954,20101,20303,20487,20694,20778,20992,21171,21385,21536,21713,21950,22065,22229,22408,22542,22680,22827,22923,23104,23239,23336,23453,23529,23614,23697,23799,23943,23996,24068,24144,24199,24331,24430,24552,24641,24740,24843,24965,25033,25137,25189,25204,25266,25272,25327,25293,25200,25190,25137,25165,25085,25027,25038,24946,24818,24746,24584,24512,24421,24325,24198,24049,23981,23783,23582,23475,23334,23182,23107,22965,22837,22681,22566,22395,22314,22137,21967,21853,21757,21611,21505,21354,21260,21152,21046,20933,
Day-ahead net forecast,Demand response event,Net demand,16804,16724,16813,16803,16783,16788,16693,16585,16529,16376,16287,16310,16327,16267,16257,16283,16290,16267,16196,16151,16077,16001,15894,15837,15747,15638,15567,15475,15337,15287,15212,15092,14951,14801,14686,14594,14514,14432,14396,14348,14267,14185,14128,14189,14170,14284,14393,14574,14667,14871,14950,15072,15113,15203,15263,15364,15395,15463,15476,15485,15546,15550,15643,15604,15547,15562,15610,15635,15737,15782,15815,15801,15859,15806,15727,15511,15326,15209,14906,14524,14140,13599,13072,12693,12154,11605,11121,10554,9912,9897,10138,9956,9736,9534,9330,9399,9055,8732,8484,8253,8024,8112,8099,8102,8017,8001,8147,8072,7801,7391,6726,6285,6053,6102,6073,6008,6017,6072,6079,5886,5781,5356,5104,4998,4928,4795,4696,4741,4760,4826,4814,4677,4626,4724,4821,4655,4597,4453,4291,4270,4061,3921,3910,3745,3677,3176,2991,3029,3203,3164,3169,3182,3173,3203,3266,3102,3037,2816,2552,2425,2645,2718,2757,2686,2576,2572,2588,2576,2586,2665,2695,2797,2898,2950,2995,3024,3062,3080,3069,3004,2952,3256,3401,3511,3422,3520,3655,3597,3471,3380,3507,3680,3851,3944,4103,4353,4509,4491,4664,4960,5101,5505,5800,5944,6224,6861,7190,7616,8119,8274,8507,8933,9097,9277,9634,10022,10603,11147,11780,12343,13070,13814,14438,15065,15576,16058,16527,17040,17571,18011,18354,18711,19000,19351,19641,19926,20153,20344,20557,20719,20772,20884,20969,20977,20939,20892,20867,20829,20648,20583,20480,20445,20418,20275,20305,20179,20089,20049,19967,19820,19700,19566,19391,19207,18980,18857,18646,18422,18300,18148,18063,17905,17774,17615,17472,17293,17220,17039,16875,16744,16617,16527,16379,16278,16151,16060,15970,15820,
