Net Demand 05/15/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,23349,23140,23140,23140,22828,22828,22828,22508,22508,22508,22184,22184,22184,21939,21939,21939,21744,21744,21744,21515,21515,21515,21295,21295,21295,21144,21144,21144,20967,20967,20967,20795,20795,20795,20716,20716,20716,20616,20616,20616,20561,20561,20561,20514,20514,20514,20495,20495,20495,20558,20558,20558,20560,20560,20560,20562,20562,20562,20667,20667,20667,20775,20775,20775,20882,20882,20882,20877,20877,20877,20906,20906,20906,20936,20936,20936,21077,21077,21077,21153,21153,21153,21240,21240,21240,21336,21336,21336,21356,21356,21356,21339,21339,21339,21740,21740,21740,21711,21711,21711,21660,21660,21660,21501,21501,21501,21326,21326,21326,21246,21246,21246,21194,21194,21194,21143,21143,21143,21091,21091,21091,21037,21037,21037,20983,20983,20983,20629,20629,20629,20465,20465,20465,20295,20295,20295,19980,19980,19980,19892,19892,19892,19588,19588,19588,19346,19346,19346,19161,19161,19161,18985,18985,18985,18784,18784,18784,18632,18632,18632,18625,18625,18625,18673,18673,18673,18665,18665,18665,18781,18781,18781,18997,18997,18997,19071,19071,19071,19320,19320,19320,19525,19525,19525,19927,19927,19927,20271,20271,20271,20448,20448,20448,20818,20818,20818,21166,21166,21166,21375,21375,21375,21561,21561,21561,22089,22089,22089,22743,22743,22743,22955,22955,22955,23165,23165,23165,23528,23528,23528,23696,23696,23696,23915,23915,23915,24075,24075,24075,24350,24350,24350,24615,24615,24615,24950,24950,24950,25309,25309,25309,25566,25566,25566,25520,25520,25520,25440,25440,25440,25259,25259,25259,25087,25087,25087,24866,24866,24866,24578,24578,24578,24303,24303,24303,24003,24003,24003,23667,23667,23667,23316,23316,23316,22914,22914,22914,22614,22614,22614,22310,22310,22310,22020,22020,22020,21705,21705,21705
Demand,23446,23313,23192,23121,23012,22908,22841,22750,22582,22522,22448,22355,22307,22188,22092,22038,21979,21878,21756,21681,21604,21537,21437,21379,21320,21279,21243,21140,21091,21051,21030,20940,20903,20830,20815,20749,20723,20713,20698,20702,20642,20639,20620,20607,20582,20558,20522,20550,20521,20522,20574,20592,20548,20530,20527,20556,20571,20563,20555,20577,20611,20677,20765,20822,20867,20883,20899,20927,20955,20957,20948,20939,20922,21036,21107,21092,21145,21105,21117,21109,21138,21121,21109,21162,21123,21267,21325,21287,21322,21387,21398,21589,21644,21614,21572,21543,21555,21728,21737,21823,21778,21687,21559,21572,21481,21449,21431,21383,21369,21430,21561,21554,21533,21475,21526,21513,21403,21341,21333,21335,21352,21331,21278,21174,21021,20982,20982,20889,20806,20731,20660,20594,20469,20292,20267,20230,20221,20118,19989,19897,19860,19727,19666,19541,19458,19368,19253,19238,19104,19087,19015,18951,18873,18820,18787,18745,18687,18652,18651,18682,18583,18626,18582,18618,18555,18603,18652,18658,18687,18774,18844,18844,18805,18810,18952,18990,19084,19161,19257,19354,19422,19445,19525,19585,19664,19773,19861,20009,20168,20152,20284,20380,20440,20535,20617,20735,20848,20884,20947,21065,21220,21316,21402,21561,21672,22008,22242,22272,22332,22408,22455,22538,22684,22809,22940,23047,23162,23218,23271,23357,23473,23526,23604,23726,23790,23881,23933,24059,24140,24196,24296,24387,24447,24558,24635,24713,24755,24876,25065,25121,25193,25285,25304,25390,25440,25469,25484,25445,25439,25386,25340,25293,25210,25192,25181,25084,25046,24981,24907,24880,24789,24661,24554,24450,24357,24177,24066,23992,23876,23797,23681,23579,23475,23298,23197,23096,22945,22830,22711,22607,22555,22373,22296,22191,22070,21964,21847,21737,
Day-ahead net forecast,Demand response event,Net demand,19216,19141,19002,18957,18858,18786,18715,18675,18612,18520,18441,18339,18280,18197,18086,18002,17942,17778,17643,17603,17549,17518,17461,17467,17414,17345,17289,17102,16986,16941,16875,16767,16674,16627,16570,16476,16395,16335,16236,16222,16162,16100,16057,15991,16001,15982,15992,15974,15966,15881,15940,15992,16005,15980,15983,16020,16088,16168,16253,16403,16500,16589,16674,16746,16805,16828,16880,16933,17043,17070,17110,17093,17009,17004,17002,16775,16573,16274,15927,15549,15118,14768,14278,13845,13292,12810,12370,11760,11252,11131,10881,10303,10113,10223,10902,10996,11021,10419,10379,10245,9664,9396,9011,8710,8519,8496,8801,9001,9091,8859,8890,8864,8742,8555,8414,8155,7967,7629,6697,6416,6376,7546,7900,8113,8093,7981,7837,7890,7836,7702,7713,7826,7939,7868,7778,7639,7327,7317,7293,7160,6933,6749,6543,6453,6410,6252,6102,5948,6152,6108,6016,5950,5740,5798,5674,5621,5696,5639,5348,5312,5028,4949,4901,4796,4709,4555,4348,4228,4158,4124,4267,4518,4496,4471,4301,4196,4273,4423,4506,4642,4946,5185,5165,5377,5209,5269,5219,5201,5323,5596,5730,5974,6180,6354,6354,6351,6654,6904,7040,7545,8083,8424,8651,8767,8857,9251,9637,9822,10101,10103,10001,10102,10287,10620,10640,10940,11431,11962,12402,12846,13404,14055,14655,15273,15779,16262,16762,17322,17877,18337,18788,19328,19814,20180,20473,20753,20949,21177,21402,21647,21698,21826,21879,21927,21977,22073,22163,22137,22149,22132,22116,22049,21960,21882,21864,21775,21658,21492,21324,21218,21091,20901,20733,20580,20472,20357,20195,20147,20052,19933,19828,19692,19607,19505,19417,19336,19168,19018,18965,18958,18900,18760,18566,18495,18300,18164,18010,17961,
