Net Demand 05/21/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,22443,22196,22196,22196,21893,21893,21893,21626,21626,21626,21333,21333,21333,21138,21138,21138,21066,21066,21066,20920,20920,20920,20870,20870,20870,20802,20802,20802,20597,20597,20597,20489,20489,20489,20482,20482,20482,20448,20448,20448,20425,20425,20425,20435,20435,20435,20542,20542,20542,20690,20690,20690,20818,20818,20818,20948,20948,20948,21297,21297,21297,21623,21623,21623,21853,21853,21853,21938,21938,21938,22270,22270,22270,22578,22578,22578,22913,22913,22913,23385,23385,23385,23945,23945,23945,24062,24062,24062,24021,24021,24021,23223,23223,23223,23278,23278,23278,23233,23233,23233,22996,22996,22996,22824,22824,22824,22593,22593,22593,22404,22404,22404,21873,21873,21873,21667,21667,21667,21381,21381,21381,21102,21102,21102,20985,20985,20985,20770,20770,20770,20739,20739,20739,20549,20549,20549,20431,20431,20431,20350,20350,20350,20199,20199,20199,20184,20184,20184,20140,20140,20140,19970,19970,19970,20079,20079,20079,19886,19886,19886,20013,20013,20013,20001,20001,20001,20051,20051,20051,20157,20157,20157,20100,20100,20100,20280,20280,20280,20601,20601,20601,20624,20624,20624,20702,20702,20702,20868,20868,20868,21118,21118,21118,21394,21394,21394,21670,21670,21670,22098,22098,22098,22225,22225,22225,22593,22593,22593,23138,23138,23138,23490,23490,23490,23729,23729,23729,23984,23984,23984,24307,24307,24307,24573,24573,24573,24805,24805,24805,25006,25006,25006,25301,25301,25301,25519,25519,25519,25816,25816,25816,26128,26128,26128,26114,26114,26114,26169,26169,26169,26094,26094,26094,25933,25933,25933,25769,25769,25769,25496,25496,25496,25129,25129,25129,24846,24846,24846,24485,24485,24485,24081,24081,24081,23592,23592,23592,23268,23268,23268,22936,22936,22936,22606,22606,22606,22307,22307,22307
Demand,22305,22251,22211,22106,22008,21924,21859,21787,21702,21607,21511,21444,21436,21432,21415,21356,21298,21261,21202,21158,21094,21045,21019,21012,20965,20835,20801,20729,20746,20669,20649,20614,20580,20576,20538,20523,20468,20481,20483,20456,20486,20465,20463,20476,20483,20470,20476,20489,20540,20557,20663,20694,20732,20766,20802,20858,20918,20924,21008,21040,21138,21331,21483,21597,21644,21745,21784,21884,21951,21963,21990,22003,22066,22302,22499,22666,22836,22913,23075,23326,23479,23406,23114,23149,23176,23363,23484,23490,23501,23508,23507,23479,23468,23469,23335,23292,23244,23356,23225,23325,23296,23178,23083,23018,22904,22823,22749,22675,22559,22313,22227,22157,22198,22076,21961,21799,21714,21599,21527,21388,21341,21292,21337,21282,21224,21055,21007,21059,21037,20941,20888,20761,20707,20693,20657,20610,20557,20552,20477,20415,20358,20338,20321,20349,20324,20300,20267,20139,20112,20080,20008,20202,20224,20071,19997,19946,19908,19943,20013,20027,20025,19999,19973,20000,19998,20062,20106,20140,20087,20048,20077,20113,20155,20192,20170,20386,20322,20351,20378,20421,20526,20484,20409,20568,20565,20584,20721,20752,20787,20864,20974,21066,21055,21223,21441,21522,21532,21606,21721,21833,21807,21904,22035,22145,22345,22498,22664,22719,22828,23023,23209,23320,23333,23430,23589,23628,23749,23883,23843,23928,24080,24178,24295,24431,24484,24591,24717,24795,24911,24950,25023,25111,25160,25172,25198,25285,25374,25474,25623,25724,25829,25828,25924,25987,26114,26131,26203,26214,26221,26202,26197,26124,26134,26096,26042,25994,25962,25907,25774,25707,25615,25558,25470,25371,25259,25042,24893,24771,24668,24587,24414,24294,24166,24030,23939,23859,23678,23529,23402,23291,23162,23013,22891,22795,22675,22559,22477,22384,
Day-ahead net forecast,Demand response event,Net demand,17787,17653,17712,17691,17653,17535,17396,17411,17327,17241,17183,17120,17109,17084,17066,17072,17037,17049,17070,17068,17121,17049,17001,17024,16970,16863,16814,16794,16741,16783,16753,16747,16746,16762,16854,16837,16871,16932,17003,17017,17016,17073,17069,17121,17070,17076,17064,17029,17097,17090,17242,17341,17444,17527,17574,17655,17725,17760,17777,17830,17923,18125,18300,18392,18521,18605,18658,18767,18880,18857,18847,18791,18793,18859,18963,18992,18874,18672,18476,18296,18063,17559,17003,16459,16042,15623,15106,14380,13879,13292,12630,11953,11218,10959,10580,10412,10094,9887,9630,9364,8963,8703,8548,8224,7912,7720,7552,7341,7152,6609,6326,6153,5945,5870,5896,5894,5846,5918,5865,5816,5679,5308,5038,4904,4898,4876,4860,4884,4925,4991,5196,5440,5405,5556,5687,5666,5570,5401,5402,5377,5329,5288,5067,5063,5005,4846,4787,4964,5010,5266,5225,5246,5440,5441,5453,5521,5402,5343,5500,5536,5528,5672,5758,5543,5701,5746,5870,5782,5931,5693,5834,5569,5521,5640,5765,5599,5469,5476,5578,5714,5825,6267,6277,6208,6052,6089,5928,6660,6882,7001,7130,7533,7645,7429,7546,7790,7917,8394,8528,8689,8943,9153,9316,9552,9808,10226,10532,10890,11264,11492,11525,12338,12748,12709,12786,13193,13578,13724,13842,14346,15032,15488,16023,16706,17356,18014,18646,19076,19499,19908,20258,20516,20719,20940,21134,21364,21592,21828,21988,22084,22130,22271,22326,22468,22684,22834,22943,23062,23129,23063,23091,23106,23114,23152,23117,23009,22951,22831,22633,22465,22336,22182,22062,21986,21836,21700,21573,21467,21319,21171,21094,20867,20731,20519,20395,20245,20010,19812,19638,19524,19420,19298,19139,19076,18936,18850,18748,18706,
