Net Demand 05/01/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,23638,23346,23346,23346,23059,23059,23059,22615,22615,22615,22281,22281,22281,22020,22020,22020,21726,21726,21726,21449,21449,21449,21260,21260,21260,21057,21057,21057,20915,20915,20915,20731,20731,20731,20602,20602,20602,20473,20473,20473,20384,20384,20384,20287,20287,20287,20307,20307,20307,20297,20297,20297,20318,20318,20318,20320,20320,20320,20405,20405,20405,20534,20534,20534,20612,20612,20612,20635,20635,20635,20667,20667,20667,20681,20681,20681,20736,20736,20736,20735,20735,20735,20846,20846,20846,21035,21035,21035,20906,20906,20906,20806,20806,20806,20891,20891,20891,20805,20805,20805,20693,20693,20693,20587,20587,20587,20395,20395,20395,20195,20195,20195,19971,19971,19971,19660,19660,19660,19598,19598,19598,19433,19433,19433,19650,19650,19650,19509,19509,19509,19435,19435,19435,19478,19478,19478,19257,19257,19257,19246,19246,19246,19091,19091,19091,19154,19154,19154,19215,19215,19215,19308,19308,19308,19292,19292,19292,19198,19198,19198,19279,19279,19279,19389,19389,19389,19602,19602,19602,19878,19878,19878,20137,20137,20137,20275,20275,20275,20532,20532,20532,20785,20785,20785,20800,20800,20800,21094,21094,21094,21353,21353,21353,21572,21572,21572,21951,21951,21951,22443,22443,22443,22759,22759,22759,23174,23174,23174,23397,23397,23397,23675,23675,23675,23981,23981,23981,24227,24227,24227,24579,24579,24579,24765,24765,24765,24954,24954,24954,25186,25186,25186,25420,25420,25420,25704,25704,25704,25985,25985,25985,26038,26038,26038,25918,25918,25918,25694,25694,25694,25496,25496,25496,25346,25346,25346,25092,25092,25092,24719,24719,24719,24397,24397,24397,24126,24126,24126,23786,23786,23786,23373,23373,23373,22992,22992,22992,22702,22702,22702,22348,22348,22348,22062,22062,22062,21743,21743,21743
Demand,23656,23599,23552,23327,23216,23111,22980,22865,22731,22632,22530,22461,22379,22266,22126,22053,21935,21847,21752,21713,21557,21521,21459,21378,21298,21269,21223,21122,21077,20994,20938,20942,20831,20764,20698,20658,20637,20630,20587,20545,20504,20441,20446,20408,20406,20362,20331,20294,20302,20332,20331,20328,20341,20317,20311,20332,20300,20324,20315,20313,20319,20406,20461,20521,20542,20536,20579,20624,20669,20685,20704,20726,20760,20846,20867,20796,20810,20759,20733,20726,20714,20782,20858,20891,20882,20859,20878,20852,20835,20807,20823,20892,20872,20769,20753,20747,20744,20768,20765,20806,20914,20873,20676,20624,20556,20479,20386,20244,20229,20212,20129,20051,19963,19903,19879,19798,19815,19721,19520,19551,19646,19834,19734,19685,19571,19576,19685,19499,19462,19540,19595,19541,19364,19328,19189,19188,19158,19194,19221,19129,19011,18999,19088,19106,19137,19121,18999,19110,19280,19110,19093,19184,19098,19047,19038,19077,19048,19044,19104,19154,19221,19135,19141,19246,19367,19359,19402,19527,19684,19619,19774,19865,19854,19889,20045,20175,20081,20162,20223,20328,20313,20286,20346,20346,20524,20617,20746,20820,20829,20895,21029,21089,21142,21269,21420,21527,21659,21882,21915,22015,22272,22336,22421,22544,22672,22752,22817,22978,23050,23205,23281,23464,23564,23681,23749,23895,24040,24247,24289,24327,24412,24522,24612,24629,24756,24831,24943,24983,25063,25113,25294,25328,25394,25412,25485,25491,25580,25664,25733,25828,25917,25983,26058,26041,26089,26013,25925,25924,25844,25828,25773,25723,25574,25525,25515,25394,25254,25178,25095,25012,24963,24858,24783,24690,24578,24434,24288,24178,24069,23936,23827,23688,23582,23495,23389,23269,23069,22902,22793,22698,22573,22457,22357,22230,22133,22008,21884,21784,
Day-ahead net forecast,Demand response event,Net demand,19551,19410,19352,19080,18892,18700,18599,18419,18262,18183,18096,17976,17934,17845,17731,17606,17485,17372,17307,17265,17197,17104,17050,16960,16850,16811,16776,16725,16680,16617,16584,16512,16469,16381,16332,16275,16231,16205,16227,16170,16199,16156,16138,16146,16116,16096,16066,16089,16109,16118,16177,16194,16183,16200,16179,16227,16240,16253,16253,16234,16290,16354,16500,16578,16631,16626,16663,16681,16669,16722,16763,16893,16937,16960,16968,16826,16688,16507,16314,16117,15918,15700,15570,15509,15130,14735,14361,14126,13861,13493,13121,12681,12310,12248,11874,11573,11332,11302,11176,10596,10207,9919,9577,9167,8637,8196,8099,7663,7423,7614,7619,7619,7619,7619,7581,7517,7514,7177,7117,6830,6414,6391,6291,5957,5802,5350,5178,5165,4846,4637,4394,4361,4792,4952,4826,4710,4295,4100,3953,4260,4502,4272,4226,4248,3966,3741,3550,3173,3181,3174,2984,2940,3143,3559,3543,3454,3506,3631,3572,3513,3497,3500,3508,3439,3460,3733,3873,3822,3756,3915,3818,3825,3980,3767,3673,3919,4046,3869,4225,4338,4769,4587,4585,4684,5043,5364,5527,5650,5719,5828,5934,6176,6292,6498,7015,7063,7206,7331,7561,7591,7715,8027,8118,8217,8436,8775,8972,9323,9762,9984,10354,10871,11276,11684,12079,12471,12946,13371,13943,14391,14910,15489,16024,16486,16992,17481,18000,18431,18851,19217,19605,19887,20140,20348,20421,20525,20648,20745,20814,20964,20998,21094,21180,21152,21083,21050,20953,20861,20804,20692,20631,20593,20490,20400,20377,20354,20289,20222,20154,20066,19988,19925,19826,19768,19713,19545,19366,19280,19182,19028,18877,18749,18580,18510,18409,18324,18228,18105,18092,18014,17935,17780,17620,17432,17255,17123,17000,16855,
