Net Demand 05/07/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,23410,23132,23132,23132,22937,22937,22937,22652,22652,22652,22356,22356,22356,22079,22079,22079,21917,21917,21917,21703,21703,21703,21485,21485,21485,21367,21367,21367,21286,21286,21286,21178,21178,21178,21140,21140,21140,21059,21059,21059,20992,20992,20992,21002,21002,21002,21081,21081,21081,21201,21201,21201,21229,21229,21229,21355,21355,21355,21659,21659,21659,21952,21952,21952,22276,22276,22276,22558,22558,22558,22902,22902,22902,23175,23175,23175,23421,23421,23421,23641,23641,23641,23950,23950,23950,24122,24122,24122,24179,24179,24179,24172,24172,24172,24243,24243,24243,24239,24239,24239,24026,24026,24026,23900,23900,23900,23755,23755,23755,23610,23610,23610,23344,23344,23344,23057,23057,23057,22896,22896,22896,22675,22675,22675,22337,22337,22337,22055,22055,22055,21749,21749,21749,21778,21778,21778,21625,21625,21625,21508,21508,21508,21397,21397,21397,21289,21289,21289,21292,21292,21292,21409,21409,21409,21615,21615,21615,21586,21586,21586,21570,21570,21570,21607,21607,21607,21808,21808,21808,22114,22114,22114,22208,22208,22208,22520,22520,22520,22765,22765,22765,23130,23130,23130,23025,23025,23025,23342,23342,23342,23235,23235,23235,23603,23603,23603,24029,24029,24029,24198,24198,24198,24597,24597,24597,24908,24908,24908,25420,25420,25420,25539,25539,25539,25817,25817,25817,26039,26039,26039,26165,26165,26165,26403,26403,26403,26586,26586,26586,26867,26867,26867,26957,26957,26957,27255,27255,27255,27549,27549,27549,27729,27729,27729,27599,27599,27599,27411,27411,27411,27198,27198,27198,26999,26999,26999,26736,26736,26736,26356,26356,26356,25958,25958,25958,25640,25640,25640,25263,25263,25263,24795,24795,24795,24354,24354,24354,24011,24011,24011,23678,23678,23678,23404,23404,23404,23134,23134,23134
Demand,23254,23314,23388,23245,23119,23034,22925,22916,22743,22650,22539,22473,22361,22345,22310,22198,22105,22063,21969,21864,21779,21696,21640,21590,21532,21535,21583,21525,21429,21422,21357,21319,21270,21235,21196,21139,21091,21102,21131,21092,21088,21075,21073,21070,20998,21026,21020,21020,21019,21014,21068,21120,21123,21175,21205,21262,21313,21347,21383,21452,21500,21672,21849,22031,22154,22217,22245,22352,22472,22541,22600,22647,22735,22950,23133,23201,23318,23348,23362,23471,23571,23604,23671,23724,23718,23880,24016,24087,24177,24206,24154,24202,24229,24266,24259,24223,24151,24154,24207,24207,24186,24162,24077,24028,23910,23887,23880,23796,23749,23705,23601,23527,23424,23338,23309,23202,23098,23036,22982,22928,22849,22670,22585,22548,22369,22276,22196,22102,22044,22069,22045,21983,21906,21842,21781,21735,21646,21650,21653,21570,21510,21496,21424,21388,21343,21332,21357,21395,21424,21430,21498,21551,21501,21497,21488,21475,21458,21401,21433,21528,21491,21529,21525,21545,21591,21748,21701,21964,21982,21996,21945,22203,22196,22174,22260,22360,22367,22489,22591,22579,22653,22686,22683,22651,22868,23049,22919,22877,22927,22958,23290,23190,23227,23467,23713,23614,23694,23732,23928,24073,24221,24387,24393,24483,24807,24961,24850,24901,25013,25115,25338,25388,25473,25588,25705,25823,25933,25862,25874,25984,26042,26167,26275,26345,26401,26528,26632,26760,26708,26780,26724,26781,26853,26947,26987,27032,27109,27201,27336,27417,27480,27523,27604,27634,27658,27659,27612,27586,27530,27462,27423,27349,27265,27181,27076,26999,26933,26843,26745,26666,26567,26478,26378,26246,26105,25960,25779,25652,25524,25391,25269,25146,25004,24891,24742,24608,24455,24328,24220,24094,23984,23921,23784,23653,23581,23430,23335,23167,
Day-ahead net forecast,Demand response event,Net demand,18870,18814,18893,18763,18590,18479,18349,18363,18264,18136,18015,17930,17769,17697,17630,17541,17397,17298,17233,17140,17034,17002,16931,16925,16864,16833,16924,16917,16823,16788,16782,16751,16723,16643,16545,16408,16344,16235,16213,16126,16009,15982,15939,15924,15895,15818,15741,15692,15697,15716,15787,15863,15907,15984,16018,16106,16150,16180,16225,16326,16443,16613,16896,17065,17235,17351,17426,17483,17622,17705,17741,17854,17905,18053,18216,18071,17913,17743,17485,17263,17027,16679,16329,15990,15580,15165,14878,14552,14120,13718,13292,12764,12272,11936,11689,11237,10872,10475,10087,9962,9800,9570,9483,9261,9210,9080,8978,8875,8699,8525,8299,8367,8177,7938,7800,7726,7585,7399,7343,7293,7304,7317,7247,7205,7117,6833,6709,6751,6853,6927,6944,6710,6722,6698,6620,6555,6653,6444,6482,6458,6597,6605,6513,6482,6331,5955,5742,5683,5640,5464,5352,5370,5385,5239,5119,5167,5206,5390,5283,5378,5345,5364,5331,5403,5599,5695,5833,5829,5875,5997,6082,6249,6230,6150,5929,6136,6176,6479,6808,6957,6970,7411,7925,7658,7411,7515,7466,7617,7667,7845,8099,8097,8395,8435,9040,8885,8949,8868,8891,8877,8831,8998,8987,9137,9494,10329,10930,11019,11356,11510,11639,11634,11731,11973,12414,12872,13464,13911,14286,14919,15589,16255,16962,17724,18305,18939,19546,20133,20634,21068,21401,21732,22086,22378,22606,22855,23084,23209,23386,23458,23473,23436,23455,23487,23513,23559,23552,23524,23450,23362,23330,23237,23175,23093,22936,22860,22809,22672,22500,22378,22211,22100,21986,21898,21810,21766,21618,21528,21438,21318,21217,21110,20979,20845,20713,20605,20485,20416,20458,20390,20236,20228,20131,20045,19929,19824,19662,19534,
