,reward,profit,carbon_cost,excess_charge,max_profit
110000,"[0.0, 1.8046260195154022, 1.7141574020955284, 1.124919672253979, 0.18892223689628132, 0.6961500923219305, 2.5871762606436626, 2.5483727445852415, 2.336140657650912, 2.6316204678052353, 2.823194165934073, 1.2132159354735472, 0.630783616388596, 0.0]","[0.0, 2.6726046850460468, 3.171572791906493, 2.328620581358029, 0.2886000000000005, 0.8999963305904276, 3.8876499681070587, 3.7103049450784495, 3.4001738902231002, 3.6353452282972016, 3.6659743077601012, 1.8010400046781359, 1.0575811482476491, 0.0]","[0.0, 0.8679786655306475, 1.4574153898109694, 1.2037009091040525, 0.09967776310371912, 0.20384623826849688, 1.300369707463401, 1.1619322004932098, 1.0640332325721908, 1.003724760491969, 0.8427454751593612, 0.58782406920459, 0.4267975318590527, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00010400000000000001, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
120000,"[0.0, 1.6968627551509046, 1.677357778517262, 1.1066108758908568, 0.180461337353697, 0.7235030837154107, 2.568532604810069, 2.4683208341092095, 2.267470230344762, 2.576715856931139, 3.0166998317845892, 1.2394007692837616, 0.6439670562826351, 0.0]","[0.0, 2.512773047619764, 3.111273660962089, 2.3137698021820268, 0.27612000000000037, 0.9377563427599303, 3.8626850468630667, 3.5816918309336905, 3.290255344825775, 3.557134666996641, 3.907035527650388, 1.8362125092430732, 1.0929207541063637, 0.0]","[0.0, 0.8159102924688613, 1.4339158824448284, 1.2071589262911724, 0.09565866264630335, 0.21425325904451967, 1.2941524420529997, 1.1133709968244807, 1.0227851144810145, 0.9804188100655039, 0.890301029199131, 0.5968117399593139, 0.4489536978237286, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
130000,"[0.0, 1.8274181446291626, 1.6745872456274435, 1.1569262255200374, 0.18119827751185882, 0.7279573791396167, 2.338518045538451, 2.6236635822016265, 2.2305600153892517, 2.529855098931478, 2.9541345590019525, 1.2205094485063688, 0.5929986817782634, 0.0]","[0.0, 2.7356127933850822, 3.1290632551236905, 2.380732887456659, 0.2808000000000004, 0.9535591243934913, 3.525388392461478, 3.781501022953085, 3.2334676241784917, 3.4819989771047526, 3.8277336041921433, 1.8116872675473745, 1.0094100812855598, 0.0]","[0.0, 0.9081946487559228, 1.4544760094962492, 1.2238066619366237, 0.09960172248814156, 0.22560174525387472, 1.1868530135896946, 1.1578374407514642, 1.0029076087892428, 0.9521438781732748, 0.873581711856858, 0.5911778190410075, 0.4164113995072964, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
140000,"[0.0, 1.8314813155848157, 1.6748720686986571, 1.1363473179137535, 0.24006817176540185, 0.6829300844118856, 2.4955479786854866, 2.5884598895861326, 2.2719255972604584, 2.578371760761122, 2.8813792838264582, 1.1960780399295212, 0.6685935586440046, 0.0]","[0.0, 2.7286646663412273, 3.173705141003673, 2.3862708922745504, 0.3749199999999998, 0.8913050283689523, 3.7814611628315977, 3.7567785416275448, 3.3073172838537976, 3.553682984606007, 3.7369389038663474, 1.7725953445693428, 1.1098589912295251, 0.0]","[0.0, 0.8971833507564136, 1.4988330723050163, 1.2499235743607984, 0.1348518282345979, 0.20837494395706685, 1.2858611841461116, 1.1683186520414124, 1.03539168659334, 0.9753112238448888, 0.8555422867065553, 0.576517304639823, 0.4412654325855207, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.2e-05, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
150000,"[0.0, 1.8965534900762155, 1.627361558627766, 1.1122313828935737, 0.16515330971767417, 0.7940391312478127, 2.4720215878596417, 2.511549617859776, 2.3207351061919463, 2.5995168359869116, 2.9593990401291914, 1.22028172943298, 0.6119653371104327, 0.0]","[0.0, 2.8199635088518575, 3.0665292151837478, 2.2890096402256934, 0.25792000000000004, 1.0423410446997938, 3.7433080548037623, 3.6479539027044208, 3.38537259563622, 3.5832868398944986, 3.8502814462357855, 1.8270779063477112, 1.0174583792554546, 0.0]","[0.0, 0.9234100187756441, 1.4391676565559843, 1.1767609239987895, 0.09276669028232579, 0.24830191345198122, 1.2712691336107884, 1.1364042848446443, 1.0646374894442776, 0.9837700039075891, 0.8908304061065943, 0.6067961769147335, 0.40549304214502185, 0.0]","[0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0, 5.2e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
160000,"[0.0, 0.901656624686905, 0.9778133547754869, 0.7910204886600167, 0.11061109221799577, 0.5510290614413368, 1.502888566555458, 1.977452046715557, 1.3976377847234454, 1.945030610205112, 1.7218995084505215, 0.8807558089696021, 0.3759128676019475, 0.0]","[0.0, 1.39799425868279, 1.880093255543856, 1.6732381005045571, 0.18875999999999993, 0.7170848076768298, 2.2989775407432664, 2.8657326928828417, 2.1355712145820256, 2.709308155327531, 2.2579639780550216, 1.308512846971274, 0.619192356835667, 0.0]","[0.0, 0.4963376339958867, 0.9022799007683705, 0.8822176118445418, 0.07814890778200413, 0.16605574623549296, 0.7960889741878097, 0.8882806461672855, 0.7379334298585809, 0.7642775451224215, 0.5360644696045036, 0.4277570380016728, 0.2432794892337193, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
170000,"[0.0, 1.8613672871919436, 1.7048979066050651, 1.1757751545840243, 0.16032124818118, 0.7122243104656638, 2.3188499216128267, 2.4102055532715485, 1.9310052229584764, 2.6146490105081366, 2.856784825760246, 1.2084963991399773, 0.4879791418059721, 0.0]","[0.0, 2.7547645972596744, 3.1484105905941697, 2.4652832070177695, 0.2464800000000007, 0.9217979646678176, 3.521228485083764, 3.5067143292667047, 2.8639871871968676, 3.6017631746296783, 3.7163922195451162, 1.7870625325934313, 0.7886623382758597, 0.0]","[0.0, 0.8933973100677326, 1.4435126839891057, 1.289508052433747, 0.08615875181882068, 0.20957365420215338, 1.2023785634709372, 1.0965087759951577, 0.932981964238391, 0.987114164121545, 0.8596073937848719, 0.5785661334534569, 0.3006831964698872, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
180000,"[0.0, 1.542198360524051, 1.5362220661896893, 1.0859420546451628, 0.13406814207780687, 0.7426845925907308, 2.0217312429020025, 2.601294760507395, 2.032512358223763, 2.302067453783923, 2.811745310285364, 1.0243595909556995, 0.5710454391812481, 0.0]","[0.0, 2.3167496096321507, 2.920700204098487, 2.263602373629263, 0.21736000000000044, 0.9808530604249419, 3.050304325133571, 3.775186949456168, 2.996226271290851, 3.156967843732189, 3.648644775457899, 1.4856990974146522, 0.9538589136937313, 0.0]","[0.0, 0.7745512491080998, 1.3844781379088038, 1.1776603189841044, 0.08329185792219351, 0.23816846783421092, 1.0285730822315708, 1.173892188948775, 0.9637139130670868, 0.8549003899482697, 0.8368994651725368, 0.4613395064589529, 0.3828134745124834, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
190000,"[0.0, 1.3634437461451119, 1.5441151160628728, 0.9145598219947877, 0.07501378252654223, 0.7047935555587331, 1.793654356049523, 2.338631051617037, 2.053232197321102, 2.3947503191166857, 2.755028125729845, 1.0260544274612122, 0.6498613960846201, 0.0]","[0.0, 2.065938430819573, 2.8542682923634186, 2.0215686096106618, 0.12116000000000038, 0.9305516037558452, 2.6924703536034422, 3.4063948440365976, 3.02803367371691, 3.2916335608786613, 3.572480730073382, 1.4656228084166836, 1.0770297846716081, 0.0]","[0.0, 0.7024946846744616, 1.3101531763005492, 1.1070087876158767, 0.046146217473458144, 0.2257580481971125, 0.8988159975539237, 1.0677637924195595, 0.9748014763958098, 0.8968832417619784, 0.8174526043435367, 0.43956838095547296, 0.4271683885869878, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
200000,"[0.0, 1.1688923118336747, 1.512182685808716, 0.818574394601956, 0.04572386791520918, 0.7644952998393886, 1.752974383487165, 2.526384053828456, 1.944738222159746, 2.2066129622831405, 2.6181941142011125, 1.033197928819908, 0.697891263192506, 0.0]","[0.0, 1.815761159863216, 2.7302787532867216, 1.8560932632691518, 0.07124000000000007, 1.0237989354605554, 2.6264816652092806, 3.651543187445439, 2.877927832739305, 3.0210072782682484, 3.391381682101953, 1.4840603918538635, 1.225469251021642, 0.0]","[0.0, 0.6468688480295427, 1.2180960674780092, 1.0375188686671968, 0.02551613208479089, 0.2593036356211671, 0.8734899483887846, 1.125159133616986, 0.933189610579561, 0.81439431598511, 0.773187567900842, 0.450862463033957, 0.5275779878291361, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
