time,task_id,duration,cpu
2238028752998,11688827750-699,2237942675832,0.070435
2419136852608,11688827750-702,2418361097816,0.070435
2389347616629,11688827750-703,2389059418549,0.070435
2623092286648,11688827750-706,2622475078448,0.070435
2277931413478,11688827750-707,2277615755960,0.070435
2476905972225,11688827750-709,2476717586007,0.070435
2285141699520,786858-186,2285022449805,0.002640
2411019846918,11688827750-713,2410652984864,0.070435
1523687206158,11688827750-715,1523666233257,0.070435
2507365322413,786858-184,2507358441472,0.001406
2415624625595,11688827750-716,2415556734538,0.070435
2489990767667,11688827750-687,2489756833854,0.070435
2613237158339,11688827750-717,2612976280199,0.070435
499898270618,11688827750-721,499898006314,0.070435
2415647311417,11688827750-723,2415519312023,0.070435
2548970073236,11688827750-724,2548945472182,0.070435
1960391268302,11688827750-725,1960381918733,0.070435
2420108808226,11688827750-726,2419697750870,0.070435
2439323811774,786858-181,2439302419674,0.001406
2049954812078,786858-179,2049383910610,0.005989
2418118569253,11688827750-727,2417774723516,0.070435
2661721901009,11688827750-728,2661096288503,0.070435
2331999360951,11688827750-729,2331631136116,0.070435
2300512901824,11688827750-731,2300357098314,0.070435
1372197645888,786858-177,1372177784435,0.022308
2410653312048,4422663195-838,2410553936715,0.029053
2044821888319,11688827750-733,2044266846146,0.070435
1626417475472,11688827750-719,1626417305262,0.070435
2342884477959,11688827750-685,2342883830020,0.070435
2516032351734,6779010793-8,2515946503551,0.000264
2496118531725,11688827750-683,2496044484005,0.070435
2418971447234,786925-108,2418518106549,0.027222
2335896218176,11688827750-633,2335461559545,0.070435
2674845570110,11688827750-635,2674843379865,0.070435
1610057134786,11688827750-639,1610039264759,0.070435
2147578179114,11688827750-641,2147481753940,0.070435
2571506293874,11688827750-643,2571481578040,0.070435
1277313019310,11688827750-644,1277090414333,0.070435
2041396600181,6779010819-1,2038605687759,0.009247
2127400602976,11688827750-646,2127275636475,0.070435
2585311190232,11688827750-647,2585128193511,0.070435
2136877909288,11688827750-649,2136268764821,0.070435
2241272121459,11688827750-650,2241135989112,0.070435
2384885817692,786925-107,2384588021819,0.017517
2575996721892,11688827750-652,2575801260071,0.070435
2485786691309,11688827750-655,2485766229409,0.070435
2325048611744,11688827750-657,2324938323183,0.070435
2309258096187,11688827750-658,2308847249658,0.070435
771175646738,11688827750-681,771175378613,0.070435
867376922978,11688827750-680,867232500154,0.070435
2303912810035,786858-188,2303562902294,0.000000
2411219177802,786858-198,2411039391289,0.070435
2642166754001,11688827750-676,2641596471804,0.070435
1031012286683,11688827750-675,1031011732657,0.070435
1636604541142,786858-174,1636303145108,0.001406
2410464628334,11688827750-674,2410100516317,0.070435
844240947783,11688827750-666,844148911818,0.070435
2611074937071,11688827750-663,2610775691213,0.070435
2391449232256,11688827750-662,2391255781352,0.070435
2421355551710,11688827750-660,2421262680005,0.070435
2384823129040,786925-101,2384259357561,0.008102
2384809434604,786925-102,2384442435953,0.002377
2306551726192,11688827750-671,2306421980540,0.070435
2410714037250,4422663195-839,2410363089916,0.029053
2520183604835,11688827750-740,2519968475797,0.070435
2314935392367,11688827750-742,2314787332640,0.070435
2538286420392,6745403741-0,2534726563231,0.000220
1783764314900,786858-159,1783681749819,0.142578
2423563151341,11688827750-784,2423209570644,0.070435
1855952617359,6718711987-9,1855646144740,0.035217
2298213474848,6718711987-8,2297546322923,0.035217
2062895983850,786858-158,2062288908064,0.065308
2415661311697,11688827750-792,2415595592423,0.070435
2232846105041,11688827750-793,2232582826019,0.070435
2391052200409,786858-157,2390724068930,0.001406
2397109064797,6718711987-7,2396560249786,0.035217
1856082133752,6718711987-6,1855665074625,0.035217
844930583501,786858-156,844865498327,0.007042
2312913957442,6718711987-5,2312858285078,0.035217
2627442845630,11688827750-795,2627395556839,0.070435
1326186014461,11688827750-796,1326118695208,0.070435
1447337062445,11688827750-797,1447151549973,0.070435
1855937850466,6718711987-3,1855554956175,0.035217
1022645493576,11688827750-828,1022580380503,0.070435
2615334354334,11688827750-826,2615150985550,0.070435
2334945215239,11688827750-825,2334918845372,0.070435
2427757040575,11688827750-822,2427749733522,0.070435
2469544980129,11688827750-819,2469312070924,0.070435
2636749477593,11688827750-818,2636406100555,0.070435
2557056110530,11688827750-783,2556921340481,0.070435
1464269014834,11688827750-816,1464041344000,0.070435
2411059838967,786858-154,2410747976655,0.001406
2456068921149,11688827750-814,2455941045327,0.070435
2060145027833,6718711987-0,2060115194523,0.035217
2238027218795,11688827750-810,2237942760828,0.070435
2492881925293,11688827750-805,2492880104436,0.070435
2615720911376,11688827750-802,2615379082437,0.070435
2035557807339,11688827750-815,2035348523739,0.070435
0,12176267134-112,0,0.000000
2595639843116,6745403741-1,2564389197536,0.000220
2487509757018,4422663195-840,2486713716765,0.029053
2491597081199,11688827750-744,2491596220119,0.070435
2485145145472,11688827750-746,2484824833581,0.070435
2227771595839,11688827750-748,2227147719751,0.070435
767536059373,11688827750-749,767238372378,0.070435
1863284497157,11688827750-750,1863184195987,0.070435
2482447129108,11688827750-753,2482240659900,0.070435
2164230453258,11688827750-755,2163930366394,0.070435
1076311265656,11688827750-758,1076310967984,0.070435
1636545542064,786858-173,1636481812580,0.001406
787445438647,11688827750-762,787435419137,0.070435
1971245090123,11688827750-764,1971214075189,0.070435
2209553316723,11688827750-765,2209525140335,0.070435
2411027689636,786858-165,2410731485527,0.001406
2245524315352,11688827750-768,2245511577674,0.070435
2537649423469,6779010793-1,2537638159004,0.000264
2246115992290,11688827750-769,2246093471868,0.070435
2347612143644,786858-164,2347291115222,nan
325683195017,11688827750-781,325610656979,0.070435
500622358105,11688827750-780,500560001838,0.070435
2312746574701,11688827750-779,2312102813285,0.070435
765529191738,786858-160,765507429313,0.001406
835271982862,11688827750-778,835264650857,0.070435
1554267015599,786858-162,1554247013408,0.001406
2532023352448,11688827750-782,2531511179565,0.070435
2515541758474,6779010793-0,2514961110891,0.000264
2057555217864,11688827750-776,2057254330719,0.070435
2590253057692,11688827750-775,2589916520053,0.070435
2482288379793,11688827750-773,2463300363197,0.070435
2500377286741,11688827750-772,2500070318317,0.070435
1945104783589,11688827750-771,1945029974271,0.070435
2420987552101,11688827750-770,2420778973014,0.070435
2408794483274,11688827750-777,2408427037529,0.070435
2594696894350,11688827750-632,2594642626040,0.070435
0,12176267134-115,0,0.000000
0,12176267134-117,0,0.000000
1720789677527,12176267682-224,1720010406101,0.000000
1715955466750,12176267682-225,1715083905079,0.000000
1720506164999,12176267682-226,1719713341478,0.000000
1715652486933,12176267682-227,1714704811347,0.000000
1720503124453,12176267682-229,1719742597192,0.000000
1720505048713,12176267682-232,1719509179551,0.000000
2538803000423,201428-621,2538733634257,0.008194
2657180251127,12176267682-233,2655597250200,0.000000
1729859104200,12176267682-234,1728732648467,0.000000
1741587899421,12176267682-236,1740591776113,0.000000
1720766757072,12176267682-237,1719938023048,0.000000
2415719914797,6466784353-6,2361966232596,0.011444
2138087733977,1632087718-1001,2137736936493,0.105713
2348324012173,1632087718-1002,2348008322499,0.105713
2415744229239,6466784353-7,2413017904748,0.011444
1864020566852,1632087718-1005,1863981762071,0.105713
2134143784818,1632087718-1006,2133616085692,0.105713
1868068036709,1632087718-1007,1867393448611,0.105713
1866376565335,1632087718-1008,1865998398757,0.105713
2595634141836,1632087718-1011,2595222428242,0.105713
1865133404321,1632087718-1012,1865078773679,0.105713
2386018558118,1632087718-1016,2385742240520,0.105713
2577422020796,1632087718-1017,2576258922599,0.105713
2311696168128,1632087718-1018,2311424260527,0.105713
1852783703143,1632087718-1021,1852667567061,0.105713
2356117638409,1632087718-1024,2356066381605,0.105713
2246668949093,1632087718-1026,2246355765450,0.105713
1981130999005,1632087718-1027,1980810788725,0.105713
1866946675095,1632087718-1003,1866881977713,0.105713
1715932300342,12176267682-222,1715143194388,0.000000
1720856145949,12176267682-219,1719914123722,0.000000
1741587440129,12176267682-217,1740822525258,0.000000
1720953891951,12176267682-169,1720152116875,0.000000
2574039840160,6466784353-9,2560194734216,0.011444
1750140664800,12176267682-171,1749054790870,0.000000
1721275164376,12176267682-174,1720289720352,0.000000
1741416758478,12176267682-176,1740612961630,0.000000
1716359986101,12176267682-179,1715563202724,0.000000
1716459669302,12176267682-182,1715670097158,0.000000
1720704220852,12176267682-183,1719889629267,0.000000
1716118569945,12176267682-190,1715305197353,0.000000
2656876406487,12176267682-191,2655479086065,0.000000
1716106038133,12176267682-192,1715313845480,0.000000
1720934046675,12176267682-193,1719921943768,0.000000
1716204270634,12176267682-195,1715414118051,0.000000
1715860803428,12176267682-196,1715058234698,0.000000
1716214292597,12176267682-198,1715404704691,0.000000
1715772553394,12176267682-199,1715005449716,0.000000
1741624026138,12176267682-200,1740816278352,0.000000
1720786516436,12176267682-216,1719976542010,0.000000
1992925353215,12176267682-215,1992147886837,0.000000
1720760561610,12176267682-213,1719631850972,0.000000
1741756167459,12176267682-212,1740908920462,0.000000
2677418040253,12176267682-211,2676145098273,0.000000
1720927980716,12176267682-210,1719764616796,0.000000
2211454649317,1632087718-1028,2211038480145,0.105713
2346280155250,12176267682-209,2344867192053,0.000000
1720600252207,12176267682-207,1719787763905,0.000000
1720506164994,12176267682-206,1719694706563,0.000000
1741701526596,12176267682-205,1740913256941,0.000000
1716278557697,12176267682-203,1715259591384,0.000000
2504056888781,12176267682-202,2502251050652,0.000000
1720867785409,12176267682-201,1719907631712,0.000000
1886605696612,12176267682-208,1885794200343,0.000000
1721309514994,12176267682-168,1720214312210,0.000000
2128546202820,1632087718-1029,2128177146436,0.105713
2415511418279,6466784353-4,2370736883483,0.011444
1849893972621,201428-614,1849553980930,0.005020
2328625074153,1632087718-1094,2328521394049,0.105713
1863580385099,1632087718-1096,1863495848575,0.105713
2192349122670,201428-609,2192310420249,0.018036
1856366146889,1632087718-1098,1856206119034,0.105713
2415511418276,6466784353-0,2397618571818,0.011444
2452453454158,1632087718-1100,2452425332303,0.105713
1971159971100,1632087718-1102,1970395839506,0.105713
2386510483964,1632087718-1104,2386422410602,0.105713
2044821637446,1632087718-1105,2044391287275,0.105713
2343332075253,1632087718-1107,2342751489975,0.105713
1866892534174,1632087718-1108,1866882123930,0.105713
2499707305545,201428-608,2499328763057,0.004135
2400488679570,1632087718-1111,2399854270760,0.105713
2305004097936,1632087718-1092,2304651426641,0.105713
2223915945182,201428-607,2223655776426,0.003960
2491792466746,201428-605,2491696025192,0.006165
1848123499986,201428-604,1847912906589,0.002201
2408225668065,1632087718-1116,2408066980279,0.105713
2049834285264,1632087718-1120,2049579390054,0.105713
2505740810479,1632087718-1121,2505349304299,0.105713
2338547620144,201428-603,2337865100562,0.004051
1866917353586,1632087718-1127,1866401210514,0.105713
2379241562276,6466780321-6,2224398490889,0.011444
1852850597686,1632087718-1129,1837099884415,0.105713
2385840724432,1632087718-1132,2385686261791,0.105713
2379199137790,6466780321-5,2374211209250,0.011444
1860141899016,1632087718-1112,1859452189823,0.105713
2052494779094,1632087718-1091,2052000981117,0.105713
2161183337334,1632087718-1089,2161038854634,0.105713
2248812850776,1632087718-1088,2248512317027,0.105713
1852766321974,1632087718-1031,1852689642401,0.105713
2393229392904,1632087718-1032,2392194576776,0.105713
1959423604560,201428-620,1959036589536,0.006607
1855475037195,1632087718-1038,1855118462151,0.105713
2332766993583,1632087718-1039,2332456569701,0.105713
1858420701124,1632087718-1041,1858104540943,0.105713
2058000863568,1632087718-1043,2057571590539,0.105713
2666222163729,1632087718-1047,2665255870365,0.105713
1968458547872,1632087718-1049,1967599327855,0.105713
2255755207215,1632087718-1051,2255411955098,0.105713
2610293104894,201428-619,2610159438462,0.017273
2323287393604,1632087718-1055,2323020899714,0.105713
2410969725395,4422663195-849,2410351221546,0.029053
2053418810564,1632087718-1056,2052794430146,0.105713
2417692030619,1632087718-1083,2417311744959,0.105713
2503447562986,1632087718-1081,2503029141032,0.105713
2397078390524,1632087718-1079,2396861013460,0.105713
2575995946026,1632087718-1076,2575931279274,0.105713
1866682391541,1632087718-1074,1866346434679,0.105713
1857179946317,1632087718-1073,1857121873919,0.105713
2033327840780,1632087718-1030,2032974916936,0.105713
2630920024526,1632087718-1070,2630539013994,0.105713
2590097951955,1632087718-1066,2589185415038,0.105713
1867086376187,1632087718-1064,1866462515805,0.105713
1852788379097,1632087718-1063,1852787727473,0.105713
1864832874113,1632087718-1059,1864391284096,0.105713
2415510378281,6466784353-2,2405502778731,0.011444
1852769342801,1632087718-1057,1852531315850,0.105713
1847964585048,201428-617,1847622623676,0.002377
1716381378230,12176267682-167,1715584166537,0.000000
1876814056322,12176267682-166,1876025590633,0.000000
2378876901982,6466784366-0,2375271484900,0.002640
2446723638161,4422663195-848,2446074930368,0.029053
0,12176267134-176,0,0.000000
2648178980440,6548249910-7,2503542093478,0.064819
0,12176267134-177,0,0.000000
0,12176267134-178,0,0.000000
0,12176267134-179,0,0.000000
2499159561025,4902196-16,2498867293349,0.016205
0,12176267134-180,0,0.000000
0,12176267134-181,0,0.000000
0,12176267134-182,0,0.000000
0,12176267134-186,0,0.000000
2648178979402,6548249910-5,2607330714928,0.064819
0,12176267134-189,0,0.000000
2342258725505,786858-101,2341695433882,0.001406
0,12176267134-191,0,0.000000
0,12176267134-193,0,0.000000
0,12176267134-194,0,0.000000
0,12176267134-197,0,0.000000
0,12176267134-199,0,0.000000
0,12176267134-201,0,0.000000
0,12176267134-203,0,0.000000
0,12176267134-204,0,0.000000
0,12176267134-205,0,0.000000
0,12176267134-207,0,0.000000
0,12176267134-208,0,0.000000
0,12176267134-209,0,0.000000
0,12176267134-210,0,0.000000
0,12176267134-212,0,0.000000
0,12176267134-213,0,0.000000
0,12176267134-192,0,0.000000
0,12176267134-175,0,0.000000
0,12176267134-169,0,0.000000
2648178979342,6548249910-8,2610924079963,0.064819
0,12176267134-118,0,0.000000
0,12176267134-119,0,0.000000
