,reward,profit,carbon_cost,excess_charge,max_profit
10000,"[0.0, 1.7189366811345765, 1.7022388300370048, 1.1587601872869986, 0.19805324184973064, 0.7245771915404489, 2.5731498622670825, 2.62982691491161, 2.1493377102258187, 2.689537723560455, 3.068707760691308, 1.2484796677094483, 0.6298772405453955, 0.0]","[0.0, 2.5647174185192343, 3.240011075632499, 2.4124571504050287, 0.31199999999999994, 0.9467837248159209, 3.863893361716819, 3.803679729600701, 3.1092726086871774, 3.7204463906391694, 3.9716029015901135, 1.8512202866993572, 1.047013589523139, 0.0]","[0.0, 0.8457807373846592, 1.5377722455954983, 1.2536969631180324, 0.11394675815026928, 0.2222065332754716, 1.2907261661164076, 1.1738528146890888, 0.9599348984613615, 1.0309086670787162, 0.9028778075654733, 0.6027406189899109, 0.41713634897774327, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.733333333333358e-05, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
20000,"[0.0, 1.8204471519922543, 1.6473876615350862, 1.083706006878443, 0.2072728896808743, 0.7255600009292451, 2.4718360537074693, 2.5525733704109266, 2.2405710141368016, 2.6242957157076012, 3.029675968002479, 1.272952403807695, 0.6082573481142659, 0.0]","[0.0, 2.712983442916668, 3.157326853815103, 2.2614161281128577, 0.32603999999999933, 0.9387637274323747, 3.7394329870656087, 3.702992688904891, 3.2475802673068173, 3.632846085365057, 3.9436147769672347, 1.8997694412895199, 0.9875536912230704, 0.0]","[0.0, 0.892536290924415, 1.50993919228002, 1.1777101212344177, 0.11876711031912499, 0.21320372650312958, 1.267596933358143, 1.1504193184939664, 1.0070092531700172, 1.008550369657458, 0.9138868089647547, 0.6268170374818258, 0.3792963431088043, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.2e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
30000,"[0.0, 1.8206810339588533, 1.6877265505046146, 1.1624465755963673, 0.1829445907512421, 0.7155720460506649, 2.5950451777306776, 2.556606496722436, 2.2067303154683318, 2.748031057406754, 3.04154905877372, 1.2223088986589747, 0.5307428518440507, 0.0]","[0.0, 2.698467540621162, 3.1549818523396738, 2.4076202627443997, 0.2849599999999993, 0.9336361692526647, 3.9004421117597072, 3.716797335770624, 3.239608286281342, 3.8139469137014546, 3.9358365277077794, 1.815413567440677, 0.897794569782216, 0.0]","[0.0, 0.8777865066623102, 1.467255301835061, 1.2451736871480346, 0.10201540924875721, 0.21806412320199975, 1.3053969340290337, 1.16019083904819, 1.0328779708130125, 1.0659158562947044, 0.8942874689340601, 0.5931046687817036, 0.36705171793816505, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
40000,"[0.0, 1.743962022980991, 1.608870410905557, 1.1736486733436968, 0.23898107331600293, 0.7587180800767359, 2.4426516939951766, 2.5742062494539186, 2.1374522750438367, 2.7723197187439994, 2.9889123367567616, 1.312816299504867, 0.6045191840245449, 0.0]","[0.0, 2.6029632850081965, 3.019013333192596, 2.4174219470033753, 0.36868000000000023, 0.9948331831371484, 3.6787639575175946, 3.715697969602861, 3.093298727853833, 3.8425760756054075, 3.8741881148020334, 1.9085425610352593, 1.0273923568356667, 0.0]","[0.0, 0.8590012620272058, 1.4101429222870405, 1.2437732736596827, 0.1296989266839973, 0.2361151030604124, 1.2361122635224184, 1.1414917201489427, 0.9558464528099991, 1.0702563568614092, 0.8852411113786052, 0.595726261530394, 0.4228731728111213, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
50000,"[0.0, 1.752288808869674, 1.6428796614004866, 1.1460427359059215, 0.19343975397317156, 0.7882989159865653, 2.480737373461284, 2.621231763926944, 2.2833224718158722, 2.7856008666403853, 2.9624139866631425, 1.191153303349888, 0.6249531389816506, 0.0]","[0.0, 2.6342401263144217, 3.147760409237512, 2.38288018562961, 0.3094000000000002, 1.0338581154326092, 3.7212412466741314, 3.778640069514329, 3.3179141152133997, 3.845932627858513, 3.842876766516341, 1.781043093632803, 1.039549555201978, 0.0]","[0.0, 0.8819513174447507, 1.5048807478370265, 1.23683744972369, 0.1159602460268286, 0.24555919944604357, 1.2404865398795137, 1.1574083055873876, 1.034591643397527, 1.0603317612181307, 0.8804627798531979, 0.5898897902829164, 0.41459641622032717, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
60000,"[0.0, 1.6434546128811793, 1.6801886970856856, 1.1652925587408145, 0.1693456346667374, 0.756103705471482, 2.501123373848076, 2.5597139962090467, 2.146545370847779, 2.6929801352475993, 2.8946728512003754, 1.1866771114662713, 0.5804182965802379, 0.0]","[0.0, 2.4830172505585275, 3.1698022566708173, 2.4270104324728354, 0.26156000000000024, 0.9874908785596435, 3.753014842513352, 3.7125972518512764, 3.123417313326527, 3.7281009632170807, 3.7565166855363614, 1.7664480678688756, 0.9503999048193529, 0.0]","[0.0, 0.8395626376773481, 1.4896135595851334, 1.261717873732024, 0.09221436533326281, 0.23138717308816145, 1.251891468665278, 1.1528832556422322, 0.9768719424787473, 1.0351208279694837, 0.8618265010026499, 0.5797709564026053, 0.36998160823911486, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.4632148173016805e-19, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
70000,"[0.0, 1.768170256083449, 1.6971410392875335, 1.1567497300771976, 0.12820119610948233, 0.7241258032825914, 2.497322425191544, 2.49884700904331, 2.231770811249766, 2.770147457436115, 2.989128862615928, 1.271540985123854, 0.6421499206029004, 0.0]","[0.0, 2.634664478083346, 3.2336882771201547, 2.3980742723331754, 0.19707999999999948, 0.9422797313178671, 3.76301556296519, 3.6089723995679233, 3.2600282222352654, 3.8452714847416885, 3.8885344065971323, 1.893943298472752, 1.0863663767297367, 0.0]","[0.0, 0.8664942219998987, 1.536547237832623, 1.2413245422559793, 0.0688788038905171, 0.2181539280352755, 1.2656758044403142, 1.1101253905246133, 1.0282574109855038, 1.0751240273055784, 0.899405543981206, 0.6224023133488993, 0.4442164561268363, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
80000,"[0.0, 1.869734686811264, 1.6980440136236314, 1.0985817516654552, 0.22310468221766394, 0.7876839601623589, 2.616921855869508, 2.6519971667766202, 2.1978531470295386, 2.6340427568943046, 2.9528024399674915, 1.2186758643876376, 0.6017011597530768, 0.0]","[0.0, 2.7892459938298817, 3.1714599461502506, 2.3019388030165775, 0.3452799999999998, 1.0271220619501762, 3.9461034392878083, 3.860718171118794, 3.2239898746207687, 3.6501998603349, 3.8272859736650884, 1.8028696850216295, 1.0375828635450812, 0.0]","[0.0, 0.9195113070186193, 1.4734159325266238, 1.2033570513511247, 0.12217531778233584, 0.23943810178781744, 1.329146916751636, 1.2087210043421797, 1.0261367275912332, 1.0161571034405985, 0.8744835336975981, 0.584193820633993, 0.43588170379200425, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
90000,"[0.0, 1.8058908587476419, 1.6884150036306897, 1.1786394475584818, 0.17499846341735087, 0.797566420224493, 2.582418585846247, 2.609377156639815, 2.2153668592515556, 2.6802917148242726, 3.018522388402838, 1.2822234757960944, 0.6360933482880337, 0.0]","[0.0, 2.695762953997065, 3.138332556622603, 2.443028429068501, 0.2693599999999997, 1.0468599863288175, 3.898534276091633, 3.757564755476119, 3.2062435718481104, 3.6972090774993354, 3.911898969632064, 1.9216712242112335, 1.0886320938464003, 0.0]","[0.0, 0.8898720952494268, 1.4499175529919144, 1.2643889815100227, 0.09436153658264881, 0.24929356610432482, 1.3161156902453877, 1.1481875988363084, 0.9908767125965579, 1.0169173626750634, 0.8933592478958946, 0.6394477484151406, 0.4525387455583666, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.4632148173016805e-19, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
100000,"[0.0, 1.8538848825212426, 1.6317697634464652, 1.1394657400231127, 0.20321982637237676, 0.7867834945622124, 2.5385549403665633, 2.5627789967545698, 2.2032065215460244, 2.6358302932068804, 2.961893518310239, 1.3750681094518413, 0.6000556576489784, 0.0]","[0.0, 2.766427673868635, 3.0751023796767054, 2.375602537712454, 0.3166800000000006, 1.035294738772983, 3.814567315936031, 3.7091704815598283, 3.2075153714342775, 3.63525893354553, 3.8430133323595714, 2.0528828306435334, 1.0048769673688742, 0.0]","[0.0, 0.9125427913473937, 1.4433326162302436, 1.2361367976893443, 0.11346017362762384, 0.248511244210771, 1.276012375569469, 1.1463914848052594, 1.0043088498882544, 0.9994286403386535, 0.881119814049336, 0.6778147211916942, 0.4048213097198956, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
