,reward,profit,carbon_cost,excess_charge,max_profit
10000,"[0.0, 1.7753729151106894, 1.7301601340936492, 1.1686818918505624, 0.17058908736766235, 0.7171655412189559, 2.54258762512019, 2.611685635368852, 2.2876749399863483, 2.850033517699445, 3.1521861133805955, 1.3296748762114314, 0.6438196470902706, 0.0]","[0.0, 2.67500203873538, 3.2579203074696035, 2.4396200870354523, 0.2672800000000011, 0.9287281990421117, 3.846610019275679, 3.7916342323437475, 3.345702494289273, 3.931462416702224, 4.072886358236495, 1.9823416138428045, 1.0924131987520913, 0.0]","[0.0, 0.8996291236246892, 1.527760173375954, 1.2709381951848921, 0.09669091263233871, 0.21156265782315584, 1.304022394155489, 1.179948596974897, 1.0580275543029232, 1.0814288990027798, 0.920665578189233, 0.6526667376313757, 0.44859355166182097, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
20000,"[0.0, 1.8747320304718416, 1.6328097849449372, 1.1481305645319515, 0.19964350105633968, 0.7600338774444645, 2.610351623591436, 2.5949918735847053, 2.326750132609538, 2.779101362918795, 3.1295223541624506, 1.2547104360350838, 0.6434861511555003, 0.0]","[0.0, 2.797155498679861, 3.002391820999054, 2.3940760273474493, 0.3036799999999994, 0.9998366841930141, 3.9348902074643766, 3.768841084879446, 3.3624850905825148, 3.8503396953585276, 4.047596769412132, 1.8738020047019561, 1.0910997072467103, 0.0]","[0.0, 0.9224234682080195, 1.3695820360541178, 1.2459454628155, 0.10403649894365967, 0.23980280674854942, 1.3245039172062754, 1.1738492112947405, 1.0357349579729755, 1.0712383324397334, 0.9180744152496797, 0.6190915686668725, 0.44761355609120995, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
30000,"[0.0, 1.9076851172947424, 1.6385979893525, 1.2210322310926696, 0.19930794469226798, 0.8025751764872425, 2.65230158915317, 2.6865665019961917, 2.3066991163360195, 2.6521055992488325, 3.0754179144264926, 1.2962696353530998, 0.6602605150252164, 0.0]","[0.0, 2.8480922594910156, 3.1380920132845693, 2.4950999117307657, 0.3135600000000005, 1.0532269338785434, 3.9782246610256036, 3.885358589239722, 3.3275525432136117, 3.654408400303631, 3.994137095508076, 1.954946972568456, 1.1138704828308121, 0.0]","[0.0, 0.9404071421962715, 1.4994940239320718, 1.2740676806380966, 0.11425205530773248, 0.25065175739130047, 1.3259057385391018, 1.1987920872435278, 1.0208534268775924, 1.0023028010548, 0.9186671810815852, 0.6586773372153567, 0.45360996780559537, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0, 5.2e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
40000,"[0.0, 1.8719574788095308, 1.6672269165244022, 1.2194032692305519, 0.2005571107614886, 0.7102842005873715, 2.63644396003135, 2.6515318996311783, 2.2051637464783806, 2.7481008791954213, 3.132683839681062, 1.363868066697682, 0.6780624187418655, 0.0]","[0.0, 2.7856751543843012, 3.217576887570877, 2.469633202914742, 0.3234400000000006, 0.9183248076768302, 3.957548148319047, 3.831309114048743, 3.211140342949708, 3.8066855016618155, 4.0661340810808575, 2.026420306718078, 1.1527873728395024, 0.0]","[0.0, 0.9137176755747715, 1.5503499710464734, 1.2502299336841922, 0.12288288923851196, 0.2080406070894585, 1.3210695216210289, 1.1797772144175662, 1.0059765964713276, 1.058584622466395, 0.933415574733133, 0.6625522400203983, 0.4747249540976369, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.466666666666691e-05, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
50000,"[0.0, 1.801449160206422, 1.6814147571023572, 1.2108563486234638, 0.19516188215340266, 0.7752147216324563, 2.6195779021111214, 2.5072539405524803, 2.2312016178203673, 2.6485462371521495, 3.049048734244296, 1.1880087707901372, 0.6561266831460771, 0.0]","[0.0, 2.677041705268465, 3.164497495642003, 2.4724601604435392, 0.3062800000000001, 1.0091064873486062, 3.939593054402518, 3.639428316356044, 3.2550765491153975, 3.6458733258254172, 3.9544939095836456, 1.7456342576853492, 1.1034429439170186, 0.0]","[0.0, 0.8755925450620449, 1.4830827385396432, 1.2616038118200783, 0.1111181178465974, 0.2338917657161496, 1.319997818958064, 1.1321743758035638, 1.023874931295029, 0.9973270886732667, 0.9054278420060171, 0.5576254868952126, 0.44731626077094117, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
60000,"[0.0, 1.7963537476577653, 1.6897769648768397, 1.122359015217943, 0.18424785778090205, 0.8315945155543347, 2.5516379662438116, 2.7239590885924696, 2.3338954770680167, 2.7252182398042284, 3.126684319519712, 1.2331760357470125, 0.6099934737582556, 0.0]","[0.0, 2.661325405239274, 3.24347484455158, 2.3267057294115903, 0.294320000000001, 1.091804721376735, 3.8379694898374197, 3.9369224151296907, 3.4135868344683526, 3.774869339882253, 4.0570121588779475, 1.8528218338157063, 1.052262400898932, 0.0]","[0.0, 0.8649716575815072, 1.5536978796747432, 1.2043467141936495, 0.11007214221909893, 0.2602102058224012, 1.286262190260278, 1.2129633265372222, 1.0796913574003342, 1.0496511000780226, 0.9303105060249023, 0.6196457980686934, 0.44226892714067634, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.933333333333357e-05, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
70000,"[0.0, 2.052842653915979, 1.6377549343945208, 1.1707634940084595, 0.1867593783714579, 0.7657498907445243, 2.660285554632187, 2.7742739177008584, 2.3612115062938783, 2.695403772523954, 2.9979439830088426, 1.2790250809663533, 0.6268008586019744, 0.0]","[0.0, 3.063183143058046, 3.1006137915869387, 2.456529691396511, 0.29796000000000056, 0.988181902726496, 4.007873276836164, 4.020728214741646, 3.4738999949193206, 3.727052804437451, 3.875667725775486, 1.9070894555949183, 1.0909391045623162, 0.0]","[0.0, 1.010340489142065, 1.4628588571924221, 1.285766197388054, 0.11120062162854268, 0.22243201198197152, 1.347570388870644, 1.24645429704079, 1.1126884886254422, 1.0316490319134966, 0.8777064094333106, 0.6280643746285659, 0.4641382459603421, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
80000,"[0.0, 1.9367986120069027, 1.673215568018939, 1.1407576616318136, 0.1532482562835287, 0.7969610562348569, 2.677011218265056, 2.770717650387562, 2.211044076932147, 2.7560582332140173, 2.9541355100243045, 1.253128976655833, 0.630868949062342, 0.0]","[0.0, 2.8784769605184186, 3.1054826019093493, 2.387466253703799, 0.23868000000000023, 1.0364259315935596, 4.030340504191106, 3.986340937194239, 3.222846651255033, 3.804246387121298, 3.8426696241745746, 1.8664775628539587, 1.0601601464442565, 0.0]","[0.0, 0.9416783485115177, 1.4322670338904102, 1.2467085920719874, 0.08543174371647155, 0.23946487535870256, 1.3532946192593858, 1.2156232868066776, 1.011802574322887, 1.0481881539072793, 0.8884994474836037, 0.6133485861981267, 0.4292911973819144, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.466666666666691e-05, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
90000,"[0.0, 1.8674774809540504, 1.773990677042729, 1.193916097740099, 0.14875070725648398, 0.7583970084080984, 2.5039702642930184, 2.71242685499486, 2.423440426649869, 2.684270928907927, 3.0261605107882903, 1.192100814212818, 0.6267342638840748, 0.0]","[0.0, 2.773484517725681, 3.2796057906166807, 2.510195072484038, 0.23504000000000036, 0.9965780473216497, 3.762358615294985, 3.9568906323445994, 3.5322021922306535, 3.7058188724692243, 3.9285545624281926, 1.7736428306435383, 1.0785657778320923, 0.0]","[0.0, 0.9060070367716307, 1.5056151135739522, 1.316278974743942, 0.08628929274351635, 0.23818103891355127, 1.2583536843352996, 1.2444637773497427, 1.1087617655807853, 1.0215479435612977, 0.9023940516399014, 0.5815420164307216, 0.4518315139480174, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
100000,"[0.0, 1.9033727975904715, 1.600973933036876, 1.201915733794114, 0.147877598862295, 0.7345650791165823, 2.6229739894548407, 2.630591258500849, 2.2194325364947898, 2.8968529171799253, 3.036879649359079, 1.192303950876823, 0.6097301878271948, 0.0]","[0.0, 2.839411576394994, 3.0365284660865006, 2.4582955573312626, 0.22775999999999996, 0.9510864488523535, 3.9576289162811187, 3.8388391354826257, 3.220654842147907, 4.014761493577953, 3.931817829329043, 1.7804784181511366, 1.0117923568356693, 0.0]","[0.0, 0.9360387788045234, 1.435554533049627, 1.2563798235371497, 0.07988240113770496, 0.21652136973577105, 1.3345682601596132, 1.2082478769817784, 1.00122230565312, 1.117908576398028, 0.894903513303299, 0.5881744672743155, 0.40206216900847425, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.666666666666691e-05, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
