,reward,profit,carbon_cost,excess_charge,max_profit
10000,"[0.0, 1.8745332297625759, 1.7304623836258075, 1.2276578541479093, 0.21370885049547161, 0.7338864722226692, 2.473011569415911, 2.610237042419533, 2.1120246542399936, 2.6101633334018723, 3.0451818785279947, 1.25954541610199, 0.6363512611107681, 0.0]","[0.0, 2.7972223955901043, 3.250756968769415, 2.5737415040405667, 0.32760000000000056, 0.9653442238436767, 3.71416435203576, 3.780001269570887, 3.055008407222172, 3.6003848970696963, 3.949241331769548, 1.8544413819746106, 1.0886100189313028, 0.0]","[0.0, 0.922689165827529, 1.5202945851436116, 1.3460836498926596, 0.11389114950452893, 0.23145775162100776, 1.241135449286517, 1.169764227151354, 0.9429837529821798, 0.9902215636678264, 0.904024786574887, 0.5948959658726222, 0.45225875782053493, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
20000,"[0.0, 1.9739772033562246, 1.6182128268050888, 1.190202270225599, 0.18763011710981642, 0.7572554734456161, 2.6949965678126895, 2.594613830064761, 2.1971964347213313, 2.798593529666456, 3.0255962302800623, 1.1862282086040645, 0.6282233325666874, 0.0]","[0.0, 2.94355750225476, 3.114379750999477, 2.4362063843065833, 0.28339999999999976, 0.9990004307279832, 4.053245545243349, 3.7606208319727656, 3.1676764881251382, 3.862327664545861, 3.9188089756034636, 1.7787848108047184, 1.07815769092791, 0.0]","[0.0, 0.9695802988985361, 1.4961669241943885, 1.2460041140809865, 0.09576988289018333, 0.24174495728236695, 1.3582316440973239, 1.1660070019080027, 0.970480053403807, 1.0637341348794074, 0.8932127453233992, 0.5925566022006549, 0.44993435836122253, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
30000,"[0.0, 1.9018045596649262, 1.6617895505693467, 1.1930858417400851, 0.19658574231179382, 0.7396940115468412, 2.5892643362784336, 2.5951765726302454, 2.280133840140103, 2.6809351539929565, 3.0953769020315898, 1.2510085275305018, 0.6279976292413805, 0.0]","[0.0, 2.829058220443349, 3.153278913586586, 2.432968405040231, 0.30056000000000027, 0.9557176344037712, 3.8996645022372642, 3.7573941344366557, 3.292336919717644, 3.7047623226832656, 4.0105634333650615, 1.8676443953577833, 1.0546034409853662, 0.0]","[0.0, 0.9272536607784251, 1.4914893630172403, 1.239882563300149, 0.10397425768820648, 0.21602362285692975, 1.3104001659588296, 1.1622175618064094, 1.0122030795775436, 1.0238271686903093, 0.9151691980001376, 0.6166358678272824, 0.42660581174398593, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
40000,"[0.0, 1.8009222497747852, 1.684068724922708, 1.1945983684059913, 0.16183187188413017, 0.7320721028202508, 2.5185946694697248, 2.5986672100629953, 2.2527877858124987, 2.615089214109402, 3.2166927822504787, 1.2585975391264055, 0.6127021125131078, 0.0]","[0.0, 2.683842904100593, 3.181697580874967, 2.4790517179856497, 0.25324000000000035, 0.9636108832413935, 3.8040032582307597, 3.768690912346109, 3.269214586265839, 3.623174008131438, 4.1698725788544735, 1.8742589136937315, 1.0581541391324834, 0.0]","[0.0, 0.8829206543258092, 1.4976288559522593, 1.2844533495796615, 0.09140812811587015, 0.23153878042114273, 1.285356588761036, 1.170023702283114, 1.0164268004533417, 1.0080847940220399, 0.9531624632706612, 0.6156613745673267, 0.44545202661937566, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.2e-05, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
50000,"[0.0, 1.8777931693654855, 1.6902454650492984, 1.1752578092402581, 0.21889450545527603, 0.7242205511090375, 2.5510667905105437, 2.6506686695255617, 2.149457606419166, 2.667617976491624, 3.114954180467814, 1.1994109284083907, 0.6812903914457236, 0.0]","[0.0, 2.8084888844613776, 3.206701844256958, 2.401691128193806, 0.34631999999999996, 0.9427144641724499, 3.8387690443355527, 3.825775831605285, 3.134607891917024, 3.6911611711534165, 4.03513853444502, 1.7770424893147216, 1.158568199042111, 0.0]","[0.0, 0.93069571509589, 1.5164563792076615, 1.2264333189535486, 0.1274254945447239, 0.21849391306341234, 1.2876849204916747, 1.175107162079724, 0.9851502854978583, 1.0235431946617934, 0.9201496873105386, 0.5776315609063318, 0.4772778075963875, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
60000,"[0.0, 1.8698628310677028, 1.5997050401974189, 1.195360210659946, 0.19864078488908601, 0.7389470265861743, 2.6377863648175364, 2.600342309732525, 2.241835355508892, 2.625122147013824, 3.0124726715531414, 1.3486604930318127, 0.6404865410852101, 0.0]","[0.0, 2.7671015724121943, 3.0224228619679696, 2.4757322213148187, 0.3161600000000009, 0.9651491913172199, 3.9672073046676783, 3.7679526967433357, 3.246337122760244, 3.633997488054817, 3.907685835764312, 2.0092846731668956, 1.080946728385574, 0.0]","[0.0, 0.8972387413444904, 1.4227178217705534, 1.2803373439882082, 0.11751921511091483, 0.2262021647310455, 1.3294036065168098, 1.1676103870108112, 1.0045017672513543, 1.0088753410409936, 0.8951958308778416, 0.6606241801350846, 0.4404601873003641, 0.0]","[0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0, 1.7333333333333332e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
70000,"[0.0, 1.8842976306776404, 1.7553348361382837, 1.083407994549486, 0.22112381399083944, 0.7377305704713931, 2.653369609287117, 2.521581185859884, 2.2646835822871196, 2.7958077292348715, 2.9707735002217075, 1.284282228754368, 0.6625903083884693, 0.0]","[0.0, 2.821696324756661, 3.2384110975233322, 2.276510778459468, 0.34736000000000145, 0.9782015856502333, 3.980326126139166, 3.658296554461787, 3.2973843572029837, 3.8651847188050232, 3.8498062655460306, 1.8878294096471164, 1.1086299664335637, 0.0]","[0.0, 0.9373986940790227, 1.483076261385051, 1.1931027839099835, 0.126236186009162, 0.24047101517884018, 1.3269218501853866, 1.1367153686019036, 1.0327007749158625, 1.0693769895701541, 0.8789634319909889, 0.6035471808927501, 0.4460396580450943, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0, 6.933333333333333e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
80000,"[0.0, 1.8706862984289507, 1.6906258930793563, 1.1414226872598054, 0.21912085625651473, 0.8214992476388128, 2.6177622719086773, 2.6732420733346447, 2.279641835490664, 2.664545834593367, 2.977033075381059, 1.2626291413941755, 0.6690548820653696, 0.0]","[0.0, 2.7759805283436916, 3.210219383943379, 2.350132346134808, 0.3530800000000003, 1.0917512242112355, 3.9485438125039067, 3.869347857453827, 3.341033589444476, 3.6832312344410063, 3.8588523677516324, 1.86724413392335, 1.1538157793904287, 0.0]","[0.0, 0.905294229914743, 1.519593490864024, 1.2087096588750048, 0.13395914374348558, 0.2702519765724229, 1.3307815405952272, 1.1961057841191847, 1.0613917539538098, 1.0186853998476408, 0.881749959037239, 0.6046149925291749, 0.48476089732505884, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.4632148173016805e-19, 0.0, 0.0, 0.0, 6.933333333333333e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
90000,"[0.0, 1.8496019568066835, 1.6824024528518602, 1.146609141898884, 0.162062336155536, 0.7549637959139907, 2.725509848640786, 2.6146843516695277, 2.138569332057762, 2.7274769363754943, 3.0555811688481076, 1.296327466450894, 0.6221787650599182, 0.0]","[0.0, 2.757924094482777, 3.2174471523973, 2.3910943512283973, 0.24700000000000044, 0.990643093632808, 4.116527089900279, 3.784861861923215, 3.107599060210507, 3.7562797114595976, 3.9570631866206116, 1.9087344206475707, 1.0298804613653822, 0.0]","[0.0, 0.9083221376760952, 1.5350446995454399, 1.2444852093295156, 0.0849376638444644, 0.23567929771881702, 1.3909825745928273, 1.1701775102536895, 0.9690297281527445, 1.0288027750841073, 0.9014300177725058, 0.6124069541966777, 0.4077016963054643, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0, 5.2e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
100000,"[0.0, 1.8126154795323162, 1.629242995747664, 1.1106946679862488, 0.2143197104113425, 0.7890542357955105, 2.6429129918132808, 2.5577105542379033, 2.249400745237248, 2.619563840646822, 3.1241022170961315, 1.2377502318303888, 0.6593333237232581, 0.0]","[0.0, 2.6833556839340247, 3.088272871686601, 2.3246552892268277, 0.3369599999999999, 1.0455857530601724, 3.980224665986577, 3.701164586774392, 3.312583223857141, 3.627904856453603, 4.043157503404415, 1.841330185033974, 1.1101808156195747, 0.0]","[0.0, 0.8707402044017076, 1.459029875938937, 1.2139606212405802, 0.12264028958865732, 0.25653151726466167, 1.3372423408399625, 1.1434540325364886, 1.0631824786198945, 1.0083410158067816, 0.9190206196416174, 0.6035799532035864, 0.45084749189631634, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.933333333333333e-05, 0.0, 0.0, 0.0, 3.4666666666666665e-05, 0.0, 0.0, 0.0]","[0.0, 5.1469, 4.3765, 3.44796, 0.59904, 1.6096, 6.1300799999999995, 5.46974, 4.84142, 6.138119999999999, 5.3756200000000005, 2.9657199999999997, 1.8188799999999998, 0.0]"
